,TF,Time,Name,SlBuffer,WinPoints,SlPoints,PointsAfterSL,AppxPrice,AvgPntPerTrade,Target %,Target in Rs,Days,WinDays,SLHitDays,SLAboveATR,ATR,RBD,Win%,AvgEntry,AvgExit,AvgTime,Quantity,FinalAmt
0,15,9-15,NSE:JINDALSTEL-EQ,0.35,27.75,21.55,6.2,314.0,2.13,1,3.25,13,8,2,0,,3,61.54,10:1,12:3,2:1,1592,9870.4
1,15,9-15,NSE:JINDALSTEL-EQ,0.35,27.75,21.55,6.2,314.0,2.13,1,3.25,13,8,2,0,,3,61.54,10:1,12:3,2:1,1592,9870.4
2,15,9-15,NSE:JINDALSTEL-EQ,0.35,27.75,21.55,6.2,314.0,2.13,1,3.25,13,8,2,0,,3,61.54,10:1,12:3,2:1,1592,9870.4
3,10,9-25,NSE:INDUSINDBK-EQ,0.8,59.8,44.3,15.5,776.85,4.6,1,7.85,13,7,5,0,,1,53.85,9:50,12:15,2:24,644,9982.0
4,10,9-25,NSE:JINDALSTEL-EQ,0.35,24.2,17.5,6.7,314.0,1.86,1,3.2,13,7,5,0,,1,53.85,9:46,11:3,1:17,1592,10666.4
5,10,9-25,NSE:JINDALSTEL-EQ,0.35,24.2,17.5,6.7,314.0,1.86,1,3.2,13,7,5,0,,1,53.85,9:46,11:3,1:17,1592,10666.4
6,10,9-25,NSE:JINDALSTEL-EQ,0.35,24.2,17.5,6.7,314.0,1.86,1,3.2,13,7,5,0,,1,53.85,9:46,11:3,1:17,1592,10666.4
7,10,9-15,NSE:ONGC-EQ,0.15,12.25,8.95,3.3,132.7,0.94,1,1.4,13,8,1,0,,3,61.54,11:5,12:46,1:41,3768,12434.4
8,10,9-15,NSE:JINDALSTEL-EQ,0.35,27.75,19.6,8.15,314.8,2.13,1,3.25,13,7,2,0,,3,53.85,9:50,11:28,1:38,1588,12942.2
9,10,9-15,NSE:JINDALSTEL-EQ,0.35,27.75,19.6,8.15,314.8,2.13,1,3.25,13,7,2,0,,3,53.85,9:50,11:28,1:38,1588,12942.2
10,10,9-15,NSE:JINDALSTEL-EQ,0.35,27.75,19.6,8.15,314.8,2.13,1,3.25,13,7,2,0,,3,53.85,9:50,11:28,1:38,1588,12942.2
11,15,9-15,NSE:WIPRO-EQ,0.45,30.95,20.0,10.95,414.8,2.38,1,4.25,13,7,1,0,,5,53.85,9:47,12:42,2:55,1205,13194.75
12,10,9-15,NSE:WIPRO-EQ,0.45,30.95,18.95,12.0,414.8,2.38,1,4.25,13,7,1,0,,5,53.85,9:40,12:33,2:52,1205,14460.0
13,10,10-5,NSE:JINDALSTEL-EQ,0.35,24.6,15.25,9.35,309.0,1.89,1,3.15,13,7,5,0,,1,53.85,10:29,11:30,1:1,1618,15128.3
14,10,10-5,NSE:JINDALSTEL-EQ,0.35,24.6,15.25,9.35,309.0,1.89,1,3.15,13,7,5,0,,1,53.85,10:29,11:30,1:1,1618,15128.3
15,10,10-5,NSE:JINDALSTEL-EQ,0.35,24.6,15.25,9.35,309.0,1.89,1,3.15,13,7,5,0,,1,53.85,10:29,11:30,1:1,1618,15128.3
16,15,10-0,NSE:BANDHANBNK-EQ,0.3,22.0,12.3,9.7,280.55,1.69,1,2.8,13,7,5,0,,1,53.85,10:30,11:8,0:38,1782,17285.4
17,10,10-15,NSE:JINDALSTEL-EQ,0.35,24.65,13.45,11.2,311.9,1.9,1,3.15,13,7,6,0,,0,53.85,10:56,11:46,0:50,1603,17953.6
18,10,10-15,NSE:JINDALSTEL-EQ,0.35,24.65,13.45,11.2,311.9,1.9,1,3.15,13,7,6,0,,0,53.85,10:56,11:46,0:50,1603,17953.6
19,10,10-15,NSE:JINDALSTEL-EQ,0.35,24.65,13.45,11.2,311.9,1.9,1,3.15,13,7,6,0,,0,53.85,10:56,11:46,0:50,1603,17953.6
20,15,10-0,NSE:INDUSINDBK-EQ,0.8,58.55,29.75,28.8,780.4,4.5,1,7.8,13,7,4,0,,2,53.85,10:32,12:45,2:12,641,18460.8
21,10,9-15,NSE:HINDALCO-EQ,0.35,31.6,18.55,13.05,321.95,2.43,1,3.35,13,8,2,0,,3,61.54,10:6,12:46,2:40,1553,20266.65
22,10,10-5,NSE:BANDHANBNK-EQ,0.3,22.0,10.3,11.7,277.3,1.69,1,2.8,13,7,6,0,,0,53.85,10:23,11:16,0:52,1803,21095.1
23,10,10-15,NSE:BANDHANBNK-EQ,0.3,22.0,9.3,12.7,278.75,1.69,1,2.8,13,7,5,0,,1,53.85,10:27,11:22,0:54,1794,22783.8
24,15,9-15,NSE:ONGC-EQ,0.15,12.25,6.0,6.25,132.85,0.94,1,1.4,13,8,0,0,,3,61.54,11:22,13:7,1:45,3764,23525.0
