,TF,Time,Name,SlBuffer,WinPoints,SlPoints,PointsAfterSL,AppxPrice,AvgPntPerTrade,Target %,Target in Rs,Days,WinDays,SLHitDays,SLAboveATR,ATR,RBD,Win%,AvgEntry,AvgExit,AvgTime,Quantity,FinalAmt
0,10,9-35,NSE:HINDUNILVR-EQ,2.25,98.45,97.65,0.8,2219.1,6.56,0.5,11.05,15,9,6,0,,0,60.0,9:40,11:0,1:20,225,180.0
1,10,9-25,NSE:KOTAKBANK-EQ,1.7,78.95,77.65,1.3,1665.5,5.26,0.5,8.35,15,9,6,0,,0,60.0,9:57,11:41,1:44,300,390.0
2,10,9-25,NSE:ONGC-EQ,0.15,7.65,7.5,0.15,134.9,0.51,0.5,0.7,15,9,4,0,,0,60.0,10:12,11:3,0:51,3706,555.9
3,10,9-25,NSE:SUNPHARMA-EQ,0.85,33.1,31.35,1.75,812.25,2.21,0.5,4.1,15,8,5,0,,2,53.33,9:53,10:48,0:55,616,1078.0
4,15,9-30,NSE:SBIN-EQ,0.45,18.4,17.35,1.05,449.9,1.23,0.5,2.25,15,8,4,0,,2,53.33,10:1,11:9,1:7,1111,1166.55
5,15,10-0,NSE:BIOCON-EQ,0.35,13.15,12.4,0.75,316.25,0.88,0.5,1.6,15,8,3,0,,2,53.33,10:52,12:31,1:39,1581,1185.75
6,15,10-0,NSE:POWERGRID-EQ,0.25,8.9,8.2,0.7,209.0,0.59,0.5,1.05,15,8,4,0,,2,53.33,11:5,12:20,1:15,2392,1674.4
7,15,10-0,NSE:TITAN-EQ,2.05,83.55,76.35,7.2,2012.0,5.57,0.5,10.15,15,8,5,0,,2,53.33,10:33,11:50,1:16,249,1792.8
8,15,9-15,NSE:BANDHANBNK-EQ,0.3,15.9,14.85,1.05,278.2,1.06,0.5,1.45,15,10,2,0,,3,66.67,10:21,11:28,1:7,1797,1886.85
9,10,9-15,NSE:SBIN-EQ,0.45,20.75,19.05,1.7,444.85,1.38,0.5,2.25,15,9,2,0,,4,60.0,9:35,11:47,2:12,1124,1910.8
10,15,9-30,NSE:ICICIBANK-EQ,0.7,28.25,25.55,2.7,694.3,1.88,0.5,3.5,15,8,6,0,,1,53.33,10:16,11:26,1:9,720,1944.0
11,10,10-5,NSE:LUPIN-EQ,0.65,28.0,25.5,2.5,624.0,1.87,0.5,3.15,15,9,6,0,,0,60.0,10:20,11:33,1:13,801,2002.5
12,10,9-35,NSE:LUPIN-EQ,0.65,28.15,25.5,2.65,623.8,1.88,0.5,3.2,15,9,5,0,,1,60.0,9:49,10:38,0:48,802,2125.3
13,15,10-15,NSE:TATAMOTORS-EQ,0.45,16.55,14.55,2.0,395.4,1.1,0.5,2.0,15,8,7,0,,0,53.33,11:0,12:11,1:11,1265,2530.0
14,15,10-15,NSE:TATASTEEL-EQ,0.85,39.1,34.3,4.8,855.0,2.61,0.5,4.3,15,8,5,0,,2,53.33,10:54,11:26,0:31,585,2808.0
15,10,9-25,NSE:TECHM-EQ,1.0,52.7,46.8,5.9,973.45,3.51,0.5,4.95,15,10,5,0,,0,66.67,9:54,11:24,1:30,514,3032.6
16,15,9-15,NSE:ONGC-EQ,0.15,6.85,6.0,0.85,132.85,0.46,0.5,0.7,15,9,0,0,,3,60.0,11:10,12:5,0:55,3764,3199.4
17,15,10-15,NSE:RELIANCE-EQ,2.55,106.25,89.85,16.4,2538.5,7.08,0.5,12.7,15,8,7,0,,0,53.33,10:39,12:39,2:0,197,3230.8
18,15,9-30,NSE:BANDHANBNK-EQ,0.3,14.3,12.3,2.0,276.8,0.95,0.5,1.4,15,8,3,0,,2,53.33,10:10,10:55,0:45,1806,3612.0
19,10,9-15,NSE:CHOLAFIN-EQ,0.65,32.65,28.15,4.5,614.15,2.18,0.5,3.15,15,10,2,0,,1,66.67,10:40,11:23,0:43,814,3663.0
20,10,10-5,NSE:BANKBARODA-EQ,0.1,5.25,4.55,0.7,95.45,0.35,0.5,0.5,15,10,5,0,,0,66.67,10:20,11:26,1:6,5238,3666.6
21,10,10-5,NSE:ADANIPORTS-EQ,0.7,32.4,27.4,5.0,674.9,2.16,0.5,3.4,15,9,6,0,,0,60.0,10:23,11:31,1:7,741,3705.0
22,10,13-15,NSE:ADANIPORTS-EQ,0.7,28.2,23.2,5.0,667.5,1.88,0.5,3.4,15,8,6,0,,1,53.33,13:27,14:2,0:35,749,3745.0
23,10,10-15,NSE:INFY-EQ,1.45,58.2,47.2,11.0,1455.0,3.88,0.5,7.25,15,8,6,0,,1,53.33,10:52,12:1,1:8,344,3784.0
24,10,9-45,NSE:BANDHANBNK-EQ,0.3,15.9,13.8,2.1,277.15,1.06,0.5,1.4,15,10,5,0,,0,66.67,9:34,10:28,0:54,1804,3788.4
25,15,9-15,NSE:TATAMOTORS-EQ,0.45,18.65,15.55,3.1,392.3,1.24,0.5,2.0,15,9,1,0,,5,60.0,9:56,11:15,1:18,1275,3952.5
26,10,10-15,NSE:BHARTIARTL-EQ,0.65,26.85,21.45,5.4,646.95,1.79,0.5,3.25,15,8,7,0,,0,53.33,10:50,11:55,1:5,773,4174.2
27,15,10-0,NSE:LUPIN-EQ,0.65,28.1,22.8,5.3,616.25,1.87,0.5,3.15,15,9,5,0,,1,60.0,10:26,12:6,1:40,811,4298.3
28,10,10-15,NSE:BPCL-EQ,0.3,12.8,10.2,2.6,301.5,0.85,0.5,1.5,15,8,7,0,,0,53.33,10:35,11:11,0:36,1658,4310.8
29,10,13-15,NSE:ONGC-EQ,0.15,6.0,4.85,1.15,132.95,0.4,0.5,0.7,15,8,4,0,,3,53.33,13:51,14:17,0:26,3761,4325.15
30,15,9-15,NSE:M&M-EQ,1.0,41.9,33.3,8.6,989.2,2.79,0.5,5.05,15,8,1,0,,4,53.33,10:18,12:18,2:0,505,4343.0
