,TF,Time,Name,SlBuffer,WinPoints,SlPoints,PointsAfterSL,AppxPrice,AvgPntPerTrade,Target %,Target in Rs,Days,WinDays,SLHitDays,SLAboveATR,ATR,RBD,Win%,AvgEntry,AvgExit,AvgTime,Quantity,FinalAmt
0,10,10-5,NSE:SAIL-EQ,0.1,3.6,3.55,0.05,104.15,0.26,0.5,0.55,14,7,6,0,,0,50.0,10:36,12:49,2:12,4801,240.05
1,10,10-15,NSE:ONGC-EQ,0.2,6.05,5.4,0.65,175.7,0.43,0.5,0.9,14,7,5,0,,2,50.0,10:39,11:39,1:0,2846,1849.9
2,10,10-15,NSE:SAIL-EQ,0.1,4.15,2.95,1.2,104.0,0.3,0.5,0.55,14,7,6,0,,0,50.0,10:37,12:31,1:53,4808,5769.6
3,10,10-15,NSE:TATAMOTORS-EQ,0.45,15.5,11.6,3.9,436.1,1.11,0.5,2.2,14,7,6,0,,0,50.0,10:40,11:53,1:12,1147,4473.3
4,10,13-15,NSE:ICICIBANK-EQ,0.8,26.3,18.9,7.4,758.95,1.88,0.5,3.85,14,7,6,0,,1,50.0,13:33,14:16,0:42,659,4876.6
5,10,13-15,NSE:SAIL-EQ,0.1,3.6,3.0,0.6,102.4,0.26,0.5,0.55,14,7,4,0,,3,50.0,13:50,14:29,0:38,4883,2929.8
6,10,13-15,NSE:IOC-EQ,0.15,5.25,1.3,3.95,132.55,0.38,0.5,0.7,14,7,4,0,,1,50.0,13:37,14:27,0:50,3772,14899.4
7,10,13-15,NSE:BPCL-EQ,0.4,13.15,5.9,7.25,388.25,0.94,0.5,1.95,14,7,4,0,,3,50.0,14:0,14:50,0:50,1288,9338.0
8,10,13-15,NSE:SBIN-EQ,0.55,19.0,6.85,12.15,508.75,1.36,0.5,2.55,14,7,3,0,,3,50.0,13:42,14:32,0:50,983,11943.45
9,15,9-15,NSE:TITAN-EQ,2.5,86.95,71.25,15.7,2480.85,6.21,0.5,12.4,14,7,1,0,,5,50.0,10:19,11:53,1:34,202,3171.4
10,15,9-15,NSE:CIPLA-EQ,1.05,34.65,24.3,10.35,1008.8,2.48,0.5,5.05,14,7,1,0,,4,50.0,9:57,11:40,1:42,496,5133.6
11,15,9-30,NSE:BPCL-EQ,0.4,13.25,13.15,0.1,387.5,0.95,0.5,1.95,14,7,5,0,,2,50.0,10:47,12:25,1:38,1290,129.0
12,15,9-30,NSE:WIPRO-EQ,0.55,18.35,13.85,4.5,536.3,1.31,0.5,2.75,14,7,2,0,,4,50.0,9:53,12:8,2:15,932,4194.0
13,15,10-0,NSE:SBIN-EQ,0.55,17.85,17.0,0.85,508.75,1.28,0.5,2.6,14,7,4,0,,3,50.0,10:30,12:10,1:40,983,835.55
14,15,10-15,NSE:AXISBANK-EQ,0.8,29.7,19.4,10.3,790.0,2.12,0.5,4.0,14,7,5,0,,2,50.0,11:8,12:48,1:40,633,6519.9
15,15,10-15,NSE:TATAMOTORS-EQ,0.45,17.7,10.95,6.75,435.2,1.26,0.5,2.2,14,7,5,0,,1,50.0,10:52,12:3,1:11,1149,7755.75
