
1655783905656 :: history :: {'symbol': 'NSE:SUNPHARMA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783905760 :: {'s': 'ok', 'candles': [[1655783100, 806.6, 811.55, 805.35, 809.75, 93951], [1655783700, 809.75, 811.25, 808.45, 809.4, 20599]]}

1655783906078 :: history :: {'symbol': 'NSE:POWERGRID-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783906173 :: {'s': 'ok', 'candles': [[1655783100, 209.05, 210.45, 208.5, 209.95, 714833], [1655783700, 209.95, 210.0, 208.75, 209.0, 66524]]}

1655783906486 :: history :: {'symbol': 'NSE:ITC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783906574 :: {'s': 'ok', 'candles': [[1655783100, 265.0, 265.8, 264.1, 264.3, 550475], [1655783700, 264.2, 264.55, 264.15, 264.5, 59317]]}

1655783906886 :: history :: {'symbol': 'NSE:KOTAKBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783906992 :: {'s': 'ok', 'candles': [[1655783100, 1690.0, 1692.35, 1676.05, 1683.95, 149715], [1655783700, 1684.85, 1685.8, 1675.5, 1675.6, 515529]]}

1655783907303 :: history :: {'symbol': 'NSE:BHARTIARTL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783907396 :: {'s': 'ok', 'candles': [[1655783100, 642.1, 645.85, 641.2, 643.2, 166852], [1655783700, 643.2, 643.65, 641.25, 641.6, 19238]]}

1655783907708 :: history :: {'symbol': 'NSE:HCLTECH-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783907806 :: {'s': 'ok', 'candles': [[1655783100, 971.7, 971.7, 963.65, 969.6, 91618], [1655783700, 969.6, 971.4, 968.3, 969.7, 16805]]}

1655783908118 :: history :: {'symbol': 'NSE:TITAN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783908202 :: {'s': 'ok', 'candles': [[1655783100, 1979.9, 1999.8, 1966.5, 1991.2, 229339], [1655783700, 1992.4, 2020.0, 1991.15, 2016.0, 84091]]}

1655783908515 :: history :: {'symbol': 'NSE:ICICIBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783908607 :: {'s': 'ok', 'candles': [[1655783100, 690.55, 691.85, 688.6, 690.85, 614109], [1655783700, 690.8, 691.0, 689.6, 690.0, 110023]]}

1655783908919 :: history :: {'symbol': 'NSE:ONGC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783909025 :: {'s': 'ok', 'candles': [[1655783100, 136.1, 138.0, 135.2, 136.9, 2420810], [1655783700, 136.9, 136.95, 135.8, 135.95, 541317]]}

1655783909336 :: history :: {'symbol': 'NSE:CHOLAFIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783909428 :: {'s': 'ok', 'candles': [[1655783100, 629.2, 631.3, 619.9, 623.0, 106537], [1655783700, 623.0, 628.0, 621.85, 624.9, 21873]]}

1655783909741 :: history :: {'symbol': 'NSE:BANDHANBNK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783909846 :: {'s': 'ok', 'candles': [[1655783100, 278.05, 283.35, 275.5, 282.5, 1115703], [1655783700, 282.45, 283.5, 282.0, 282.1, 288574]]}

1655783910158 :: history :: {'symbol': 'NSE:AXISBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783910257 :: {'s': 'ok', 'candles': [[1655783100, 632.0, 633.6, 630.35, 630.6, 338177], [1655783700, 630.6, 631.05, 629.5, 629.7, 87855]]}

1655783910564 :: history :: {'symbol': 'NSE:GRASIM-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783910665 :: {'s': 'ok', 'candles': [[1655783100, 1331.0, 1333.55, 1321.35, 1328.3, 42719], [1655783700, 1327.0, 1330.95, 1327.0, 1330.35, 6812]]}

1655783910978 :: history :: {'symbol': 'NSE:SAIL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783911083 :: {'s': 'ok', 'candles': [[1655783100, 65.6, 66.3, 64.9, 65.0, 3740070], [1655783700, 65.0, 65.55, 64.95, 65.3, 806940]]}

1655783911396 :: history :: {'symbol': 'NSE:TECHM-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783911511 :: {'s': 'ok', 'candles': [[1655783100, 991.4, 993.95, 983.5, 985.55, 276915], [1655783700, 985.5, 987.6, 983.5, 984.95, 33363]]}

1655783911823 :: history :: {'symbol': 'NSE:HINDALCO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783911930 :: {'s': 'ok', 'candles': [[1655783100, 327.6, 332.0, 326.15, 327.7, 1321355], [1655783700, 327.7, 330.45, 327.7, 329.6, 269242]]}

1655783912243 :: history :: {'symbol': 'NSE:UPL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783912339 :: {'s': 'ok', 'candles': [[1655783100, 642.25, 653.95, 642.25, 647.9, 135552], [1655783700, 647.9, 649.1, 646.6, 648.3, 15014]]}

1655783912651 :: history :: {'symbol': 'NSE:INDUSINDBK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783912732 :: {'s': 'ok', 'candles': [[1655783100, 796.05, 799.0, 790.35, 790.75, 231933], [1655783700, 791.2, 792.15, 790.1, 790.35, 50785]]}

1655783913039 :: history :: {'symbol': 'NSE:GAIL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783913127 :: {'s': 'ok', 'candles': [[1655783100, 134.0, 135.75, 131.5, 134.75, 1194569], [1655783700, 134.75, 134.8, 134.15, 134.2, 102500]]}

1655783913439 :: history :: {'symbol': 'NSE:LUPIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783913541 :: {'s': 'ok', 'candles': [[1655783100, 610.0, 623.8, 608.95, 621.3, 108259], [1655783700, 621.4, 622.45, 616.65, 616.65, 35264]]}

1655783913853 :: history :: {'symbol': 'NSE:TATAMOTORS-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783913946 :: {'s': 'ok', 'candles': [[1655783100, 389.0, 391.45, 387.0, 390.25, 1407175], [1655783700, 390.35, 393.0, 390.15, 392.0, 460447]]}

1655783914255 :: history :: {'symbol': 'NSE:IOC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783914346 :: {'s': 'ok', 'candles': [[1655783100, 104.05, 105.15, 103.9, 104.1, 681701], [1655783700, 104.05, 104.1, 103.7, 103.7, 128781]]}

1655783914659 :: history :: {'symbol': 'NSE:JINDALSTEL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783914748 :: {'s': 'ok', 'candles': [[1655783100, 318.95, 320.9, 314.05, 315.3, 504780], [1655783700, 315.45, 319.6, 315.45, 318.25, 239866]]}

1655783915058 :: history :: {'symbol': 'NSE:BIOCON-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783915139 :: {'s': 'ok', 'candles': [[1655783100, 317.0, 317.8, 313.5, 317.25, 164124], [1655783700, 317.35, 318.9, 317.1, 317.5, 43087]]}

1655783915451 :: history :: {'symbol': 'NSE:BPCL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783915530 :: {'s': 'ok', 'candles': [[1655783100, 296.65, 300.3, 296.4, 296.75, 195636], [1655783700, 296.35, 296.75, 295.3, 295.55, 70864]]}

1655783915841 :: history :: {'symbol': 'NSE:INDIGO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783915948 :: {'s': 'ok', 'candles': [[1655783100, 1586.0, 1591.45, 1557.55, 1582.7, 69878], [1655783700, 1582.7, 1603.05, 1582.0, 1587.0, 31614]]}

1655783916261 :: history :: {'symbol': 'NSE:CIPLA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783916357 :: {'s': 'ok', 'candles': [[1655783100, 927.1, 935.0, 927.1, 934.2, 43109], [1655783700, 934.15, 936.7, 930.0, 930.5, 24553]]}

1655783916669 :: history :: {'symbol': 'NSE:TATASTEEL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783916757 :: {'s': 'ok', 'candles': [[1655783100, 875.0, 881.75, 868.05, 869.55, 1056155], [1655783700, 869.55, 874.6, 868.65, 873.15, 155380]]}

1655783917068 :: history :: {'symbol': 'NSE:HDFC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783917158 :: {'s': 'ok', 'candles': [[1655783100, 2147.1, 2160.85, 2141.05, 2151.4, 319983], [1655783700, 2151.2, 2153.25, 2145.0, 2145.8, 55813]]}

1655783917469 :: history :: {'symbol': 'NSE:BANKBARODA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783917559 :: {'s': 'ok', 'candles': [[1655783100, 92.1, 93.15, 91.75, 92.6, 1504946], [1655783700, 92.7, 92.9, 92.6, 92.7, 394890]]}

1655783917871 :: history :: {'symbol': 'NSE:COALINDIA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783917968 :: {'s': 'ok', 'candles': [[1655783100, 178.0, 181.15, 178.0, 179.35, 517990], [1655783700, 179.35, 179.7, 179.0, 179.3, 69343]]}

1655783918281 :: history :: {'symbol': 'NSE:SBIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783918378 :: {'s': 'ok', 'candles': [[1655783100, 439.5, 440.25, 437.6, 438.1, 608097], [1655783700, 438.1, 439.9, 438.05, 439.35, 122987]]}

1655783918691 :: history :: {'symbol': 'NSE:ADANIPORTS-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783918778 :: {'s': 'ok', 'candles': [[1655783100, 670.5, 679.0, 670.5, 672.45, 323174], [1655783700, 672.0, 674.85, 671.8, 672.65, 36062]]}

1655783919089 :: history :: {'symbol': 'NSE:MARICO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783919179 :: {'s': 'ok', 'candles': [[1655783100, 487.0, 491.75, 485.0, 489.0, 81038], [1655783700, 489.0, 490.8, 489.0, 489.6, 11096]]}

1655783919491 :: history :: {'symbol': 'NSE:DLF-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783919591 :: {'s': 'ok', 'candles': [[1655783100, 302.55, 305.8, 301.0, 303.65, 362496], [1655783700, 303.45, 305.05, 303.45, 304.5, 71545]]}

1655783919904 :: history :: {'symbol': 'NSE:M&M-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783919993 :: {'s': 'ok', 'candles': [[1655783100, 982.7, 993.5, 981.8, 993.1, 862202], [1655783700, 992.5, 994.0, 992.0, 993.0, 32258]]}

1655783920305 :: history :: {'symbol': 'NSE:WIPRO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655783920435 :: {'s': 'ok', 'candles': [[1655783100, 420.0, 421.0, 416.65, 417.75, 494638], [1655783700, 417.8, 418.75, 417.55, 417.7, 58377]]}

1655784110619 :: history :: {'symbol': 'NSE:SUNPHARMA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784110731 :: {'s': 'ok', 'candles': [[1655783100, 806.6, 811.55, 805.35, 809.75, 93951], [1655783700, 809.75, 811.25, 808.45, 809.8, 32686]]}

1655784111048 :: history :: {'symbol': 'NSE:POWERGRID-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784111133 :: {'s': 'ok', 'candles': [[1655783100, 209.05, 210.45, 208.5, 209.95, 714833], [1655783700, 209.95, 210.0, 208.25, 208.3, 122663]]}

1655784111446 :: history :: {'symbol': 'NSE:ITC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784111528 :: {'s': 'ok', 'candles': [[1655783100, 265.0, 265.8, 264.1, 264.3, 550475], [1655783700, 264.2, 265.2, 264.15, 265.05, 260359]]}

1655784111839 :: history :: {'symbol': 'NSE:KOTAKBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784111925 :: {'s': 'ok', 'candles': [[1655783100, 1690.0, 1692.35, 1676.05, 1683.95, 149715], [1655783700, 1684.85, 1685.8, 1672.55, 1675.2, 571831]]}

1655784112236 :: history :: {'symbol': 'NSE:BHARTIARTL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784112318 :: {'s': 'ok', 'candles': [[1655783100, 642.1, 645.85, 641.2, 643.2, 166852], [1655783700, 643.2, 643.65, 640.6, 642.5, 40273]]}

1655784112629 :: history :: {'symbol': 'NSE:HCLTECH-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784112706 :: {'s': 'ok', 'candles': [[1655783100, 971.7, 971.7, 963.65, 969.6, 91618], [1655783700, 969.6, 971.7, 968.2, 970.55, 31631]]}

1655784113015 :: history :: {'symbol': 'NSE:TITAN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784113127 :: {'s': 'ok', 'candles': [[1655783100, 1979.9, 1999.8, 1966.5, 1991.2, 229339], [1655783700, 1992.4, 2035.0, 1991.15, 2011.0, 211221]]}

1655784113437 :: history :: {'symbol': 'NSE:ICICIBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784113515 :: {'s': 'ok', 'candles': [[1655783100, 690.55, 691.85, 688.6, 690.85, 614109], [1655783700, 690.8, 691.45, 689.35, 690.1, 247097]]}

1655784113825 :: history :: {'symbol': 'NSE:ONGC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784113939 :: {'s': 'ok', 'candles': [[1655783100, 136.1, 138.0, 135.2, 136.9, 2420810], [1655783700, 136.9, 136.95, 135.05, 135.15, 1073975]]}

1655784114250 :: history :: {'symbol': 'NSE:CHOLAFIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784114349 :: {'s': 'ok', 'candles': [[1655783100, 629.2, 631.3, 619.9, 623.0, 106537], [1655783700, 623.0, 628.0, 620.25, 620.25, 30279]]}

1655784114661 :: history :: {'symbol': 'NSE:BANDHANBNK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784114750 :: {'s': 'ok', 'candles': [[1655783100, 278.05, 283.35, 275.5, 282.5, 1115703], [1655783700, 282.45, 283.5, 281.05, 281.3, 423013]]}

1655784115062 :: history :: {'symbol': 'NSE:AXISBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784115189 :: {'s': 'ok', 'candles': [[1655783100, 632.0, 633.6, 630.35, 630.6, 338177], [1655783700, 630.6, 631.25, 629.5, 630.05, 130215]]}

1655784115500 :: history :: {'symbol': 'NSE:GRASIM-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784115592 :: {'s': 'ok', 'candles': [[1655783100, 1331.0, 1333.55, 1321.35, 1328.3, 42719], [1655783700, 1327.0, 1330.95, 1316.55, 1317.6, 18900]]}

1655784115908 :: history :: {'symbol': 'NSE:SAIL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784116014 :: {'s': 'ok', 'candles': [[1655783100, 65.6, 66.3, 64.9, 65.0, 3740070], [1655783700, 65.0, 65.55, 64.7, 64.75, 1537710]]}

1655784116325 :: history :: {'symbol': 'NSE:TECHM-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784116420 :: {'s': 'ok', 'candles': [[1655783100, 991.4, 993.95, 983.5, 985.55, 276915], [1655783700, 985.5, 987.6, 980.0, 983.3, 94448]]}

1655784116732 :: history :: {'symbol': 'NSE:HINDALCO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784116822 :: {'s': 'ok', 'candles': [[1655783100, 327.6, 332.0, 326.15, 327.7, 1321355], [1655783700, 327.7, 330.45, 326.65, 326.7, 555352]]}

1655784117135 :: history :: {'symbol': 'NSE:UPL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784117228 :: {'s': 'ok', 'candles': [[1655783100, 642.25, 653.95, 642.25, 647.9, 135552], [1655783700, 647.9, 649.1, 646.6, 648.3, 24139]]}

1655784117537 :: history :: {'symbol': 'NSE:INDUSINDBK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784117611 :: {'s': 'ok', 'candles': [[1655783100, 796.05, 799.0, 790.35, 790.75, 231933], [1655783700, 791.2, 792.15, 784.6, 785.35, 123946]]}

1655784117921 :: history :: {'symbol': 'NSE:GAIL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784118018 :: {'s': 'ok', 'candles': [[1655783100, 134.0, 135.75, 131.5, 134.75, 1194569], [1655783700, 134.75, 135.15, 134.15, 134.25, 271523]]}

1655784118331 :: history :: {'symbol': 'NSE:LUPIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784118413 :: {'s': 'ok', 'candles': [[1655783100, 610.0, 623.8, 608.95, 621.3, 108259], [1655783700, 621.4, 622.45, 615.55, 619.55, 92542]]}

1655784118720 :: history :: {'symbol': 'NSE:TATAMOTORS-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-21', 'range_to': '2022-06-21', 'cont_flag': '1'} :: 1655784118806 :: {'s': 'ok', 'candles': [[1655783100, 389.0, 391.45, 387.0, 390.25, 1407175], [1655783700, 390.35, 393.0, 390.15, 390.6, 751457]]}

