
1655956079777 :: history :: {'symbol': 'NSE:SUNPHARMA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956079893 :: {'s': 'ok', 'candles': [[1655955900, 809.5, 816.2, 808.5, 810.9, 33955]]}

1655956080210 :: history :: {'symbol': 'NSE:POWERGRID-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956080304 :: {'s': 'ok', 'candles': [[1655955900, 210.1, 210.8, 208.6, 209.35, 209094]]}

1655956080614 :: history :: {'symbol': 'NSE:ITC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956080692 :: {'s': 'ok', 'candles': [[1655955900, 265.5, 266.4, 265.1, 265.8, 216342]]}

1655956081002 :: history :: {'symbol': 'NSE:KOTAKBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956081084 :: {'s': 'ok', 'candles': [[1655955900, 1675.0, 1675.0, 1663.25, 1667.45, 28881]]}

1655956081394 :: history :: {'symbol': 'NSE:BHARTIARTL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956081480 :: {'s': 'ok', 'candles': [[1655955900, 648.15, 654.35, 647.75, 653.0, 211065]]}

1655956081790 :: history :: {'symbol': 'NSE:HCLTECH-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956081891 :: {'s': 'ok', 'candles': [[1655955900, 962.1, 967.25, 958.6, 966.8, 61758]]}

1655956082202 :: history :: {'symbol': 'NSE:TITAN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956082278 :: {'s': 'ok', 'candles': [[1655955900, 2040.0, 2040.0, 1997.15, 2014.95, 76906]]}

1655956082589 :: history :: {'symbol': 'NSE:ICICIBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956082688 :: {'s': 'ok', 'candles': [[1655955900, 690.2, 692.0, 690.2, 691.8, 145410]]}

1655956083000 :: history :: {'symbol': 'NSE:ONGC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956083081 :: {'s': 'ok', 'candles': [[1655955900, 134.0, 134.0, 132.2, 133.35, 1193742]]}

1655956083391 :: history :: {'symbol': 'NSE:CHOLAFIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956083501 :: {'s': 'ok', 'candles': [[1655955900, 620.0, 629.0, 613.7, 626.35, 132974]]}

1655956083812 :: history :: {'symbol': 'NSE:BANDHANBNK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956083938 :: {'s': 'ok', 'candles': [[1655955900, 282.45, 284.75, 282.05, 284.7, 131899]]}

1655956084249 :: history :: {'symbol': 'NSE:AXISBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956084327 :: {'s': 'ok', 'candles': [[1655955900, 627.4, 629.6, 626.15, 627.5, 205027]]}

1655956084636 :: history :: {'symbol': 'NSE:GRASIM-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956084734 :: {'s': 'ok', 'candles': [[1655955900, 1334.0, 1334.0, 1322.1, 1323.35, 12969]]}

1655956085046 :: history :: {'symbol': 'NSE:TECHM-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956085138 :: {'s': 'ok', 'candles': [[1655955900, 981.1, 986.0, 980.1, 983.25, 61227]]}

1655956085448 :: history :: {'symbol': 'NSE:HINDALCO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956085538 :: {'s': 'ok', 'candles': [[1655955900, 317.0, 320.9, 315.5, 315.85, 619311]]}

1655956090261 :: history :: {'symbol': 'NSE:SUNPHARMA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956090356 :: {'s': 'ok', 'candles': [[1655955900, 809.5, 816.2, 808.5, 809.05, 52766]]}

1655956090669 :: history :: {'symbol': 'NSE:POWERGRID-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956090748 :: {'s': 'ok', 'candles': [[1655955900, 210.1, 210.8, 208.6, 209.35, 209094]]}

1655956091060 :: history :: {'symbol': 'NSE:ITC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956091143 :: {'s': 'ok', 'candles': [[1655955900, 265.5, 266.4, 265.1, 265.8, 216342]]}

1655956091454 :: history :: {'symbol': 'NSE:KOTAKBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956091542 :: {'s': 'ok', 'candles': [[1655955900, 1675.0, 1675.0, 1663.25, 1667.45, 28881]]}

1655956091853 :: history :: {'symbol': 'NSE:BHARTIARTL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956091937 :: {'s': 'ok', 'candles': [[1655955900, 648.15, 654.35, 647.75, 653.0, 211065]]}

1655956675930 :: history :: {'symbol': 'NSE:SUNPHARMA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956676018 :: {'s': 'ok', 'candles': [[1655955900, 809.5, 816.2, 808.5, 810.15, 102868], [1655956500, 810.15, 811.35, 809.65, 810.65, 9337]]}

1655956676336 :: history :: {'symbol': 'NSE:POWERGRID-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956676416 :: {'s': 'ok', 'candles': [[1655955900, 210.1, 210.8, 208.6, 210.2, 419694], [1655956500, 210.2, 210.3, 209.35, 209.35, 55735]]}

1655956676727 :: history :: {'symbol': 'NSE:ITC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956676804 :: {'s': 'ok', 'candles': [[1655955900, 265.5, 267.0, 265.1, 266.45, 557305], [1655956500, 266.45, 266.95, 266.05, 266.2, 76163]]}

1655956677115 :: history :: {'symbol': 'NSE:KOTAKBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956677190 :: {'s': 'ok', 'candles': [[1655955900, 1675.0, 1675.5, 1663.25, 1675.3, 67202], [1655956500, 1675.85, 1681.9, 1675.5, 1679.1, 7374]]}

1655956677501 :: history :: {'symbol': 'NSE:BHARTIARTL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956677588 :: {'s': 'ok', 'candles': [[1655955900, 648.15, 657.5, 647.75, 655.85, 414926], [1655956500, 655.5, 656.25, 654.0, 654.35, 32314]]}

1655956677900 :: history :: {'symbol': 'NSE:HCLTECH-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956677977 :: {'s': 'ok', 'candles': [[1655955900, 962.1, 973.45, 958.6, 973.0, 143324], [1655956500, 973.25, 974.4, 972.85, 973.7, 11112]]}

1655956678290 :: history :: {'symbol': 'NSE:TITAN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956678403 :: {'s': 'ok', 'candles': [[1655955900, 2040.0, 2040.0, 1997.15, 2016.3, 136838], [1655956500, 2016.05, 2020.0, 2015.0, 2019.1, 10314]]}

1655956678714 :: history :: {'symbol': 'NSE:ICICIBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956678795 :: {'s': 'ok', 'candles': [[1655955900, 690.2, 693.9, 690.2, 693.45, 424055], [1655956500, 693.55, 695.25, 693.55, 694.7, 71024]]}

1655956679107 :: history :: {'symbol': 'NSE:ONGC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956679183 :: {'s': 'ok', 'candles': [[1655955900, 134.0, 134.65, 132.2, 134.25, 2261538], [1655956500, 134.25, 134.4, 133.6, 133.7, 325597]]}

1655956679495 :: history :: {'symbol': 'NSE:CHOLAFIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956679571 :: {'s': 'ok', 'candles': [[1655955900, 620.0, 634.0, 613.7, 634.0, 303082], [1655956500, 634.0, 639.0, 633.05, 638.35, 148775]]}

1655956679882 :: history :: {'symbol': 'NSE:BANDHANBNK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956680016 :: {'s': 'ok', 'candles': [[1655955900, 282.45, 284.75, 281.85, 282.6, 347699], [1655956500, 282.8, 283.7, 282.65, 283.45, 59920]]}

1655956680330 :: history :: {'symbol': 'NSE:AXISBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956680416 :: {'s': 'ok', 'candles': [[1655955900, 627.4, 631.0, 626.15, 630.85, 429670], [1655956500, 631.0, 633.0, 631.0, 632.35, 105923]]}

1655956680729 :: history :: {'symbol': 'NSE:GRASIM-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956680832 :: {'s': 'ok', 'candles': [[1655955900, 1334.0, 1334.0, 1321.35, 1327.55, 27463], [1655956500, 1327.55, 1330.45, 1325.55, 1326.1, 7556]]}

1655956681144 :: history :: {'symbol': 'NSE:TECHM-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956681241 :: {'s': 'ok', 'candles': [[1655955900, 981.1, 994.7, 980.1, 992.5, 161559], [1655956500, 992.6, 994.85, 991.1, 991.9, 17922]]}

1655956681553 :: history :: {'symbol': 'NSE:HINDALCO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956681639 :: {'s': 'ok', 'candles': [[1655955900, 317.0, 320.9, 315.5, 318.1, 1189215], [1655956500, 318.05, 319.0, 317.1, 317.9, 189945]]}

1655956681952 :: history :: {'symbol': 'NSE:UPL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956682035 :: {'s': 'ok', 'candles': [[1655955900, 613.0, 617.45, 608.0, 609.5, 355013], [1655956500, 609.4, 610.35, 607.5, 610.05, 72184]]}

1655956682346 :: history :: {'symbol': 'NSE:INDUSINDBK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956682432 :: {'s': 'ok', 'candles': [[1655955900, 781.0, 785.95, 776.0, 784.0, 262932], [1655956500, 784.45, 787.95, 784.45, 787.05, 64582]]}

1655956682744 :: history :: {'symbol': 'NSE:GAIL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-23', 'range_to': '2022-06-23', 'cont_flag': '1'} :: 1655956682841 :: {'s': 'ok', 'candles': [[1655955900, 133.0, 133.0, 131.1, 132.45, 706489], [1655956500, 132.35, 132.55, 131.5, 131.7, 203135]]}

