INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
Nifty 50,     15313.45,     15279.90,     15314.30,     15170.75,     15208.90,-104.55
NIFTY50 EQL Wgt,     16266.75,     16223.10,     16288.85,     16145.65,     16203.90,-62.85
NIFTY100 EQL Wgt,     17181.25,     17166.45,     17249.95,     17106.50,     17175.90,-5.35
NIFTY100 LowVol30,     11434.10,     11417.10,     11433.00,     11344.30,     11389.60,-44.5
NIFTY Alpha 50,     21498.90,     21558.30,     21621.85,     21417.30,     21484.75,-14.15
NIFTY MIDCAP 150,      8794.30,      8799.30,      8854.80,      8786.45,      8819.95,25.65
NIFTY SMLCAP 50,      4096.70,      4104.85,      4118.60,      4079.50,      4101.70,5
NIFTY SMLCAP 250,      6748.15,      6752.65,      6802.50,      6744.45,      6773.90,25.75
NIFTY MIDSML 400,      8062.50,      8067.35,      8120.50,      8056.95,      8088.25,25.75
NIFTY200 QUALTY30,     12540.25,     12515.20,     12522.15,     12423.45,     12458.25,-82
Nifty FinSrv25 50,     16928.35,     16878.30,     16964.05,     16741.25,     16785.90,-142.45
NIFTY AlphaLowVol,     14226.05,     14221.25,     14240.80,     14073.85,     14100.25,-125.8
Nifty200Momentm30,     14922.65,     14901.30,     14950.55,     14749.70,     14801.95,-120.7
Nifty100ESGSecLdr,      2592.40,      2588.30,      2591.35,      2570.10,      2574.30,-18.1
Nifty IT,     25613.95,     25610.40,     25672.25,     25234.70,     25282.95,-331
Nifty Next 50,     35133.20,     35179.95,     35326.10,     35039.10,     35205.15,71.95
Nifty Bank,     37098.40,     37041.95,     37331.45,     36764.25,     36910.95,-187.45
NIFTY MIDCAP 100,     23316.50,     23318.85,     23497.25,     23284.70,     23388.30,71.8
Nifty 500,     12647.20,     12631.10,     12669.85,     12561.55,     12597.45,-49.75
Nifty 100,     15406.00,     15379.30,     15413.90,     15275.70,     15318.50,-87.5
Nifty Midcap 50,      6885.50,      6876.05,      6945.75,      6862.15,      6907.60,22.1
Nifty Realty,       356.80,       356.30,       358.00,       352.95,       354.50,-2.3
Nifty Infra,      4177.60,      4174.95,      4209.65,      4167.75,      4195.35,17.75
Nifty Energy,     18129.30,     18066.65,     18347.70,     17988.75,     18305.45,176.15
Nifty FMCG,     33724.50,     33681.10,     33726.90,     33418.05,     33519.55,-204.95
Nifty MNC,     16199.45,     16185.60,     16195.95,     16083.65,     16146.65,-52.8
Nifty Pharma,     12804.15,     12794.90,     12837.10,     12551.25,     12584.35,-219.8
Nifty PSE,      3050.65,      3031.10,      3073.35,      3015.80,      3068.60,17.95
Nifty PSU Bank,      2315.20,      2320.95,      2474.00,      2311.30,      2450.90,135.7
Nifty Serv Sector,     21924.70,     21895.95,     21933.80,     21680.50,     21724.20,-200.5
India VIX,21.7800,21.7800,21.8800,21.0975,21.5050,-0.2750
Nifty Auto,     10944.90,     10914.20,     11008.40,     10880.50,     10975.45,30.55
Nifty Metal,      3570.15,      3561.50,      3590.85,      3533.75,      3576.05,5.9
Nifty Media,      1668.90,      1669.65,      1711.05,      1660.95,      1705.35,36.45
NIFTY SMLCAP 100,      7974.95,      7982.20,      8020.35,      7950.10,      7977.45,2.5
Nifty 200,      7928.05,      7916.05,      7938.70,      7868.65,      7891.25,-36.8
Nifty Div Opps 50,      3015.40,      3006.90,      3019.70,      2997.60,      3012.80,-2.6
Nifty Commodities,      4221.95,      4206.60,      4238.70,      4198.75,      4226.95,5
Nifty Consumption,      6138.65,      6125.30,      6134.20,      6094.00,      6109.55,-29.1
Nifty Fin Service,     17448.30,     17392.00,     17457.45,     17218.45,     17255.60,-192.7
Nifty50 Div Point,        93.26,        97.72,        97.72,        97.72,        97.72,4.46
Nifty100 Liq 15,      3859.65,      3860.80,      3876.35,      3834.65,      3848.80,-10.85
Nifty CPSE,      1747.30,      1738.65,      1769.05,      1727.45,      1765.05,17.75
Nifty GrowSect 15,      7618.45,      7590.85,      7597.05,      7503.95,      7521.60,-96.85
Nifty50 PR 2x Lev,      7212.25,      7180.15,      7211.75,      7077.65,      7113.25,-99
Nifty50 PR 1x Inv,       286.70,       287.35,       289.40,       286.75,       288.70,2
Nifty50 TR 2x Lev,      9595.65,      9558.50,      9600.60,      9422.15,      9469.50,-126.15
Nifty50 TR 1x Inv,       248.70,       249.15,       250.95,       248.65,       250.30,1.6
Nifty50 Value 20,      7328.50,      7316.45,      7331.25,      7274.35,      7295.00,-33.5
Nifty Mid Liq 15,      6034.30,      6022.55,      6080.60,      6010.80,      6039.15,4.85
Nifty Pvt Bank,     19777.35,     19756.55,     19821.50,     19528.30,     19589.20,-188.15
NIFTY100 Qualty30,      3428.05,      3423.30,      3428.00,      3393.15,      3402.05,-26
Nifty GS 8 13Yr,      2232.77,      2233.14,      2233.14,      2230.51,      2230.51,-2.26
Nifty GS 10Yr,      2022.67,      2023.00,      2023.85,      2020.21,      2021.83,-.84
Nifty GS 10Yr Cln,       955.81,       955.81,       956.22,       954.47,       955.25,-.56
Nifty GS 4 8Yr,      2376.73,      2377.10,      2377.11,      2373.37,      2373.37,-3.36
Nifty GS 11 15Yr,      2385.26,      2385.69,      2385.69,      2382.57,      2382.57,-2.69
Nifty GS 15YrPlus,      2626.14,      2626.63,      2626.63,      2621.73,      2621.73,-4.41
Nifty GS Compsite,      2273.72,      2274.10,      2274.10,      2270.79,      2270.79,-2.93
