"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 06-Apr-2021","30 D % CHNG 
 07-Mar-2022"
"NIFTY 100","18,006.65","18,092.30","17,906.10","18,075.10","17,920.80","-154.30","-0.85",598781985,"355,767,962,022.67","18,870.70","14,329.60","21.83","12.36"
"GODREJCP","759.10","791.45","753.00","752.45","785.40","32.95","4.38",3504782,"2,733,659,864.36","1,138.00","660.05","3.39","13.20"
"PEL","2,274.25","2,375.00","2,271.95","2,269.70","2,364.00","94.30","4.15",1457982,"3,417,261,951.06","3,014.95","1,607.10","29.68","20.31"
"AXISBANK","769.50","795.00","769.20","773.70","791.85","18.15","2.35",9820244,"7,731,085,291.44","866.90","626.65","14.13","15.90"
"ICICIGI","1,367.40","1,404.40","1,367.05","1,367.40","1,394.50","27.10","1.98",582805,"812,115,455.30","1,675.00","1,192.00","-4.17","13.44"
"DABUR","540.50","556.00","540.50","541.45","551.45","10.00","1.85",2078365,"1,146,342,999.40","658.95","502.00","-1.01","7.02"
"NAUKRI","4,749.95","4,849.00","4,691.00","4,728.85","4,816.00","87.15","1.84",461245,"2,213,099,634.50","7,465.40","4,208.45","5.09","10.28"
"DIVISLAB","4,386.90","4,470.00","4,386.90","4,386.90","4,460.00","73.10","1.67",387968,"1,717,650,726.40","5,425.10","3,584.00","18.95","7.66"
"LUPIN","775.00","787.00","768.00","772.80","785.25","12.45","1.61",1301142,"1,017,701,226.72","1,267.65","678.80","-25.83","10.27"
"ICICIPRULI","517.00","528.90","514.15","516.50","524.00","7.50","1.45",1371691,"716,393,058.57","724.30","430.00","15.16","15.60"
"HINDUNILVR","2,139.95","2,175.00","2,135.10","2,142.05","2,170.00","27.95","1.30",1824732,"3,947,807,682.00","2,859.30","1,901.55","-11.06","10.19"
"AMBUJACEM","320.20","327.40","320.05","320.70","324.65","3.95","1.23",5192205,"1,683,209,016.90","442.50","274.00","4.98","14.05"
"DMART","4,099.90","4,244.00","4,092.00","4,101.90","4,149.90","48.00","1.17",979784,"4,108,253,907.68","5,900.00","2,676.40","44.25","2.76"
"ICICIBANK","737.10","757.80","737.10","741.60","748.90","7.30","0.98",15087175,"11,312,212,943.25","867.00","531.15","31.05","13.44"
"INDUSTOWER","217.05","220.30","215.70","217.05","219.15","2.10","0.97",5650354,"1,234,545,845.46","332.80","194.10","-13.53","9.15"
"DRREDDY","4,295.00","4,357.05","4,276.75","4,276.75","4,311.50","34.75","0.81",279402,"1,207,421,772.90","5,614.60","3,654.00","-7.41","13.46"
"TECHM","1,454.00","1,474.65","1,450.70","1,459.35","1,471.00","11.65","0.80",3336784,"4,888,421,927.84","1,838.00","937.00","47.21","2.48"
"M&M","826.00","840.30","822.30","827.85","833.65","5.80","0.70",2913537,"2,423,334,399.75","979.00","671.15","5.99","19.88"
"DLF","403.90","407.50","397.40","398.05","400.80","2.75","0.69",8931310,"3,594,048,457.10","449.70","231.85","42.77","26.93"
