Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-02,ADANIGREEN,EQ,1843.4,1806.0,1899.0,1800.05,1879.9,1882.55,1860.27,977410,181824326505000.0,49266,571096,0.5843
2022-03-03,ADANIGREEN,EQ,1882.55,1930.0,1997.0,1916.2,1951.0,1950.9,1957.71,1175563,230141699094999.97,57325,556857,0.4737
2022-03-04,ADANIGREEN,EQ,1950.9,1947.9,1950.0,1885.0,1891.95,1894.3,1910.3,646859,123569463015000.02,28492,404338,0.6251
2022-03-07,ADANIGREEN,EQ,1894.3,1850.0,1879.5,1784.1,1812.0,1803.75,1823.18,636784,116097220915000.02,41980,394736,0.6199
2022-03-08,ADANIGREEN,EQ,1803.75,1849.65,1873.75,1751.0,1791.0,1783.95,1808.66,844346,152713641850000.0,53478,436647,0.5171
2022-03-09,ADANIGREEN,EQ,1783.95,1825.0,1849.0,1810.0,1828.8,1828.75,1832.27,525645,96312226025000.0,34501,297177,0.5654
2022-03-10,ADANIGREEN,EQ,1828.75,1864.7,1915.0,1853.2,1886.0,1881.85,1889.93,657959,124349369480000.0,37044,323922,0.49229999999999996
2022-03-11,ADANIGREEN,EQ,1881.85,1897.9,1897.9,1850.25,1856.95,1860.05,1877.71,382512,71824789370000.0,23692,191208,0.4999
2022-03-14,ADANIGREEN,EQ,1860.05,1860.05,1872.85,1801.25,1832.0,1822.4,1832.89,362116,66372012379999.99,24916,199251,0.5502
2022-03-15,ADANIGREEN,EQ,1822.4,1840.7,1850.0,1785.0,1804.95,1798.75,1806.36,396469,71616600045000.0,33529,204252,0.5152
2022-03-16,ADANIGREEN,EQ,1798.75,1835.0,1843.0,1810.8,1840.0,1833.65,1830.52,315891,57824568635000.0,21297,190579,0.6033
2022-03-17,ADANIGREEN,EQ,1833.65,1870.0,1950.0,1825.7,1935.5,1901.2,1879.59,1137281,213762398195000.0,53009,659318,0.5797
2022-03-21,ADANIGREEN,EQ,1901.2,1939.8,1948.0,1863.5,1869.1,1876.05,1890.93,546502,103339517580000.0,35671,284198,0.52
2022-03-22,ADANIGREEN,EQ,1876.05,1860.0,1905.0,1855.0,1875.0,1877.45,1879.02,337757,63465160825000.0,22703,126041,0.37320000000000003
2022-03-23,ADANIGREEN,EQ,1877.45,1884.4,1941.9,1877.5,1919.95,1921.4,1914.52,834792,159822264680000.0,37385,446179,0.5345000000000001
2022-03-24,ADANIGREEN,EQ,1921.4,1887.0,1924.0,1887.0,1913.9,1911.4,1907.55,477913,91164512195000.0,26747,231644,0.4847
2022-03-25,ADANIGREEN,EQ,1911.4,1928.5,1947.4,1895.0,1928.1,1921.25,1914.46,579479,110938812309999.98,26123,212046,0.36590000000000006
2022-03-28,ADANIGREEN,EQ,1921.25,1932.95,1940.65,1895.45,1935.2,1930.85,1917.89,746161,143105357485000.0,27656,364307,0.4882
2022-03-29,ADANIGREEN,EQ,1930.85,1935.2,1947.0,1904.0,1926.0,1923.3,1921.74,481913,92611077075000.0,23039,178664,0.37070000000000003
2022-03-30,ADANIGREEN,EQ,1923.3,1936.0,2039.8,1776.25,1829.0,1857.15,1937.9,2316424,448900618850000.0,106892,789654,0.34090000000000004
2022-03-31,ADANIGREEN,EQ,1857.15,1890.0,1940.0,1876.25,1928.0,1914.7,1906.02,1144220,218090837140000.0,59793,417001,0.3644
