Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2022-03-02,ADANIPORTS,EQ,707.5,702.95,717.9,697.6,710.05,710.3,709.26,4448558,315517870845000.0,68822,1487649,0.3344
2022-03-03,ADANIPORTS,EQ,710.3,718.8,724.6,703.0,708.0,706.7,709.72,7533817,534690872925000.0,85752,4096611,0.5438000000000001
2022-03-04,ADANIPORTS,EQ,706.7,699.9,710.7,689.05,698.0,700.15,699.98,7941457,555888078660000.06,99357,3779340,0.47590000000000005
2022-03-07,ADANIPORTS,EQ,700.15,690.0,691.7,663.55,680.0,677.8,675.57,4890958,330416999755000.0,99202,1382822,0.2827
2022-03-08,ADANIPORTS,EQ,677.8,679.65,692.0,670.6,689.55,688.85,683.05,3831397,261703754415000.0,79726,660212,0.1723
2022-03-09,ADANIPORTS,EQ,688.85,697.0,718.0,692.7,714.0,714.1,708.34,5351552,379072934285000.0,103313,1058194,0.1977
2022-03-10,ADANIPORTS,EQ,714.1,727.9,737.65,720.6,729.5,730.4,730.32,5850213,427254370425000.0,90840,1864448,0.31870000000000004
2022-03-11,ADANIPORTS,EQ,730.4,729.5,731.75,722.3,726.0,729.45,727.9,2864685,208520435650000.0,55397,889458,0.3105
2022-03-14,ADANIPORTS,EQ,729.45,725.95,733.5,724.0,731.35,730.55,729.75,1905433,139048331545000.0,47272,552515,0.29
2022-03-15,ADANIPORTS,EQ,730.55,733.0,736.0,716.25,719.9,721.3,728.37,4228582,307999178885000.0,62879,1969193,0.4657
2022-03-16,ADANIPORTS,EQ,721.3,726.0,729.5,721.0,724.4,723.8,724.45,2693057,195098645960000.0,46850,1222433,0.4539
2022-03-17,ADANIPORTS,EQ,723.8,730.5,743.8,729.55,738.5,740.1,738.79,4957379,366243727085000.0,83927,2153753,0.43450000000000005
2022-03-21,ADANIPORTS,EQ,740.1,741.0,750.45,725.4,734.45,735.15,738.78,6662688,492228969170000.0,101109,2280807,0.3423
2022-03-22,ADANIPORTS,EQ,735.15,735.0,743.9,723.05,739.0,739.15,733.94,5010054,367705849305000.0,83770,1215863,0.2427
2022-03-23,ADANIPORTS,EQ,739.15,747.95,751.0,731.8,733.8,733.75,740.43,4698808,347916016695000.0,76232,1117113,0.2377
2022-03-24,ADANIPORTS,EQ,733.75,733.0,742.3,731.0,732.8,733.45,736.05,2914647,214532957015000.0,60268,947349,0.325
2022-03-25,ADANIPORTS,EQ,733.45,737.0,746.9,730.05,744.5,743.25,738.23,4003497,295551993645000.0,56980,1094839,0.2735
2022-03-28,ADANIPORTS,EQ,743.25,747.0,749.7,726.55,735.9,737.0,735.0,5691095,418296636670000.0,114682,2070326,0.3638
2022-03-29,ADANIPORTS,EQ,737.0,741.0,766.9,738.05,760.25,761.95,754.87,11423551,862333126640000.0,145925,2472342,0.2164
2022-03-30,ADANIPORTS,EQ,761.95,768.8,775.95,762.1,765.5,767.4,769.15,6913983,531785948435000.06,106951,1576930,0.2281
2022-03-31,ADANIPORTS,EQ,767.4,767.4,781.0,765.5,772.65,774.2,774.64,5468951,423646287495000.0,81182,1243606,0.2274
