SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Volume,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,3 day price
HDFCAMC,2022-06-17,EQ,1784.95,1768.0,1779.45,1713.1,1764.25,783177,392521,50.12,"Vol Up, Delivery Down",1,Price increasing with decreasing volume
HDFCAMC,2022-06-20,EQ,1768.25,1768.0,1794.95,1756.0,1780.0,284912,128068,44.95,"Vol Up, Delivery Down",1,Price increasing with decreasing volume
HDFCAMC,2022-06-21,EQ,1787.35,1796.0,1863.05,1784.3,1855.9,287952,85890,29.830000000000002,"Vol Up, Delivery Down",1,Price increasing with decreasing volume
WIPRO,2022-06-17,EQ,422.3,416.0,418.75,402.05,406.4,20775273,11009933,53.0,-,0,Price increasing with decreasing volume
WIPRO,2022-06-20,EQ,405.2,409.0,417.9,404.15,417.85,10375419,4409850,42.5,-,0,Price increasing with decreasing volume
WIPRO,2022-06-21,EQ,414.65,420.0,426.75,416.65,425.4,6093902,1991589,32.68,-,0,Price increasing with decreasing volume
ULTRACEMCO,2022-06-17,EQ,5305.25,5300.0,5302.95,5157.05,5182.45,819352,461158,56.28000000000001,-,0,Price increasing with decreasing volume
ULTRACEMCO,2022-06-20,EQ,5177.3,5179.0,5347.45,5161.8,5330.0,506142,172974,34.17,-,0,Price increasing with decreasing volume
ULTRACEMCO,2022-06-21,EQ,5333.3,5355.0,5433.0,5262.05,5419.5,292408,96269,32.92,-,0,Price increasing with decreasing volume
TATACONSUM,2022-06-17,EQ,724.95,723.05,728.5,708.8,713.0,1329315,550380,41.4,-,0,Price increasing with decreasing volume
TATACONSUM,2022-06-20,EQ,711.65,718.45,722.75,705.0,715.55,1028878,341233,33.17,-,0,Price increasing with decreasing volume
TATACONSUM,2022-06-21,EQ,716.85,720.0,733.0,720.0,727.0,816577,219041,26.82,-,0,Price increasing with decreasing volume
SUNPHARMA,2022-06-17,EQ,814.6,805.2,810.3,789.9,791.0,5719089,3851651,67.35,-,0,Price increasing with decreasing volume
SUNPHARMA,2022-06-20,EQ,793.4,801.0,813.5,794.5,803.25,2745302,929197,33.85,-,0,Price increasing with decreasing volume
SUNPHARMA,2022-06-21,EQ,805.3,806.6,820.3,805.35,816.3,1342717,684452,50.980000000000004,-,0,Price increasing with decreasing volume
PAYTM,2022-06-17,EQ,613.95,613.0,648.0,599.55,646.3,9659716,3804127,39.38,-,0,Price decreasing with decreasing volume
PAYTM,2022-06-20,EQ,630.15,642.0,654.0,619.55,639.0,4794450,638543,13.320000000000002,-,0,Price decreasing with decreasing volume
PAYTM,2022-06-21,EQ,644.35,655.0,659.0,631.75,635.5,2866888,434532,15.160000000000002,-,0,Price decreasing with decreasing volume
JUBLFOOD,2022-06-17,EQ,511.4,509.7,509.7,487.0,491.65,5731010,1922643,33.55,-,0,Price increasing with decreasing volume
JUBLFOOD,2022-06-20,EQ,490.55,493.05,507.8,488.0,497.0,4782123,1300673,27.200000000000003,-,0,Price increasing with decreasing volume
JUBLFOOD,2022-06-21,EQ,496.9,502.0,520.45,496.5,517.8,3394802,1246046,36.7,-,0,Price increasing with decreasing volume
ICICIGI,2022-06-17,EQ,1131.85,1121.0,1135.0,1104.7,1111.4,1136156,715581,62.980000000000004,-,0,Price increasing with decreasing volume
ICICIGI,2022-06-20,EQ,1113.2,1120.95,1129.0,1106.25,1126.85,388341,235596,60.67,-,0,Price increasing with decreasing volume
ICICIGI,2022-06-21,EQ,1126.35,1135.0,1148.6,1131.9,1143.0,280231,132298,47.21,-,0,Price increasing with decreasing volume
HINDUNILVR,2022-06-17,EQ,2146.7,2160.0,2160.4,2100.0,2102.65,3252189,2127025,65.4,-,0,Price increasing with decreasing volume
HINDUNILVR,2022-06-20,EQ,2110.45,2111.0,2202.9,2108.15,2190.65,2022000,905245,44.77,-,0,Price increasing with decreasing volume
HINDUNILVR,2022-06-21,EQ,2195.9,2195.0,2232.0,2172.15,2207.8,1606187,845444,52.64,-,0,Price increasing with decreasing volume
HDFCLIFE,2022-06-17,EQ,570.55,564.0,572.0,547.4,551.8,5050203,2718736,53.83,-,0,Price increasing with decreasing volume
HDFCLIFE,2022-06-20,EQ,550.8,551.0,558.45,545.85,553.5,1278783,417539,32.65,-,0,Price increasing with decreasing volume
HDFCLIFE,2022-06-21,EQ,553.15,555.4,565.8,555.0,563.45,982122,345666,35.2,-,0,Price increasing with decreasing volume
HAVELLS,2022-06-17,EQ,1093.4,1082.0,1103.95,1063.6,1070.1,1136315,594649,52.33,-,0,Price increasing with decreasing volume
