,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
0,SAIL,2022-04-18,EQ,106.5,106.0,107.25,104.45,105.0,105.25,105.78,26261827,277797910625000.0,70541,6929080,26.38,"Vol Up, Delivery Down",1,0.591
1,SAIL,2022-04-19,EQ,105.25,106.0,108.0,102.5,102.9,104.1,106.61,26307915,280458249230000.03,75042,6885241,26.170000000000005,"Vol Up, Delivery Down",1,0.591
28,ADANIENT,2022-04-18,EQ,2199.45,2179.8,2240.0,2156.75,2233.8,2233.85,2203.38,1747434,385026289690000.0,60523,337138,19.29,"Vol Down, Delivery Up",1,0.552
29,ADANIENT,2022-04-19,EQ,2233.85,2245.0,2255.0,2140.1,2145.0,2168.3,2216.45,1639219,363324807450000.0,50660,342646,20.9,"Vol Down, Delivery Up",1,0.552
2,PNB,2022-04-18,EQ,36.65,36.4,36.4,35.7,36.2,36.2,36.06,29188725,105240285525000.0,49530,7418109,25.41,"Vol Up, Delivery Down",1,0.508
3,PNB,2022-04-19,EQ,36.2,36.4,36.6,35.2,35.45,35.7,36.16,31729898,114750632215000.02,48125,7164772,22.58,"Vol Up, Delivery Down",1,0.508
4,PAYTM,2022-04-18,EQ,691.2,682.7,683.45,654.3,663.0,661.35,667.44,4968319,331603259790000.0,116080,1172642,23.6,"Vol Up, Delivery Down",1,0.477
5,PAYTM,2022-04-19,EQ,661.35,672.0,694.5,634.0,641.95,656.65,678.39,8060454,546809631880000.0,168161,1058621,13.13,"Vol Up, Delivery Down",1,0.477
12,JSWSTEEL,2022-04-18,EQ,766.35,764.0,775.85,758.4,768.0,767.85,767.63,5866740,450347786310000.06,88667,2149059,36.63,"Vol Up, Delivery Down",1,0.471
13,JSWSTEEL,2022-04-19,EQ,767.85,772.7,790.0,736.1,740.4,746.4,773.7,7301285,564896793190000.0,113702,1300589,17.81,"Vol Up, Delivery Down",1,0.471
26,ADANIPORTS,2022-04-18,EQ,840.5,831.35,846.75,821.4,845.0,842.7,833.04,3969878,330706632025000.0,75702,1324295,33.36,"Vol Up, Delivery Down",1,0.46
27,ADANIPORTS,2022-04-19,EQ,842.7,849.0,850.25,807.0,811.0,819.3,836.8,4472320,374244708365000.0,70271,932076,20.84,"Vol Up, Delivery Down",1,0.46
8,MUTHOOTFIN,2022-04-18,EQ,1336.8,1336.0,1336.0,1295.4,1319.15,1319.15,1310.0,480858,62992381895000.01,35374,201810,41.97,"Vol Down, Delivery Up",1,0.421
9,MUTHOOTFIN,2022-04-19,EQ,1319.15,1325.0,1345.0,1290.0,1293.35,1303.5,1317.0,422307,55617881154999.99,26162,228773,54.17000000000001,"Vol Down, Delivery Up",1,0.421
14,HAVELLS,2022-04-18,EQ,1273.7,1268.95,1297.9,1260.7,1280.0,1279.8,1280.03,1154240,147745972640000.0,56489,463172,40.13,"Vol Down, Delivery Up",1,0.398
15,HAVELLS,2022-04-19,EQ,1279.8,1281.0,1305.8,1266.95,1268.15,1285.8,1290.71,1033067,133339163045000.0,30999,511536,49.52,"Vol Down, Delivery Up",1,0.398
22,BAJAJHLDNG,2022-04-18,EQ,5517.05,5490.4,5497.9,5175.0,5224.0,5204.4,5261.98,148805,78300901440000.0,36110,50942,34.23,"Vol Up, Delivery Down",1,0.396
