,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
0,ZOMATO,2022-06-20,EQ,67.05,68.0,68.0,64.05,64.85,65.0,65.57,27409011,179732314650000.0,66650,3305037,12.06,"Vol Down, Delivery Up",1,0.649
1,ZOMATO,2022-06-21,EQ,65.0,65.5,67.25,65.35,66.05,66.05,66.28,22905677,151816736295000.0,53474,4184802,18.27,"Vol Down, Delivery Up",1,0.649
4,SAIL,2022-06-20,EQ,68.45,68.6,68.6,63.6,65.05,64.9,65.06,44821242,291597601155000.0,115488,8345622,18.62,"Vol Up, Delivery Down",1,0.584
5,SAIL,2022-06-21,EQ,64.9,65.6,69.4,64.6,69.05,68.8,67.09,51488728,345416947560000.0,98027,6543181,12.710000000000004,"Vol Up, Delivery Down",1,0.584
12,INDUSTOWER,2022-06-20,EQ,208.0,209.15,212.5,206.15,209.5,209.4,209.63,2850840,59762334045000.01,28753,660052,23.15,"Vol Down, Delivery Up",1,0.537
13,INDUSTOWER,2022-06-21,EQ,209.4,212.0,212.0,207.75,209.0,208.2,209.66,2238910,46941633880000.0,28537,935211,41.77,"Vol Down, Delivery Up",1,0.537
6,PNB,2022-06-20,EQ,29.05,29.25,29.35,28.05,28.55,28.45,28.54,25688389,73324650380000.0,38537,6324463,24.62,"Vol Down, Delivery Up",1,0.513
7,PNB,2022-06-21,EQ,28.45,28.7,30.0,28.55,29.85,29.75,29.47,24011383,70758612850000.0,37715,6520804,27.16,"Vol Down, Delivery Up",1,0.513
8,NYKAA,2022-06-20,EQ,1379.95,1375.0,1384.75,1326.0,1360.0,1371.2,1355.47,337026,45682836550000.0,21936,48953,14.52,"Vol Down, Delivery Up",1,0.485
9,NYKAA,2022-06-21,EQ,1371.2,1398.0,1414.0,1380.0,1391.0,1392.15,1393.0,219254,30542049210000.004,15670,52272,23.84,"Vol Down, Delivery Up",1,0.485
24,ADANIPORTS,2022-06-20,EQ,668.95,671.0,673.9,653.1,663.8,663.15,661.74,3507676,232116706130000.03,56963,424044,12.09,"Vol Down, Delivery Up",1,0.469
25,ADANIPORTS,2022-06-21,EQ,663.15,670.5,691.55,667.1,689.1,689.1,682.25,3313116,226037720185000.0,52413,444588,13.420000000000002,"Vol Down, Delivery Up",1,0.469
22,BAJFINANCE,2022-06-20,EQ,5419.55,5428.0,5510.0,5352.0,5473.0,5470.45,5444.69,1119456,609509013725000.0,89490,196128,17.52,"Vol Down, Delivery Up",1,0.461
23,BAJFINANCE,2022-06-21,EQ,5470.45,5525.0,5564.0,5455.0,5544.0,5549.15,5517.63,1002359,553064734145000.0,85949,233987,23.34,"Vol Down, Delivery Up",1,0.461
