SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency
ZOMATO,2022-06-21,EQ,65.0,65.5,67.25,65.35,66.05,66.05,66.28,22905677,151816736295000.0,53474,4184802,18.27,"Vol Up, Delivery Down",1
ZOMATO,2022-06-22,EQ,66.05,65.95,68.6,65.0,66.95,67.6,67.45,35026600,236237036130000.03,91281,2776819,7.93,"Vol Up, Delivery Down",1
TATAMOTORS,2022-06-21,EQ,382.7,389.0,399.0,387.0,398.1,397.6,394.92,14743366,582239067485000.0,148497,2818850,19.12,"Vol Down, Delivery Up",1
TATAMOTORS,2022-06-22,EQ,397.6,396.4,397.0,390.5,392.8,393.1,393.64,12426604,489163216145000.0,120100,2907567,23.4,"Vol Down, Delivery Up",1
SIEMENS,2022-06-21,EQ,2284.6,2296.0,2354.3,2289.0,2335.95,2346.6,2338.04,145975,34129519580000.0,14046,63261,43.34,"Vol Up, Delivery Down",1
SIEMENS,2022-06-22,EQ,2346.6,2349.0,2350.25,2250.8,2277.75,2274.2,2299.53,325919,74945953330000.0,27490,56741,17.41,"Vol Up, Delivery Down",1
RELIANCE,2022-06-21,EQ,2543.05,2560.0,2593.4,2528.3,2582.0,2584.1,2562.46,5408801,1385982757620000.0,219641,1906058,35.24,"Vol Down, Delivery Up",1
RELIANCE,2022-06-22,EQ,2584.1,2558.1,2558.3,2501.0,2502.0,2505.6,2524.18,4899839,1236807558125000.0,229961,2129069,43.45,"Vol Down, Delivery Up",1
PIDILITIND,2022-06-21,EQ,2106.65,2108.9,2120.0,2082.7,2099.0,2100.6,2102.04,521691,109661336480000.0,40804,83156,15.939999999999998,"Vol Down, Delivery Up",1
PIDILITIND,2022-06-22,EQ,2100.6,2101.0,2134.8,2075.0,2075.1,2082.1,2099.45,496514,104240464795000.0,41376,103624,20.87,"Vol Down, Delivery Up",1
MARICO,2022-06-21,EQ,484.9,487.0,495.5,477.95,484.1,484.9,486.24,1739570,84585486545000.0,43521,825646,47.46,"Vol Down, Delivery Up",1
MARICO,2022-06-22,EQ,484.9,481.7,483.65,473.15,480.55,481.15,478.88,1674643,80195436945000.0,50373,887552,53.0,"Vol Down, Delivery Up",1
LUPIN,2022-06-21,EQ,606.8,610.0,634.9,608.95,630.7,629.85,628.43,1735545,109067480700000.0,35650,233540,13.460000000000003,"Vol Down, Delivery Up",1
LUPIN,2022-06-22,EQ,629.85,629.85,636.0,609.25,613.95,613.15,619.8,1283868,79574286560000.0,30135,269679,21.01,"Vol Down, Delivery Up",1
INDUSTOWER,2022-06-21,EQ,209.4,212.0,212.0,207.75,209.0,208.2,209.66,2238910,46941633880000.0,28537,935211,41.77,"Vol Up, Delivery Down",1
INDUSTOWER,2022-06-22,EQ,208.2,208.8,210.65,206.0,209.0,209.0,208.38,2399571,50002482850000.0,21679,888388,37.02,"Vol Up, Delivery Down",1
INDIGO,2022-06-21,EQ,1549.3,1586.0,1634.9,1557.55,1630.05,1627.6,1607.37,1298081,208649699105000.0,38154,260120,20.04,"Vol Down, Delivery Up",1
INDIGO,2022-06-22,EQ,1627.6,1600.0,1670.0,1590.4,1656.65,1646.85,1627.65,920897,149889421575000.0,35690,299798,32.55,"Vol Down, Delivery Up",1
HDFCAMC,2022-06-21,EQ,1787.35,1796.0,1863.05,1784.3,1855.9,1855.05,1838.69,287952,52945331125000.0,22573,85890,29.830000000000002,"Vol Down, Delivery Up",1
HDFCAMC,2022-06-22,EQ,1855.05,1841.0,1849.2,1819.75,1820.0,1828.5,1836.53,248738,45681449320000.0,11815,151640,60.96,"Vol Down, Delivery Up",1
GODREJCP,2022-06-21,EQ,759.0,759.0,776.2,745.1,760.0,762.0,760.77,1279545,97343365690000.0,43662,446367,34.88,"Vol Down, Delivery Up",1
GODREJCP,2022-06-22,EQ,762.0,758.3,768.7,750.0,761.0,762.05,758.54,896052,67968786829999.99,57843,449284,50.14000000000001,"Vol Down, Delivery Up",1
GAIL,2022-06-21,EQ,131.15,134.0,137.0,131.5,136.45,136.35,135.9,9487405,128933002525000.0,73225,3009908,31.730000000000004,"Vol Up, Delivery Down",1
GAIL,2022-06-22,EQ,136.35,134.5,134.9,130.35,133.4,133.6,132.24,12829949,169668363270000.0,55116,2972438,23.17,"Vol Up, Delivery Down",1
DABUR,2022-06-21,EQ,500.8,501.65,510.45,497.9,505.25,505.9,506.03,1819682,92081984850000.0,36286,707807,38.9,"Vol Down, Delivery Up",1
DABUR,2022-06-22,EQ,505.9,505.5,512.4,495.15,498.0,498.95,503.07,1766236,88854816520000.0,38392,839561,47.53,"Vol Down, Delivery Up",1
COALINDIA,2022-06-21,EQ,176.85,178.0,185.65,178.0,185.15,184.8,182.38,7564329,137959470795000.0,47069,1602557,21.19,"Vol Down, Delivery Up",1
COALINDIA,2022-06-22,EQ,184.8,184.75,184.75,179.0,179.5,179.35,181.51,6560404,119078852695000.0,66391,1691212,25.78,"Vol Down, Delivery Up",1
BOSCHLTD,2022-06-21,EQ,13286.2,13345.0,13730.05,13304.35,13668.05,13662.2,13575.11,14668,19911971465000.0,4476,4136,28.199999999999996,"Vol Down, Delivery Up",1
BOSCHLTD,2022-06-22,EQ,13662.2,13650.0,13709.95,13405.05,13493.35,13437.85,13552.84,13706,18575528225000.0,4601,4256,31.05,"Vol Down, Delivery Up",1
BERGEPAINT,2022-06-21,EQ,578.7,582.1,590.0,578.85,587.75,585.45,584.92,587420,34359210195000.0,30138,174443,29.7,"Vol Up, Delivery Down",1
BERGEPAINT,2022-06-22,EQ,585.45,587.05,593.15,570.0,586.5,584.85,584.53,648183,37888460090000.0,22444,97680,15.07,"Vol Up, Delivery Down",1
BAJAJHLDNG,2022-06-21,EQ,4495.8,4496.0,4718.9,4495.9,4590.0,4596.05,4623.16,49258,22772775605000.0,14609,12266,24.9,"Vol Down, Delivery Up",1
BAJAJHLDNG,2022-06-22,EQ,4596.05,4596.0,4622.35,4465.6,4480.0,4487.0,4525.72,30000,13577172125000.0,11063,14200,47.33,"Vol Down, Delivery Up",1
BAJAJ-AUTO,2022-06-21,EQ,3615.95,3631.0,3675.0,3616.05,3647.0,3645.25,3645.51,424763,154847729250000.0,27421,219458,51.67,"Vol Up, Delivery Down",1
BAJAJ-AUTO,2022-06-22,EQ,3645.25,3645.0,3721.5,3614.15,3637.0,3635.65,3660.0,585483,214286823125000.0,49694,104834,17.91,"Vol Up, Delivery Down",1
ADANIGREEN,2022-06-21,EQ,1743.65,1760.0,1834.0,1722.0,1803.95,1809.1,1783.52,1280817,228435755469999.97,59558,295759,23.09,"Vol Down, Delivery Up",1
ADANIGREEN,2022-06-22,EQ,1809.1,1779.1,1793.6,1720.05,1731.0,1736.1,1763.84,1277913,225403156760000.0,55467,489918,38.34,"Vol Down, Delivery Up",1
