SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency
VEDL,2022-04-27,EQ,411.6,411.8,418.0,405.45,412.15,412.65,410.53,7572088,310853446790000.0,53791,1139739,15.050000000000002,"Vol Down, Delivery Up",1
VEDL,2022-04-28,EQ,412.65,417.95,417.95,405.05,411.2,411.65,411.05,6480515,266383700960000.0,50093,2557130,39.46,"Vol Down, Delivery Up",1
TCS,2022-04-27,EQ,3546.3,3546.0,3568.45,3506.3,3560.0,3561.2,3540.41,1727648,611657920275000.0,111612,1068875,61.870000000000005,"Vol Down, Delivery Up",1
TCS,2022-04-28,EQ,3561.2,3588.0,3604.4,3538.05,3580.0,3584.3,3574.03,1703660,608893392550000.0,122574,1117294,65.58,"Vol Down, Delivery Up",1
SBILIFE,2022-04-27,EQ,1094.85,1093.0,1098.9,1061.2,1075.0,1074.2,1073.93,1202603,129151120740000.02,63483,799450,66.48,"Vol Up, Delivery Down",1
SBILIFE,2022-04-28,EQ,1074.2,1068.5,1125.0,1066.4,1113.95,1116.85,1101.46,1643102,180981099815000.0,71106,632153,38.47,"Vol Up, Delivery Down",1
PAYTM,2022-04-27,EQ,613.4,609.4,609.45,590.0,591.0,592.1,598.73,3000929,179673801075000.0,62893,731618,24.38,"Vol Up, Delivery Down",1
PAYTM,2022-04-28,EQ,592.1,600.0,603.75,580.4,582.5,582.25,586.89,3173879,186271558765000.0,70824,652911,20.57,"Vol Up, Delivery Down",1
ONGC,2022-04-27,EQ,166.95,167.95,168.9,163.35,164.4,164.85,165.6,13981957,231543040125000.0,83044,4872884,34.85,"Vol Down, Delivery Up",1
ONGC,2022-04-28,EQ,164.85,166.0,166.0,162.45,164.9,164.8,164.54,13030499,214409623760000.0,56528,6113547,46.92,"Vol Down, Delivery Up",1
NYKAA,2022-04-27,EQ,1710.1,1676.0,1724.5,1676.0,1692.5,1697.35,1699.31,314217,53395062005000.0,12767,112828,35.91,"Vol Down, Delivery Up",1
NYKAA,2022-04-28,EQ,1697.35,1716.3,1724.45,1691.85,1710.0,1712.1,1708.67,230326,39355188670000.0,15344,114134,49.55,"Vol Down, Delivery Up",1
NAUKRI,2022-04-27,EQ,4539.1,4500.0,4555.0,4464.0,4487.0,4480.4,4518.64,244291,110386391955000.0,32593,136957,56.06,"Vol Up, Delivery Down",1
NAUKRI,2022-04-28,EQ,4480.4,4545.0,4680.0,4481.4,4664.0,4663.25,4600.62,346027,159193957095000.0,34284,136923,39.57,"Vol Up, Delivery Down",1
MCDOWELL-N,2022-04-27,EQ,870.35,867.8,874.55,855.3,864.15,865.25,864.31,878716,75948483180000.0,29476,373761,42.53,"Vol Down, Delivery Up",1
