,SYMBOL,28-OCT-2021,29-OCT-2021,01-NOV-2021,02-NOV-2021,03-NOV-2021,04-NOV-2021,08-NOV-2021,09-NOV-2021,10-NOV-2021,11-NOV-2021,12-NOV-2021,15-NOV-2021,V AVERAGE
3,TATAMOTORS,0.64,0.6381,0.6381,0.6362,0.6343,0.6324,0.6324,0.6305,0.6286,0.6286,0.6266,0.6247,0.633
39,INDUSINDBK,0.6171,0.6171,0.6247,0.6228,0.6228,0.6209,0.6381,0.6362,0.6362,0.6362,0.6343,0.6324,0.628
19,HINDALCO,0.5426,0.5407,0.5426,0.5426,0.5407,0.5407,0.5388,0.5368,0.5388,0.5368,0.5368,0.5368,0.54
29,TATASTEEL,0.5139,0.5139,0.5139,0.5158,0.5139,0.5139,0.512,0.512,0.512,0.5101,0.5082,0.5101,0.512
24,BAJFINANCE,0.4948,0.4929,0.4929,0.491,0.4891,0.4891,0.4891,0.4872,0.4853,0.4853,0.4853,0.4834,0.489
17,ADANIPORTS,0.4872,0.4872,0.4853,0.4853,0.4834,0.4834,0.4834,0.4814,0.4795,0.4795,0.4795,0.4776,0.483
27,AXISBANK,0.4834,0.4834,0.4834,0.4814,0.4814,0.4795,0.4776,0.4776,0.4757,0.4757,0.4738,0.4738,0.479
42,JSWSTEEL,0.4814,0.4795,0.4814,0.4814,0.4795,0.4776,0.4776,0.4776,0.4757,0.4757,0.4738,0.4738,0.478
46,BAJAJFINSV,0.4814,0.4795,0.4795,0.4776,0.4776,0.4757,0.4776,0.4757,0.4757,0.4757,0.4757,0.4738,0.477
4,ONGC,0.4795,0.4776,0.4776,0.4776,0.4757,0.4738,0.4738,0.4738,0.4719,0.4719,0.4719,0.47,0.475
13,UPL,0.47,0.4681,0.4681,0.4681,0.4681,0.4662,0.4643,0.4643,0.4643,0.4643,0.4623,0.4623,0.466
15,ICICIBANK,0.4547,0.4547,0.4528,0.4528,0.4509,0.4509,0.449,0.449,0.4471,0.4471,0.4451,0.4451,0.45
12,SBIN,0.4375,0.4356,0.4375,0.4356,0.4356,0.4337,0.4337,0.4337,0.4318,0.4318,0.4318,0.4299,0.434
2,M&M,0.4127,0.4127,0.4108,0.4108,0.4108,0.4108,0.4108,0.4127,0.4127,0.4127,0.4127,0.4108,0.412
10,BPCL,0.4031,0.4012,0.4012,0.3993,0.3993,0.3993,0.3993,0.3974,0.3974,0.3955,0.3955,0.3936,0.399
18,COALINDIA,0.3993,0.3993,0.4012,0.4012,0.3993,0.3993,0.3974,0.3974,0.3974,0.3955,0.3955,0.3974,0.398
33,BHARTIARTL,0.3917,0.3917,0.3936,0.3936,0.3936,0.3917,0.3917,0.3897,0.3917,0.3917,0.3917,0.3897,0.392
44,EICHERMOT,0.3897,0.3897,0.3917,0.3897,0.3897,0.3955,0.3955,0.3936,0.3936,0.3936,0.3917,0.3917,0.392
20,KOTAKBANK,0.3897,0.3917,0.3917,0.3917,0.3917,0.3897,0.3917,0.3897,0.3897,0.3897,0.3878,0.3878,0.39
26,TITAN,0.3897,0.3897,0.3897,0.3897,0.3878,0.3878,0.3917,0.3897,0.3897,0.3897,0.3878,0.3878,0.389
49,TECHM,0.3821,0.384,0.3859,0.384,0.384,0.384,0.384,0.384,0.3821,0.384,0.3859,0.3859,0.384
14,GRASIM,0.3802,0.3802,0.3821,0.3821,0.384,0.3821,0.384,0.3821,0.3821,0.3821,0.3802,0.3802,0.382
28,HDFC,0.3802,0.3802,0.3783,0.3783,0.3783,0.3764,0.3764,0.3764,0.3764,0.3745,0.3764,0.3745,0.377
31,TATACONSUM,0.3764,0.3764,0.3764,0.3745,0.3745,0.3725,0.3725,0.3725,0.3706,0.3706,0.3687,0.3687,0.373
48,WIPRO,0.3725,0.3725,0.3706,0.3706,0.3687,0.3687,0.3687,0.3668,0.3668,0.3668,0.3668,0.3668,0.369
1,MARUTI,0.3668,0.3649,0.3649,0.3668,0.3649,0.3649,0.363,0.363,0.363,0.3611,0.3611,0.3592,0.364
22,SHREECEM,0.3649,0.3649,0.3649,0.3649,0.363,0.363,0.363,0.3611,0.3611,0.3611,0.3592,0.3592,0.363
8,RELIANCE,0.3649,0.3649,0.363,0.363,0.363,0.3611,0.3611,0.3611,0.3592,0.3592,0.3592,0.3573,0.361
32,HDFCLIFE,0.3611,0.3611,0.3592,0.3592,0.3573,0.3573,0.3573,0.3554,0.3554,0.3534,0.3554,0.3534,0.357
25,SBILIFE,0.3573,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3534,0.3554,0.3554,0.3554,0.3554,0.356
