,SYMBOL,04-OCT-2021,05-OCT-2021,06-OCT-2021,07-OCT-2021,08-OCT-2021,11-OCT-2021,12-OCT-2021,13-OCT-2021,14-OCT-2021,18-OCT-2021,19-OCT-2021,20-OCT-2021,21-OCT-2021,V AVERAGE
39,INDUSINDBK,0.6324,0.6343,0.6343,0.6343,0.6324,0.6305,0.6305,0.6286,0.6286,0.6266,0.6247,0.6247,0.6228,0.63
3,TATAMOTORS,0.5731,0.5731,0.5712,0.5903,0.5903,0.598,0.5884,0.6381,0.6381,0.6362,0.64,0.6381,0.6381,0.609
19,HINDALCO,0.5426,0.5426,0.5426,0.5426,0.5407,0.5407,0.5388,0.5388,0.5388,0.5407,0.5407,0.5407,0.5426,0.541
29,TATASTEEL,0.5235,0.5235,0.5235,0.5216,0.5197,0.5197,0.5197,0.5177,0.5177,0.5177,0.5177,0.5177,0.5177,0.52
24,BAJFINANCE,0.5082,0.5063,0.5044,0.5044,0.5025,0.5025,0.5006,0.5006,0.4986,0.4986,0.4967,0.4967,0.4948,0.501
46,BAJAJFINSV,0.4948,0.4929,0.4929,0.491,0.4891,0.4891,0.4891,0.4872,0.4872,0.4853,0.4853,0.4853,0.4834,0.489
42,JSWSTEEL,0.4891,0.4891,0.4891,0.4891,0.4872,0.4853,0.4853,0.4853,0.4834,0.4853,0.4853,0.4853,0.4834,0.486
27,AXISBANK,0.4891,0.4872,0.4853,0.4853,0.4834,0.4834,0.4834,0.4814,0.4795,0.4795,0.4795,0.4776,0.4757,0.482
17,ADANIPORTS,0.4795,0.4776,0.4776,0.4776,0.4757,0.4757,0.4757,0.4757,0.4834,0.4814,0.4814,0.4814,0.4795,0.479
4,ONGC,0.4585,0.4795,0.4795,0.4814,0.4814,0.4814,0.4795,0.4795,0.4776,0.4776,0.4776,0.4776,0.4757,0.477
13,UPL,0.4776,0.4776,0.4776,0.4757,0.4757,0.4738,0.4738,0.4738,0.4719,0.47,0.47,0.47,0.47,0.474
12,SBIN,0.449,0.4471,0.4471,0.4451,0.4451,0.4451,0.4432,0.4413,0.4413,0.4413,0.4413,0.4413,0.4394,0.444
15,ICICIBANK,0.4432,0.4413,0.4413,0.4413,0.4394,0.4394,0.4375,0.4375,0.4375,0.4375,0.4356,0.4356,0.4356,0.439
2,M&M,0.4165,0.4146,0.4146,0.4184,0.4184,0.4165,0.4165,0.4203,0.4203,0.4203,0.4184,0.4184,0.4184,0.418
10,BPCL,0.4108,0.4088,0.4088,0.4088,0.4069,0.4069,0.405,0.405,0.4031,0.4031,0.4031,0.4031,0.4031,0.406
18,COALINDIA,0.3974,0.3993,0.4012,0.3993,0.3993,0.4031,0.3974,0.3974,0.3993,0.3993,0.3974,0.3974,0.3974,0.399
33,BHARTIARTL,0.4012,0.4012,0.4012,0.3993,0.3993,0.3974,0.3974,0.3974,0.3955,0.3955,0.3936,0.3955,0.3955,0.398
44,EICHERMOT,0.3936,0.3917,0.3917,0.3936,0.3917,0.3917,0.3917,0.3897,0.3897,0.3897,0.3936,0.3936,0.3917,0.392
28,HDFC,0.3917,0.3917,0.3897,0.3897,0.3878,0.3878,0.3878,0.3859,0.3859,0.3859,0.384,0.384,0.384,0.387
20,KOTAKBANK,0.3897,0.3878,0.3878,0.3859,0.3859,0.3859,0.384,0.384,0.3821,0.3821,0.3821,0.3802,0.3878,0.385
26,TITAN,0.3668,0.3668,0.3668,0.3897,0.3897,0.3878,0.3878,0.3878,0.3878,0.3859,0.3897,0.3897,0.3897,0.384
49,TECHM,0.384,0.3821,0.3821,0.3821,0.3821,0.384,0.3821,0.3821,0.3821,0.384,0.3859,0.384,0.384,0.383
14,GRASIM,0.3821,0.3821,0.3821,0.3802,0.3802,0.3821,0.3783,0.3802,0.3821,0.3821,0.3821,0.3821,0.384,0.382
31,TATACONSUM,0.3802,0.3802,0.3802,0.3802,0.3802,0.3783,0.3783,0.3802,0.3802,0.3783,0.3783,0.3783,0.3783,0.379
48,WIPRO,0.3725,0.3725,0.3725,0.3706,0.3725,0.3706,0.3706,0.3706,0.3764,0.3764,0.3745,0.3745,0.3745,0.373
22,SHREECEM,0.3745,0.3745,0.3745,0.3745,0.3725,0.3725,0.3725,0.3706,0.3706,0.3706,0.3687,0.3687,0.3687,0.372
1,MARUTI,0.3706,0.3706,0.3687,0.3725,0.3706,0.3745,0.3706,0.3706,0.3706,0.3706,0.3706,0.3687,0.3687,0.371
32,HDFCLIFE,0.3725,0.3725,0.3706,0.3706,0.3687,0.3687,0.3687,0.3687,0.3668,0.3668,0.3649,0.3649,0.3649,0.368
8,RELIANCE,0.3687,0.3687,0.3687,0.3668,0.3706,0.3687,0.3687,0.3687,0.3668,0.3668,0.3649,0.3649,0.3668,0.368
38,SUNPHARMA,0.363,0.363,0.363,0.3649,0.363,0.363,0.363,0.363,0.3611,0.3611,0.3592,0.3592,0.3592,0.362
50,HCLTECH,0.3592,0.3592,0.3611,0.3611,0.3611,0.3592,0.3592,0.3592,0.3592,0.3592,0.3592,0.3573,0.3573,0.359
25,SBILIFE,0.3573,0.3573,0.3611,0.3592,0.3592,0.3592,0.3592,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.358
5,HEROMOTOCO,0.3592,0.3592,0.3592,0.3573,0.3573,0.3554,0.3554,0.3554,0.3554,0.3534,0.3534,0.3534,0.3534,0.356
6,NTPC,0.3592,0.3592,0.3573,0.3573,0.3573,0.3573,0.3554,0.3554,0.3554,0.3554,0.3534,0.3534,0.3534,0.356
30,POWERGRID,0.3554,0.3534,0.3534,0.3534,0.3515,0.3534,0.3515,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534,0.353
16,IOC,0.3515,0.3534,0.3515,0.3515,0.3515,0.3496,0.3496,0.3496,0.3496,0.3496,0.3496,0.3496,0.3496,0.35
