SYMBOL,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency
SIEMENS,EQ,2180.55,2180.0,2201.8,2120.55,2127.0,2136.25,2179.52,230984,50343332580000.0,12481,132631,0.5742,1
SIEMENS,EQ,2199.6,2206.9,2209.0,2160.25,2182.6,2180.55,2183.41,233372,50954639355000.0,16200,96423,0.4132,1
NMDC,EQ,152.1,152.0,152.1,146.05,147.95,147.4,147.84,20729611,306464999090000.0,90358,11412647,0.5505,1
NMDC,EQ,147.4,143.2,143.2,135.0,135.1,136.0,139.42,22877537,318955122095000.0,129203,9772702,0.4272,1
MOTHERSUMI,EQ,223.0,220.0,222.2,214.25,215.3,216.4,219.89,8521734,187384334010000.0,81772,4591153,0.5388000000000001,1
MOTHERSUMI,EQ,224.3,225.0,225.5,219.3,223.1,223.0,222.47,8675416,192997748265000.0,63453,4163517,0.47990000000000005,1
HCLTECH,EQ,1263.1,1265.0,1281.0,1258.5,1262.95,1263.3,1265.93,4817180,609822676800000.0,130166,2935615,0.6093999999999999,1
HCLTECH,EQ,1263.3,1258.0,1298.8,1250.0,1270.4,1276.15,1283.55,5453683,700006154585000.0,116200,2694469,0.4941,1
EICHERMOT,EQ,2898.55,2856.1,2858.55,2756.65,2804.25,2813.0,2810.57,1190719,334660113125000.0,64638,514511,0.43210000000000004,1
EICHERMOT,EQ,2860.2,2865.3,2934.95,2864.3,2900.0,2898.55,2900.8,1375879,399115255000000.0,75836,499403,0.363,1
DIVISLAB,EQ,5166.9,5178.0,5198.65,5059.55,5126.15,5122.8,5139.37,401270,206227422160000.0,30905,202643,0.505,1
DIVISLAB,EQ,5122.8,5100.0,5235.6,5079.65,5102.05,5110.1,5177.64,451356,233696057319999.97,43900,140807,0.312,1
WIPRO,EQ,667.85,671.4,674.4,662.75,664.5,665.25,668.16,5407781,361326461310000.0,100310,2672030,0.4941,0
WIPRO,EQ,665.25,657.75,670.5,653.4,658.55,662.5,664.4,4546430,302064388410000.0,102563,1272354,0.2799,0
UPL,EQ,754.0,759.0,759.0,736.1,740.9,742.35,743.52,3348764,248986243780000.03,74141,2038078,0.6086,0
UPL,EQ,742.35,738.0,738.0,701.0,702.9,705.6,717.49,3082145,221142164390000.0,83072,1265604,0.4106,0
ULTRACEMCO,EQ,7765.45,7810.0,7837.65,7660.75,7739.95,7711.85,7723.89,503207,388671535325000.0,52158,334847,0.6654000000000001,0
ULTRACEMCO,EQ,7711.85,7684.0,7730.15,7545.65,7567.95,7576.0,7659.92,291081,222965652350000.0,31514,158071,0.543,0
UBL,EQ,1601.95,1604.2,1647.4,1576.1,1592.0,1594.65,1618.08,1434171,232060625280000.03,75949,293317,0.2045,0
UBL,EQ,1594.65,1572.3,1619.45,1540.35,1544.7,1555.2,1580.71,359847,56881232310000.0,20043,66656,0.1852,0
TORNTPHARM,EQ,3114.25,3121.95,3155.0,3082.0,3109.4,3097.2,3118.29,124770,38906907320000.0,13362,58894,0.47200000000000003,0
TORNTPHARM,EQ,3097.2,3097.2,3119.45,3037.55,3047.5,3057.85,3089.79,63781,19706968325000.0,6719,28714,0.45020000000000004,0
TITAN,EQ,2108.7,2113.95,2150.0,2080.0,2103.75,2095.6,2112.99,1727410,364999247895000.0,83540,877121,0.5078,0
TITAN,EQ,2095.6,2088.0,2096.0,2070.55,2076.9,2077.35,2081.85,411738,85717627135000.0,37253,165495,0.4019,0
TECHM,EQ,1448.35,1451.0,1472.0,1436.6,1446.0,1451.55,1450.02,2861623,414942451635000.0,74442,1604215,0.5606,0
TECHM,EQ,1451.55,1440.0,1493.15,1426.35,1433.0,1431.3,1460.28,2526342,368917145500000.0,106912,677465,0.2682,0
TCS,EQ,3903.3,3920.0,3945.0,3805.0,3826.55,3827.85,3851.08,6477148,2494404635310000.0,155142,4501470,0.6950000000000001,0
TCS,EQ,3827.85,3809.0,3871.0,3807.85,3820.05,3823.5,3837.22,2002008,768214733075000.0,120832,1112498,0.5557,0
TATASTEEL,EQ,1436.75,1437.0,1440.3,1360.0,1382.8,1385.9,1387.18,19572030,2714996052440000.0,445794,7796326,0.3983,0
TATASTEEL,EQ,1385.9,1350.0,1351.9,1247.35,1247.35,1253.1,1293.0,28238412,3651237624019999.5,680557,9761688,0.3457,0
TATAMOTORS,EQ,311.65,312.0,315.35,306.0,308.15,308.6,310.9,24972069,776392011890000.0,197846,7769130,0.3111,0
TATAMOTORS,EQ,308.6,304.9,310.25,297.3,297.8,298.95,304.42,19632688,597649909770000.0,209600,5758398,0.2933,0
TATACONSUM,EQ,874.0,879.9,881.0,866.3,872.65,874.15,873.66,1829129,159803156145000.0,36062,982732,0.5373,0
TATACONSUM,EQ,874.15,870.05,876.95,855.0,857.45,857.0,865.48,1081450,93596914615000.0,45883,488650,0.4518,0
SUNPHARMA,EQ,781.05,785.0,787.9,766.65,769.85,769.9,772.87,4052622,313213986070000.0,65736,2606217,0.6431,0
SUNPHARMA,EQ,769.9,766.7,774.75,751.6,753.95,756.5,765.33,2206369,168859783355000.0,72295,1095643,0.4966,0
SHREECEM,EQ,30660.65,30860.0,31039.4,30128.0,30533.75,30559.45,30531.85,78489,239641457275000.0,28346,41223,0.5252,0
SHREECEM,EQ,30559.45,30450.0,30700.0,29838.25,29898.0,30101.9,30276.08,52781,159800175570000.0,16546,20616,0.39060000000000006,0
SBIN,EQ,463.7,468.0,471.9,450.35,453.25,454.1,459.32,41529478,1907545711255000.0,365811,14905679,0.3589,0
SBIN,EQ,454.1,449.4,453.5,435.65,436.9,437.45,444.85,18376916,817490914345000.0,224634,5361436,0.2917,0
SBILIFE,EQ,1184.9,1203.0,1204.8,1183.45,1197.15,1198.8,1195.92,4143024,495473326230000.0,126207,2459276,0.5936,0
SBILIFE,EQ,1198.8,1189.85,1198.7,1174.0,1176.0,1177.5,1186.96,2117784,251372695744999.97,63162,1228326,0.58,0
SBICARD,EQ,1077.4,1085.0,1094.0,1065.05,1083.85,1078.05,1078.63,1479348,159567401305000.0,59331,1034656,0.6994,0
SBICARD,EQ,1078.05,1075.0,1077.0,1053.95,1075.5,1072.3,1066.44,1113168,118712214630000.0,45345,706530,0.6347,0
RELIANCE,EQ,2428.2,2446.0,2455.85,2375.6,2387.0,2390.55,2410.13,16098099,3879858012685000.0,278098,9460717,0.5877,0
RELIANCE,EQ,2390.55,2372.1,2418.35,2370.0,2391.85,2394.35,2398.57,5436385,1303955348725000.0,171011,3042705,0.5597,0
POWERGRID,EQ,179.45,179.55,180.4,176.75,179.0,178.8,178.98,15914420,284843229825000.0,69928,11692337,0.7347,0
POWERGRID,EQ,178.8,177.2,179.2,175.1,175.35,177.0,177.19,5874802,104095022705000.0,68431,2671127,0.4547,0
PNB,EQ,39.75,39.5,39.5,38.0,38.1,38.1,38.78,49454941,191797177280000.0,85088,18696427,0.378,0
PNB,EQ,41.8,42.7,42.75,39.35,39.8,39.75,40.47,135078081,546712608380000.0,147451,34066445,0.2522,0
PIDILITIND,EQ,2401.05,2408.2,2422.0,2346.2,2380.0,2368.45,2378.64,862698,205204892240000.0,37236,558808,0.6476999999999999,0
PIDILITIND,EQ,2368.45,2366.8,2402.85,2351.05,2364.95,2361.45,2379.75,281382,66961995725000.0,25101,83927,0.2983,0
PGHH,EQ,14073.6,14174.0,14186.7,13881.0,13939.85,13923.2,14002.9,4730,6623373690000.0,2021,2629,0.5558,0
PGHH,EQ,13923.2,13921.0,13927.15,13745.05,13900.0,13862.75,13814.91,3823,5281438610000.0,1815,1623,0.42450000000000004,0
PFC,EQ,136.35,136.9,139.5,135.15,137.75,138.3,137.97,12305024,169770173205000.0,47978,6905821,0.5612,0
PFC,EQ,138.3,136.5,138.2,132.5,132.75,133.45,135.78,4894867,66463584610000.0,21799,1665634,0.3403,0
PETRONET,EQ,232.8,233.45,233.85,230.05,231.25,232.2,231.81,4539312,105225962605000.0,49265,3079259,0.6784,0
PETRONET,EQ,232.2,229.5,231.2,226.95,230.0,228.3,229.34,2503033,57404782800000.0,34226,1106587,0.4421,0
PEL,EQ,2648.65,2666.0,2680.0,2562.3,2618.35,2634.7,2627.34,1291344,339280003795000.0,64562,528862,0.40950000000000003,0
PEL,EQ,2634.7,2615.0,2632.0,2492.55,2500.0,2503.55,2558.86,767884,196490764995000.0,47900,213431,0.2779,0
ONGC,EQ,128.7,128.7,129.7,124.75,127.85,127.75,127.13,25968166,330145702630000.0,84866,13550837,0.5218,0
ONGC,EQ,127.75,125.05,129.4,125.05,127.7,128.5,128.21,29857432,382807544745000.0,106998,14128911,0.4732,0
OFSS,EQ,4807.3,4849.25,4849.25,4721.7,4760.0,4790.8,4771.3,300913,143574760920000.0,25854,200529,0.6664,0
OFSS,EQ,4790.8,4786.55,4815.0,4690.0,4709.0,4694.65,4740.3,90924,43100746725000.0,12906,33889,0.37270000000000003,0
NTPC,EQ,124.0,124.15,124.7,121.55,123.4,123.75,123.41,15763396,194529286485000.0,51067,8813710,0.5590999999999999,0
NTPC,EQ,123.75,122.5,123.95,121.8,121.9,122.7,123.04,7431359,91438932080000.0,47856,3453156,0.4647,0
NESTLEIND,EQ,20027.85,20155.0,20299.0,20100.05,20227.0,20175.7,20209.46,95129,192250572715000.0,16249,73368,0.7712000000000001,0
NESTLEIND,EQ,20175.7,20125.0,20386.0,20101.0,20320.0,20322.6,20313.93,91513,185898868130000.0,15906,66607,0.7278,0
NAUKRI,EQ,6858.2,6870.0,6935.0,6565.25,6620.0,6614.7,6724.21,563009,378578996505000.0,56330,259012,0.46,0
NAUKRI,EQ,6614.7,6614.7,6775.0,6560.0,6599.0,6595.45,6629.93,497418,329784589540000.0,55187,142478,0.2864,0
MUTHOOTFIN,EQ,1513.5,1500.0,1516.0,1452.0,1462.0,1475.45,1490.63,636161,94827875275000.0,31712,314151,0.4938,0
MUTHOOTFIN,EQ,1553.5,1550.9,1563.0,1503.6,1510.0,1513.5,1522.51,1120149,170544133860000.0,58605,530321,0.47340000000000004,0
MCDOWELL-N,EQ,743.1,744.0,768.6,740.7,743.95,741.75,751.19,3950356,296748391260000.0,89693,1282421,0.3246,0
MCDOWELL-N,EQ,741.75,739.0,751.85,732.5,735.5,738.0,742.22,1632456,121164403670000.0,30845,453177,0.2776,0
