,SYMBOL,30-MAY-2022,31-MAY-2022,01-JUN-2022,V AVERAGE
58,ZOMATO,0.6496,0.6515,0.6496,0.65
87,ADANIGREEN,0.6343,0.6572,0.6553,0.649
100,ADANITRANS,0.6152,0.6171,0.619,0.617
14,SAIL,0.5942,0.5923,0.5923,0.593
70,VEDL,0.577,0.577,0.5751,0.576
22,TATAMOTORS,0.577,0.5751,0.5731,0.575
25,PAYTM,0.5751,0.5731,0.5712,0.573
64,CHOLAFIN,0.5712,0.5712,0.5693,0.571
97,PEL,0.5617,0.5674,0.5674,0.566
30,INDUSINDBK,0.556,0.556,0.554,0.555
3,BANDHANBNK,0.554,0.5521,0.5521,0.553
89,DLF,0.5483,0.5483,0.5483,0.548
39,INDUSTOWER,0.5483,0.5464,0.5464,0.547
46,ADANIENT,0.5407,0.5407,0.5388,0.54
19,TATASTEEL,0.5388,0.5368,0.5349,0.537
6,BANKBARODA,0.5349,0.5349,0.533,0.534
96,HINDALCO,0.5292,0.5292,0.5292,0.529
23,PNB,0.5216,0.5216,0.5197,0.521
69,MINDTREE,0.5197,0.5197,0.5177,0.519
2,JSWSTEEL,0.5158,0.5158,0.5158,0.516
76,NAUKRI,0.5044,0.5177,0.5177,0.513
53,INDIGO,0.512,0.512,0.5101,0.511
21,NMDC,0.512,0.512,0.5101,0.511
15,JUBLFOOD,0.5044,0.5044,0.5025,0.504
88,NYKAA,0.4853,0.491,0.491,0.489
98,APOLLOHOSP,0.4872,0.4872,0.4872,0.487
55,LTI,0.4795,0.4776,0.4776,0.478
51,ONGC,0.4757,0.4795,0.4776,0.478
43,ADANIPORTS,0.4757,0.4757,0.4738,0.475
62,BAJFINANCE,0.4623,0.4623,0.4604,0.462
93,SRF,0.4604,0.4585,0.4604,0.46
4,COALINDIA,0.4528,0.4528,0.4528,0.453
77,BIOCON,0.4547,0.4528,0.4528,0.453
94,BAJAJFINSV,0.4432,0.4413,0.4432,0.443
20,AXISBANK,0.4356,0.4337,0.4337,0.434
28,UPL,0.4222,0.4222,0.4203,0.422
59,PIIND,0.4203,0.4203,0.4203,0.42
86,DMART,0.4165,0.4203,0.4203,0.419
13,GAIL,0.4165,0.4165,0.4165,0.416
1,ICICIPRULI,0.4127,0.4127,0.4165,0.414
68,BAJAJHLDNG,0.4108,0.4088,0.4088,0.409
80,GLAND,0.4088,0.4088,0.4088,0.409
85,MUTHOOTFIN,0.4088,0.4069,0.4088,0.408
