,SYMBOL,01-FEB-2021,02-FEB-2021,03-FEB-2021,04-JAN-2021,05-JAN-2021,06-JAN-2021,07-JAN-2021,08-JAN-2021,11-JAN-2021,12-JAN-2021,13-JAN-2021,14-JAN-2021,15-JAN-2021,18-JAN-2021,19-JAN-2021,20-JAN-2021,21-JAN-2021,22-JAN-2021,25-JAN-2021,27-JAN-2021,28-JAN-2021,29-JAN-2021
1,TATAMOTORS,0.6935,0.7183,0.7164,0.6706,0.6687,0.6668,0.6668,0.6649,0.6782,0.6840,0.6820,0.6820,0.6840,0.6878,0.6897,0.6916,0.6935,0.6916,0.6916,0.6935,0.6916,0.6897
2,SIEMENS,0.3936,0.4050,0.4050,0.3936,0.3936,0.3936,0.3917,0.3917,0.3897,0.3897,0.3897,0.3878,0.3878,0.3878,0.3878,0.3859,0.3859,0.3859,0.3840,0.3840,0.3840,0.3859
3,SHREECEM,0.4203,0.4299,0.4299,0.4127,0.4127,0.4146,0.4146,0.4146,0.4146,0.4127,0.4127,0.4127,0.4127,0.4127,0.4127,0.4127,0.4108,0.4108,0.4108,0.4088,0.4088,0.4088
4,NAUKRI,0.5617,0.5674,0.5655,0.5254,0.5521,0.5540,0.5521,0.5521,0.5502,0.5502,0.5502,0.5483,0.5483,0.5483,0.5464,0.5502,0.5483,0.5483,0.5540,0.5579,0.5598,0.5598
5,ULTRACEMCO,0.4203,0.4280,0.4280,0.4184,0.4165,0.4165,0.4165,0.4165,0.4165,0.4146,0.4146,0.4146,0.4146,0.4127,0.4127,0.4127,0.4108,0.4108,0.4108,0.4108,0.4088,0.4088
6,PEL,0.6610,0.6649,0.6629,0.6649,0.6649,0.6629,0.6668,0.6649,0.6629,0.6629,0.6629,0.6610,0.6591,0.6591,0.6572,0.6553,0.6553,0.6572,0.6553,0.6553,0.6553,0.6553
7,SBIN,0.5235,0.5311,0.5292,0.5177,0.5158,0.5139,0.5139,0.5120,0.5120,0.5120,0.5139,0.5139,0.5120,0.5120,0.5120,0.5101,0.5101,0.5120,0.5120,0.5101,0.5101,0.5082
8,AMBUJACEM,0.4413,0.4471,0.4471,0.4394,0.4375,0.4375,0.4375,0.4375,0.4356,0.4356,0.4356,0.4337,0.4337,0.4337,0.4337,0.4337,0.4356,0.4337,0.4337,0.4337,0.4318,0.4318
9,UPL,0.5731,0.5770,0.5751,0.5751,0.5731,0.5712,0.5712,0.5731,0.5712,0.5693,0.5693,0.5693,0.5693,0.5751,0.5751,0.5731,0.5731,0.5731,0.5731,0.5731,0.5712,0.5712
10,GRASIM,0.4814,0.4872,0.4853,0.4814,0.4795,0.4795,0.4776,0.4776,0.4757,0.4757,0.4757,0.4738,0.4738,0.4738,0.4757,0.4738,0.4738,0.4719,0.4795,0.4776,0.4757,0.4757
