,TF,Time,Name,SlBuffer,WinPoints,SlPoints,PointsAfterSL,AppxPrice,AvgPntPerTrade,Target %,Target in Rs,Days,WinDays,SLHitDays,SLAboveATR,ATR,RBD,Win%,AvgEntry,AvgExit,AvgTime,Quantity,FinalAmt
0,10,9-15,NSE:GAIL-EQ,0.15,10.5,8.65,1.85,154.0,0.81,1,1.55,13,7,2,0,,4,53.85,10:10,12:0,1:50,3247,6006.95
1,10,9-15,NSE:INDUSINDBK-EQ,0.95,62.45,51.15,11.3,913.0,4.8,1,9.15,13,7,3,0,,3,53.85,9:47,12:57,3:10,548,6192.4
2,10,9-15,NSE:HINDALCO-EQ,0.45,29.1,22.2,6.9,395.4,2.24,1,4.05,13,7,3,0,,3,53.85,10:8,12:46,2:37,1265,8728.5
3,15,9-15,NSE:JINDALSTEL-EQ,0.4,28.95,21.55,7.4,366.05,2.23,1,3.75,13,8,2,0,,3,61.54,9:58,12:5,2:7,1366,10108.4
4,15,9-15,NSE:JINDALSTEL-EQ,0.4,28.95,21.55,7.4,366.05,2.23,1,3.75,13,8,2,0,,3,61.54,9:58,12:5,2:7,1366,10108.4
5,15,9-15,NSE:JINDALSTEL-EQ,0.4,28.95,21.55,7.4,366.05,2.23,1,3.75,13,8,2,0,,3,61.54,9:58,12:5,2:7,1366,10108.4
6,10,9-25,NSE:INDUSINDBK-EQ,0.95,62.85,44.3,18.55,913.0,4.83,1,9.15,13,7,5,0,,1,53.85,9:50,12:22,2:31,548,10165.4
7,10,9-25,NSE:JINDALSTEL-EQ,0.4,25.35,17.5,7.85,374.3,1.95,1,3.75,13,7,5,0,,1,53.85,9:57,11:27,1:30,1336,10487.6
8,10,9-25,NSE:JINDALSTEL-EQ,0.4,25.35,17.5,7.85,374.3,1.95,1,3.75,13,7,5,0,,1,53.85,9:57,11:27,1:30,1336,10487.6
9,10,9-25,NSE:JINDALSTEL-EQ,0.4,25.35,17.5,7.85,374.3,1.95,1,3.75,13,7,5,0,,1,53.85,9:57,11:27,1:30,1336,10487.6
10,15,10-15,NSE:BANKBARODA-EQ,0.1,7.25,4.7,2.55,103.7,0.56,1,1.05,13,7,3,0,,2,53.85,11:4,13:23,2:19,4822,12296.1
11,10,9-25,NSE:SAIL-EQ,0.1,5.2,3.3,1.9,75.1,0.4,1,0.8,13,7,4,0,,2,53.85,9:46,11:57,2:11,6658,12650.2
12,10,9-15,NSE:JINDALSTEL-EQ,0.4,28.95,19.6,9.35,366.15,2.23,1,3.75,13,7,2,0,,3,53.85,9:50,11:32,1:42,1366,12772.1
13,10,9-15,NSE:JINDALSTEL-EQ,0.4,28.95,19.6,9.35,366.15,2.23,1,3.75,13,7,2,0,,3,53.85,9:50,11:32,1:42,1366,12772.1
14,10,9-15,NSE:JINDALSTEL-EQ,0.4,28.95,19.6,9.35,366.15,2.23,1,3.75,13,7,2,0,,3,53.85,9:50,11:32,1:42,1366,12772.1
15,15,10-0,NSE:GAIL-EQ,0.15,10.35,5.6,4.75,153.55,0.8,1,1.55,13,7,5,0,,1,53.85,11:6,12:17,1:10,3256,15466.0
16,15,9-30,NSE:HINDALCO-EQ,0.45,26.25,13.85,12.4,398.4,2.02,1,4.05,13,7,3,0,,3,53.85,10:34,12:12,1:38,1255,15562.0
17,15,10-0,NSE:BANDHANBNK-EQ,0.35,23.0,12.3,10.7,332.85,1.77,1,3.35,13,7,5,0,,1,53.85,10:23,11:40,1:17,1502,16071.4
18,15,10-0,NSE:INDUSINDBK-EQ,0.95,60.05,29.95,30.1,917.0,4.62,1,9.15,13,7,4,0,,2,53.85,10:25,12:40,2:15,545,16404.5
19,15,9-15,NSE:BANDHANBNK-EQ,0.35,22.75,11.6,11.15,333.4,1.75,1,3.35,13,7,2,0,,4,53.85,10:19,11:51,1:32,1500,16725.0
20,10,9-25,NSE:HINDALCO-EQ,0.45,30.95,16.4,14.55,398.4,2.38,1,4.05,13,8,4,0,,1,61.54,9:43,11:52,2:8,1255,18260.25
21,15,10-0,NSE:TATAMOTORS-EQ,0.45,31.45,15.25,16.2,432.7,2.42,1,4.35,13,7,4,0,,2,53.85,10:41,13:30,2:48,1156,18727.2
22,15,10-0,NSE:TATAMOTORS-EQ,0.45,31.45,15.25,16.2,432.7,2.42,1,4.35,13,7,4,0,,2,53.85,10:41,13:30,2:48,1156,18727.2
23,15,10-0,NSE:SAIL-EQ,0.1,5.2,2.3,2.9,74.9,0.4,1,0.75,13,7,2,0,,2,53.85,10:30,12:0,1:30,6676,19360.4
24,10,9-15,NSE:UPL-EQ,0.75,59.95,31.0,28.95,740.25,4.61,1,7.4,13,8,3,0,,1,61.54,9:41,12:35,2:53,675,19541.25
25,15,9-15,NSE:TATAMOTORS-EQ,0.45,29.85,12.75,17.1,429.7,2.3,1,4.4,13,7,1,0,,5,53.85,9:55,12:49,2:53,1164,19904.4
26,15,9-15,NSE:TATAMOTORS-EQ,0.45,29.85,12.75,17.1,429.7,2.3,1,4.4,13,7,1,0,,5,53.85,9:55,12:49,2:53,1164,19904.4
27,10,10-15,NSE:BANDHANBNK-EQ,0.35,22.95,9.3,13.65,332.2,1.77,1,3.4,13,7,5,0,,1,53.85,10:29,11:53,1:24,1505,20543.25
28,15,10-0,NSE:JINDALSTEL-EQ,0.4,25.55,10.25,15.3,368.5,1.97,1,3.75,13,7,2,0,,4,53.85,10:21,11:32,1:10,1357,20762.1
29,15,10-0,NSE:JINDALSTEL-EQ,0.4,25.55,10.25,15.3,368.5,1.97,1,3.75,13,7,2,0,,4,53.85,10:21,11:32,1:10,1357,20762.1
30,15,10-0,NSE:JINDALSTEL-EQ,0.4,25.55,10.25,15.3,368.5,1.97,1,3.75,13,7,2,0,,4,53.85,10:21,11:32,1:10,1357,20762.1
31,10,9-25,NSE:UPL-EQ,0.75,53.55,22.75,30.8,740.25,4.12,1,7.4,13,7,4,0,,1,53.85,10:3,13:11,3:7,675,20790.0
32,10,10-5,NSE:JINDALSTEL-EQ,0.4,29.05,12.8,16.25,371.85,2.23,1,3.75,13,8,4,0,,1,61.54,10:23,11:32,1:8,1345,21856.25
33,10,10-5,NSE:JINDALSTEL-EQ,0.4,29.05,12.8,16.25,371.85,2.23,1,3.75,13,8,4,0,,1,61.54,10:23,11:32,1:8,1345,21856.25
34,10,10-5,NSE:JINDALSTEL-EQ,0.4,29.05,12.8,16.25,371.85,2.23,1,3.75,13,8,4,0,,1,61.54,10:23,11:32,1:8,1345,21856.25
35,15,10-15,NSE:BANDHANBNK-EQ,0.35,22.8,8.2,14.6,332.35,1.75,1,3.4,13,7,4,0,,2,53.85,10:34,12:12,1:38,1504,21958.4
36,15,10-15,NSE:JINDALSTEL-EQ,0.4,28.7,10.9,17.8,371.3,2.21,1,3.75,13,8,4,0,,1,61.54,10:46,11:56,1:9,1347,23976.6
37,15,10-15,NSE:JINDALSTEL-EQ,0.4,28.7,10.9,17.8,371.3,2.21,1,3.75,13,8,4,0,,1,61.54,10:46,11:56,1:9,1347,23976.6
