,TF,Time,Name,SlBuffer,WinPoints,SlPoints,PointsAfterSL,AppxPrice,AvgPntPerTrade,Target %,Target in Rs,Days,WinDays,SLHitDays,SLAboveATR,ATR,RBD,Win%,AvgEntry,AvgExit,AvgTime,Quantity,FinalAmt
0,10,13-15,NSE:HINDALCO-EQ,0.35,7.1,7.05,0.05,343.75,1.01,0.5,1.75,7,4,2,0,,1,57.14,13:42,14:5,0:22,1455,72.75
1,10,9-15,NSE:WIPRO-EQ,0.45,11.05,10.95,0.1,441.55,1.58,0.5,2.25,7,5,1,0,,1,71.43,9:37,10:45,1:8,1132,113.2
2,10,9-15,NSE:INDIGO-EQ,1.75,42.95,42.3,0.65,1714.9,6.14,0.5,8.75,7,5,1,0,,1,71.43,10:1,10:27,0:26,292,189.8
3,15,9-30,NSE:TECHM-EQ,1.05,26.0,25.45,0.55,1015.65,3.71,0.5,5.15,7,5,2,0,,0,71.43,10:9,11:24,1:15,492,270.6
4,10,9-25,NSE:LUPIN-EQ,0.65,12.35,11.95,0.4,615.35,1.76,0.5,3.1,7,4,3,0,,0,57.14,9:40,10:10,0:30,813,325.2
5,10,10-5,NSE:SBIN-EQ,0.45,9.05,8.65,0.4,453.45,1.29,0.5,2.3,7,4,3,0,,0,57.14,10:17,11:27,1:10,1103,441.2
6,10,9-25,NSE:ADANIPORTS-EQ,0.75,17.4,16.75,0.65,706.65,2.49,0.5,3.55,7,5,2,0,,0,71.43,9:35,10:47,1:12,708,460.2
7,10,9-45,NSE:BANDHANBNK-EQ,0.35,7.85,7.55,0.3,322.75,1.12,0.5,1.65,7,5,2,0,,0,71.43,9:33,10:23,0:50,1549,464.7
8,15,9-15,NSE:WIPRO-EQ,0.45,11.05,10.5,0.55,441.55,1.58,0.5,2.25,7,5,1,0,,1,71.43,9:36,10:30,0:54,1132,622.6
9,15,9-15,NSE:COALINDIA-EQ,0.2,3.9,3.65,0.25,190.6,0.56,0.5,1.0,7,4,0,0,,2,57.14,11:45,13:0,1:15,2623,655.75
10,10,9-15,NSE:BIOCON-EQ,0.35,6.55,6.05,0.5,325.3,0.94,0.5,1.65,7,4,1,0,,0,57.14,10:25,11:2,0:37,1537,768.5
11,10,9-15,NSE:HINDALCO-EQ,0.4,8.9,8.25,0.65,356.7,1.27,0.5,1.85,7,5,1,0,,1,71.43,10:11,10:51,0:40,1402,911.3
12,10,10-5,NSE:CIPLA-EQ,1.0,19.2,17.45,1.75,960.1,2.74,0.5,4.85,7,4,3,0,,0,57.14,10:25,11:37,1:12,521,911.75
