,TF,Time,Name,SlBuffer,WinPoints,SlPoints,PointsAfterSL,AppxPrice,AvgPntPerTrade,Target %,Target in Rs,Days,WinDays,SLHitDays,SLAboveATR,ATR,RBD,Win%,AvgEntry,AvgExit,AvgTime,Quantity,FinalAmt
0,10,9-15,NSE:HINDUNILVR-EQ,2.25,82.05,30.9,51.15,,6.31,0.5,11.15,13,7,0,0,,4,53.85,10:13,12:10,1:56,0,0.0
1,15,10-0,NSE:TITAN-EQ,2.05,72.65,72.2,0.45,2012.0,5.59,0.5,10.15,13,7,5,0,,1,53.85,10:36,12:0,1:23,249,112.05
2,10,9-25,NSE:TITAN-EQ,2.05,83.6,83.0,0.6,2028.25,6.43,0.5,10.25,13,8,4,0,,1,61.54,9:37,10:22,0:45,247,148.2
3,10,9-15,NSE:BHARTIARTL-EQ,0.65,23.35,23.15,0.2,641.9,1.8,0.5,3.25,13,7,2,0,,2,53.85,9:57,11:22,1:24,779,155.8
4,10,9-35,NSE:HINDUNILVR-EQ,2.25,87.15,85.95,1.2,2219.1,6.7,0.5,11.05,13,8,5,0,,0,61.54,9:43,10:50,1:6,225,270.0
5,15,9-30,NSE:POWERGRID-EQ,0.25,7.8,7.65,0.15,209.1,0.6,0.5,1.05,13,7,3,0,,1,53.85,9:49,11:30,1:40,2391,358.65
6,10,9-45,NSE:ONGC-EQ,0.15,6.2,6.1,0.1,133.75,0.48,0.5,0.7,13,8,5,0,,0,61.54,9:41,11:41,2:0,3738,373.8
7,15,9-30,NSE:ICICIBANK-EQ,0.7,24.5,23.85,0.65,694.3,1.88,0.5,3.5,13,7,5,0,,1,53.85,10:21,11:19,0:57,720,468.0
8,10,9-15,NSE:M&M-EQ,1.0,41.0,40.05,0.95,992.9,3.15,0.5,5.05,13,8,1,0,,4,61.54,9:50,11:20,1:30,504,478.8
9,15,10-0,NSE:BIOCON-EQ,0.35,11.55,11.15,0.4,316.25,0.89,0.5,1.6,13,7,3,0,,1,53.85,10:57,12:34,1:36,1581,632.4
10,10,9-15,NSE:HCLTECH-EQ,1.0,35.0,33.75,1.25,967.15,2.69,0.5,4.9,13,7,2,0,,3,53.85,9:45,11:53,2:8,517,646.25
11,10,9-35,NSE:BIOCON-EQ,0.35,13.15,12.6,0.55,318.35,1.01,0.5,1.6,13,8,4,0,,1,61.54,9:35,10:15,0:40,1571,864.05
12,15,10-15,NSE:TATAMOTORS-EQ,0.45,14.4,13.7,0.7,395.4,1.11,0.5,2.0,13,7,6,0,,0,53.85,10:53,12:10,1:17,1265,885.5
13,10,9-15,NSE:CHOLAFIN-EQ,0.65,29.35,28.15,1.2,614.15,2.26,0.5,3.15,13,9,2,0,,1,69.23,10:48,11:35,0:46,814,976.8
14,15,10-0,NSE:HDFCBANK-EQ,1.35,46.75,43.3,3.45,1329.1,3.6,0.5,6.65,13,7,4,0,,1,53.85,10:40,12:49,2:8,376,1297.2
15,10,13-15,NSE:ADANIPORTS-EQ,0.7,24.5,22.75,1.75,667.5,1.88,0.5,3.4,13,7,6,0,,0,53.85,13:26,14:0,0:34,749,1310.75
16,10,9-25,NSE:JINDALSTEL-EQ,0.35,15.3,14.4,0.9,314.0,1.18,0.5,1.6,13,9,4,0,,0,69.23,9:47,10:8,0:21,1592,1432.8
17,10,9-15,NSE:ADANIPORTS-EQ,0.7,31.5,29.5,2.0,677.0,2.42,0.5,3.45,13,9,3,0,,1,69.23,10:6,10:55,0:48,739,1478.0
18,15,9-15,NSE:BANDHANBNK-EQ,0.3,14.25,13.35,0.9,278.2,1.1,0.5,1.45,13,9,2,0,,2,69.23,10:18,11:23,1:5,1797,1617.3
19,10,9-15,NSE:INFY-EQ,1.45,61.15,56.15,5.0,1455.0,4.7,0.5,7.3,13,8,2,0,,3,61.54,10:31,11:56,1:24,344,1720.0
20,10,9-25,NSE:SBIN-EQ,0.45,16.0,14.35,1.65,444.85,1.23,0.5,2.25,13,7,5,0,,0,53.85,9:46,11:23,1:37,1124,1854.6
21,15,9-30,NSE:WIPRO-EQ,0.45,17.45,15.8,1.65,414.8,1.34,0.5,2.1,13,8,4,0,,1,61.54,10:16,11:16,1:0,1205,1988.25
22,10,10-15,NSE:BPCL-EQ,0.3,11.15,9.9,1.25,301.5,0.86,0.5,1.5,13,7,6,0,,0,53.85,10:36,11:10,0:34,1658,2072.5
23,10,10-15,NSE:BHARTIARTL-EQ,0.65,23.35,20.4,2.95,646.95,1.8,0.5,3.25,13,7,6,0,,0,53.85,10:46,11:46,1:0,773,2280.35
24,15,10-15,NSE:TECHM-EQ,1.0,39.8,34.8,5.0,986.1,3.06,0.5,4.9,13,8,5,0,,0,61.54,10:58,11:35,0:37,507,2535.0
25,15,9-30,NSE:SBIN-EQ,0.45,16.1,13.8,2.3,449.9,1.24,0.5,2.25,13,7,4,0,,1,53.85,10:0,11:4,1:4,1111,2555.3
26,10,9-35,NSE:ICICIBANK-EQ,0.7,24.3,20.75,3.55,694.3,1.87,0.5,3.5,13,7,6,0,,0,53.85,10:15,11:15,1:0,720,2556.0
27,15,10-15,NSE:ONGC-EQ,0.15,6.4,5.7,0.7,136.1,0.49,0.5,0.7,13,8,5,0,,0,61.54,11:0,12:20,1:20,3674,2571.8
28,10,9-25,NSE:INFY-EQ,1.45,57.5,49.65,7.85,1450.4,4.42,0.5,7.25,13,8,5,0,,0,61.54,9:57,11:13,1:16,345,2708.25
29,10,10-15,NSE:JINDALSTEL-EQ,0.35,13.65,11.9,1.75,311.9,1.05,0.5,1.6,13,8,5,0,,0,61.54,10:51,11:20,0:28,1603,2805.25
30,15,9-15,NSE:TATASTEEL-EQ,0.9,37.5,32.6,4.9,853.95,2.88,0.5,4.4,13,8,2,0,,1,61.54,9:52,10:28,0:35,586,2871.4
31,15,9-30,NSE:GRASIM-EQ,1.35,52.85,45.25,7.6,1316.85,4.07,0.5,6.65,13,8,4,0,,1,61.54,9:41,11:3,1:22,380,2888.0
32,15,10-0,NSE:INFY-EQ,1.45,58.15,49.75,8.4,1448.5,4.47,0.5,7.25,13,8,4,0,,1,61.54,10:31,11:39,1:7,345,2898.0
33,10,13-15,NSE:HINDALCO-EQ,0.35,12.35,10.4,1.95,318.5,0.95,0.5,1.6,13,7,3,0,,3,53.85,13:46,14:12,0:25,1570,3061.5
34,10,10-5,NSE:LUPIN-EQ,0.65,24.95,21.1,3.85,624.0,1.92,0.5,3.15,13,8,5,0,,0,61.54,10:18,11:32,1:13,801,3083.85
35,15,9-15,NSE:CHOLAFIN-EQ,0.65,26.25,22.45,3.8,613.6,2.02,0.5,3.15,13,8,1,0,,2,61.54,10:31,11:26,0:54,815,3097.0
36,15,10-15,NSE:RELIANCE-EQ,2.55,92.3,76.2,16.1,2538.5,7.1,0.5,12.7,13,7,6,0,,0,53.85,10:40,12:36,1:55,197,3171.7
37,15,9-30,NSE:TATASTEEL-EQ,0.9,37.7,31.95,5.75,857.1,2.9,0.5,4.3,13,8,3,0,,2,61.54,10:26,11:1,0:35,583,3352.25
38,10,9-15,NSE:SUNPHARMA-EQ,0.85,33.25,26.85,6.4,810.9,2.56,0.5,4.15,13,8,2,0,,3,61.54,9:40,12:53,3:13,617,3948.8
39,15,10-0,NSE:LUPIN-EQ,0.65,25.05,19.85,5.2,616.25,1.93,0.5,3.15,13,8,4,0,,1,61.54,10:26,12:9,1:43,811,4217.2
40,10,9-25,NSE:MARICO-EQ,0.5,22.15,18.1,4.05,473.45,1.7,0.5,2.45,13,9,4,0,,0,69.23,9:48,10:43,0:55,1056,4276.8
