,TF,Time,Name,SlBuffer,WinPoints,SlPoints,PointsAfterSL,AppxPrice,AvgPntPerTrade,Target %,Target in Rs,Days,WinDays,SLHitDays,SLAboveATR,ATR,RBD,Win%,AvgEntry,AvgExit,AvgTime,Quantity,FinalAmt
0,10,9-15,NSE:TITAN-EQ,2.5,80.2,70.7,9.5,2480.85,6.68,0.5,12.4,12,6,1,0,,5,50.0,10:7,12:13,2:5,202,1919.0
1,10,9-35,NSE:AXISBANK-EQ,0.8,26.15,22.2,3.95,797.25,2.18,0.5,4.05,12,6,5,0,,0,50.0,9:59,10:59,1:0,627,2476.65
2,10,10-15,NSE:SAIL-EQ,0.1,3.6,2.4,1.2,104.0,0.3,0.5,0.55,12,6,5,0,,0,50.0,10:35,12:26,1:51,4808,5769.6
3,10,10-15,NSE:LUPIN-EQ,0.8,24.3,15.6,8.7,790.9,2.02,0.5,4.0,12,6,4,0,,2,50.0,10:30,11:27,0:57,632,5498.4
4,10,10-15,NSE:TATAMOTORS-EQ,0.45,13.35,10.5,2.85,436.1,1.11,0.5,2.2,12,6,5,0,,0,50.0,10:41,12:0,1:18,1147,3268.95
5,10,13-15,NSE:ICICIBANK-EQ,0.8,22.5,15.6,6.9,758.95,1.88,0.5,3.85,12,6,5,0,,1,50.0,13:35,14:6,0:31,659,4547.1
6,10,13-15,NSE:SAIL-EQ,0.1,3.05,2.0,1.05,102.4,0.25,0.5,0.55,12,6,3,0,,3,50.0,13:46,14:25,0:38,4883,5127.15
7,10,13-15,NSE:IOC-EQ,0.15,4.55,1.15,3.4,132.55,0.38,0.5,0.7,12,6,4,0,,0,50.0,13:37,14:27,0:50,3772,12824.8
8,10,13-15,NSE:BIOCON-EQ,0.35,13.05,6.0,7.05,349.4,1.09,0.5,1.75,12,6,4,0,,1,50.0,13:40,14:7,0:27,1431,10088.55
9,10,13-15,NSE:BPCL-EQ,0.4,11.2,4.35,6.85,388.25,0.93,0.5,1.95,12,6,3,0,,3,50.0,14:5,14:50,0:45,1288,8822.8
10,10,13-15,NSE:SBIN-EQ,0.55,16.45,4.95,11.5,508.75,1.37,0.5,2.55,12,6,2,0,,3,50.0,13:43,14:32,0:48,983,11304.5
11,10,13-25,NSE:BANDHANBNK-EQ,0.35,10.1,9.8,0.3,323.25,0.84,0.5,1.65,12,6,5,0,,0,50.0,13:35,14:13,0:38,1547,464.1
12,10,13-25,NSE:AXISBANK-EQ,0.8,22.85,18.8,4.05,795.55,1.9,0.5,4.0,12,6,4,0,,1,50.0,13:40,14:10,0:30,628,2543.4
13,10,13-25,NSE:INDIGO-EQ,1.9,56.0,51.05,4.95,1890.05,4.67,0.5,9.5,12,6,5,0,,1,50.0,13:20,14:18,0:58,265,1311.75
14,15,9-15,NSE:CIPLA-EQ,1.05,29.45,24.3,5.15,1008.8,2.45,0.5,5.05,12,6,1,0,,4,50.0,9:50,11:37,1:47,496,2554.4
15,15,9-30,NSE:IOC-EQ,0.15,4.65,4.45,0.2,132.8,0.39,0.5,0.7,12,6,5,0,,0,50.0,10:2,11:23,1:21,3765,753.0
16,15,9-30,NSE:WIPRO-EQ,0.55,15.6,10.0,5.6,536.3,1.3,0.5,2.75,12,6,1,0,,4,50.0,9:45,12:7,2:22,932,5219.2
17,15,10-0,NSE:WIPRO-EQ,0.55,15.5,15.35,0.15,538.25,1.29,0.5,2.7,12,6,4,0,,1,50.0,11:17,13:20,2:2,929,139.35
18,15,10-15,NSE:GAIL-EQ,0.2,5.0,4.05,0.95,165.05,0.42,0.5,0.85,12,6,3,0,,2,50.0,10:37,12:0,1:22,3029,2877.55
19,15,10-15,NSE:TATAMOTORS-EQ,0.45,15.55,9.8,5.75,435.2,1.3,0.5,2.2,12,6,4,0,,1,50.0,10:55,12:10,1:15,1149,6606.75
20,15,10-15,NSE:CIPLA-EQ,1.05,34.45,30.6,3.85,1004.95,2.87,0.5,5.1,12,6,4,0,,1,50.0,11:6,12:32,1:25,498,1917.3
21,15,10-15,NSE:HDFC-EQ,2.2,80.75,49.1,31.65,2164.2,6.73,0.5,10.9,12,6,4,0,,1,50.0,10:58,12:16,1:18,231,7311.15
22,15,13-15,NSE:SAIL-EQ,0.1,3.05,1.4,1.65,102.2,0.25,0.5,0.55,12,6,2,0,,4,50.0,13:45,14:22,0:37,4892,8071.8
23,15,13-15,NSE:INDUSINDBK-EQ,1.0,34.5,11.45,23.05,969.0,2.88,0.5,4.9,12,6,1,0,,3,50.0,13:27,14:19,0:51,516,11893.8
24,15,13-15,NSE:BPCL-EQ,0.4,11.2,4.05,7.15,388.9,0.93,0.5,1.95,12,6,2,0,,3,50.0,14:7,14:50,0:42,1286,9194.9
25,15,13-15,NSE:HDFC-EQ,2.2,81.35,30.9,50.45,2156.8,6.78,0.5,10.9,12,6,3,0,,1,50.0,13:35,14:18,0:43,232,11704.4
26,15,13-15,NSE:SBIN-EQ,0.55,15.1,5.35,9.75,508.75,1.26,0.5,2.6,12,6,1,0,,4,50.0,13:47,14:25,0:37,983,9584.25
27,15,13-30,NSE:BIOCON-EQ,0.35,11.25,10.45,0.8,352.55,0.94,0.5,1.75,12,6,3,0,,2,50.0,13:37,14:30,0:52,1418,1134.4
