
1655266013368 :: history :: {'symbol': 'NSE:SUNPHARMA-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266013472 :: {'s': 'ok', 'candles': [[1655264700, 825.25, 830.0, 825.0, 826.8, 116067], [1655265300, 826.8, 828.5, 825.35, 826.15, 43329], [1655265900, 826.45, 826.45, 825.0, 825.0, 3694]]}

1655266013786 :: history :: {'symbol': 'NSE:POWERGRID-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266013862 :: {'s': 'ok', 'candles': [[1655264700, 224.25, 226.3, 224.25, 225.4, 638871], [1655265300, 225.4, 225.7, 223.7, 223.9, 241842], [1655265900, 223.95, 223.95, 223.25, 223.4, 52820]]}

1655266014174 :: history :: {'symbol': 'NSE:ITC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266014263 :: {'s': 'ok', 'candles': [[1655264700, 266.0, 267.3, 265.9, 266.3, 365337], [1655265300, 266.3, 266.7, 266.1, 266.6, 156403], [1655265900, 266.65, 266.7, 266.4, 266.4, 11384]]}

1655266014575 :: history :: {'symbol': 'NSE:KOTAKBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266014659 :: {'s': 'ok', 'candles': [[1655264700, 1738.0, 1750.0, 1732.5, 1741.6, 140550], [1655265300, 1741.6, 1744.0, 1737.55, 1742.0, 34151], [1655265900, 1742.65, 1742.75, 1740.0, 1740.0, 3964]]}

1655266014971 :: history :: {'symbol': 'NSE:BHARTIARTL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266015053 :: {'s': 'ok', 'candles': [[1655264700, 681.95, 683.9, 675.95, 677.95, 503299], [1655265300, 677.9, 680.0, 677.9, 679.4, 151225], [1655265900, 679.4, 679.8, 678.75, 678.75, 22284]]}

1655266015364 :: history :: {'symbol': 'NSE:HCLTECH-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266015455 :: {'s': 'ok', 'candles': [[1655264700, 989.0, 1002.25, 989.0, 997.05, 236738], [1655265300, 997.7, 1002.1, 995.65, 1001.3, 76063], [1655265900, 1001.3, 1001.3, 1000.0, 1000.5, 3548]]}

1655266015765 :: history :: {'symbol': 'NSE:TITAN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266015852 :: {'s': 'ok', 'candles': [[1655264700, 2104.0, 2127.5, 2090.0, 2093.65, 85735], [1655265300, 2093.65, 2101.2, 2090.0, 2096.95, 40493], [1655265900, 2097.3, 2097.9, 2094.6, 2095.15, 1953]]}

1655266016164 :: history :: {'symbol': 'NSE:ICICIBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266016245 :: {'s': 'ok', 'candles': [[1655264700, 687.5, 690.3, 686.15, 688.6, 578069], [1655265300, 688.6, 688.85, 687.0, 688.65, 150963], [1655265900, 688.65, 688.9, 688.65, 688.7, 8035]]}

1655266016557 :: history :: {'symbol': 'NSE:ONGC-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266016639 :: {'s': 'ok', 'candles': [[1655264700, 156.95, 157.25, 154.25, 155.9, 1384762], [1655265300, 155.9, 156.3, 155.5, 155.8, 618258], [1655265900, 155.75, 155.75, 155.55, 155.6, 80363]]}

1655266016951 :: history :: {'symbol': 'NSE:CHOLAFIN-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266017031 :: {'s': 'ok', 'candles': [[1655264700, 619.9, 628.55, 619.85, 626.9, 107628], [1655265300, 626.4, 627.45, 624.25, 627.25, 46110], [1655265900, 627.25, 627.25, 625.0, 625.45, 5967]]}

1655266017342 :: history :: {'symbol': 'NSE:BANDHANBNK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266017433 :: {'s': 'ok', 'candles': [[1655264700, 315.0, 318.0, 315.0, 316.75, 198015], [1655265300, 316.65, 316.75, 315.7, 316.55, 117252], [1655265900, 316.55, 316.55, 315.6, 315.6, 11568]]}

1655266017743 :: history :: {'symbol': 'NSE:AXISBANK-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266017833 :: {'s': 'ok', 'candles': [[1655264700, 654.0, 656.35, 651.0, 651.2, 266091], [1655265300, 651.2, 652.15, 649.25, 651.6, 129055], [1655265900, 651.6, 651.7, 651.0, 651.0, 12734]]}

1655266018145 :: history :: {'symbol': 'NSE:GRASIM-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266018218 :: {'s': 'ok', 'candles': [[1655264700, 1319.35, 1327.55, 1307.95, 1325.0, 80429], [1655265300, 1325.05, 1327.0, 1316.0, 1323.0, 43984], [1655265900, 1323.0, 1323.0, 1321.0, 1321.05, 456]]}

1655266018529 :: history :: {'symbol': 'NSE:SAIL-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266018620 :: {'s': 'ok', 'candles': [[1655264700, 71.95, 72.25, 71.0, 71.3, 3385120], [1655265300, 71.3, 71.45, 71.05, 71.15, 1039652], [1655265900, 71.25, 71.25, 71.1, 71.2, 113854]]}

1655266018933 :: history :: {'symbol': 'NSE:TECHM-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266019009 :: {'s': 'ok', 'candles': [[1655264700, 1037.0, 1037.0, 1026.05, 1029.9, 333798], [1655265300, 1029.9, 1034.85, 1028.15, 1033.75, 162166], [1655265900, 1033.8, 1034.5, 1032.75, 1032.75, 14680]]}

1655266019320 :: history :: {'symbol': 'NSE:HINDALCO-EQ', 'resolution': '10', 'date_format': '1', 'range_from': '2022-06-15', 'range_to': '2022-06-15', 'cont_flag': '1'} :: 1655266019400 :: {'s': 'ok', 'candles': [[1655264700, 360.0, 362.9, 357.35, 357.6, 1553943], [1655265300, 357.6, 359.0, 356.05, 357.85, 600855], [1655265900, 358.0, 358.05, 357.25, 357.65, 9478]]}

