,SYMBOL,31-MAR-2022,01-APR-2022,04-APR-2022,05-APR-2022,06-APR-2022,07-APR-2022,08-APR-2022,11-APR-2022,12-APR-2022,13-APR-2022,18-APR-2022,19-APR-2022,V AVERAGE
3,TATAMOTORS,0.5999,0.5999,0.5999,0.6018,0.5999,0.5846,0.5827,0.5808,0.5808,0.5808,0.5789,0.5789,0.589
39,INDUSINDBK,0.5999,0.6018,0.6018,0.6018,0.5999,0.5731,0.5731,0.5712,0.5693,0.5674,0.5674,0.5655,0.583
19,HINDALCO,0.5254,0.5197,0.5216,0.5197,0.5197,0.5158,0.5139,0.512,0.5177,0.5177,0.5158,0.5139,0.518
29,TATASTEEL,0.491,0.491,0.491,0.491,0.491,0.5006,0.5006,0.4986,0.4986,0.4986,0.4967,0.4967,0.495
42,JSWSTEEL,0.4643,0.4623,0.4623,0.4623,0.4623,0.4757,0.4776,0.4776,0.4757,0.4757,0.4738,0.4738,0.47
24,BAJFINANCE,0.4757,0.4757,0.4757,0.4757,0.4757,0.4662,0.4643,0.4623,0.4623,0.4604,0.4604,0.4585,0.468
4,ONGC,0.4547,0.4566,0.4547,0.4566,0.4547,0.4738,0.4719,0.4719,0.47,0.4719,0.47,0.47,0.465
17,ADANIPORTS,0.4662,0.4662,0.47,0.47,0.4662,0.4585,0.4585,0.4566,0.4566,0.4547,0.4547,0.4547,0.461
46,BAJAJFINSV,0.4604,0.4604,0.4604,0.4604,0.4604,0.4547,0.4547,0.4528,0.4528,0.4528,0.4509,0.4509,0.456
27,AXISBANK,0.449,0.449,0.449,0.449,0.449,0.4413,0.4413,0.4394,0.4394,0.4375,0.4375,0.4356,0.443
13,UPL,0.4394,0.4413,0.4394,0.4413,0.4413,0.4318,0.4299,0.4299,0.4299,0.4299,0.428,0.428,0.434
18,COALINDIA,0.3917,0.3936,0.3917,0.3917,0.3936,0.428,0.428,0.428,0.4318,0.4318,0.4318,0.4337,0.415
12,SBIN,0.4184,0.4203,0.4184,0.4184,0.4184,0.4088,0.4088,0.4069,0.4069,0.405,0.405,0.4031,0.412
15,ICICIBANK,0.4203,0.4203,0.4222,0.4203,0.4203,0.4031,0.4012,0.4012,0.3993,0.3993,0.3974,0.3974,0.409
2,M&M,0.3955,0.3955,0.3936,0.3936,0.3936,0.3955,0.3955,0.3955,0.3936,0.3936,0.3936,0.3917,0.394
10,BPCL,0.3917,0.3955,0.3917,0.3917,0.3917,0.3917,0.3897,0.3897,0.3897,0.3878,0.3878,0.3878,0.391
14,GRASIM,0.3725,0.3725,0.3725,0.3745,0.3725,0.3897,0.3955,0.3955,0.3974,0.3974,0.3974,0.3955,0.386
49,TECHM,0.3783,0.3783,0.3783,0.3783,0.3783,0.3859,0.3859,0.3859,0.3859,0.384,0.3897,0.3897,0.383
28,HDFC,0.3611,0.363,0.3802,0.363,0.3649,0.3936,0.3917,0.3917,0.3897,0.3897,0.3955,0.4012,0.382
20,KOTAKBANK,0.3821,0.3821,0.384,0.3821,0.3821,0.3821,0.3802,0.3802,0.3783,0.3783,0.3783,0.3783,0.381
1,MARUTI,0.3668,0.3668,0.3668,0.3668,0.3668,0.3936,0.3917,0.3917,0.3897,0.3897,0.3897,0.3897,0.381
44,EICHERMOT,0.384,0.384,0.384,0.384,0.384,0.3745,0.3745,0.3725,0.3725,0.3706,0.3706,0.3706,0.377
26,TITAN,0.3764,0.3764,0.3764,0.3764,0.3764,0.3783,0.3783,0.3764,0.3764,0.3745,0.3745,0.3745,0.376
31,TATACONSUM,0.3592,0.3611,0.3592,0.3611,0.3592,0.3764,0.3745,0.3745,0.3745,0.3725,0.3725,0.3745,0.368
33,BHARTIARTL,0.3745,0.3745,0.3745,0.3745,0.3745,0.363,0.363,0.3611,0.3611,0.3611,0.3611,0.3592,0.367
8,RELIANCE,0.3611,0.3611,0.3611,0.3611,0.3611,0.3573,0.3573,0.3554,0.3554,0.3554,0.3534,0.3573,0.358
22,SHREECEM,0.3458,0.3458,0.3458,0.3458,0.3458,0.3687,0.3687,0.3668,0.3668,0.3649,0.3649,0.3649,0.358
32,HDFCLIFE,0.3362,0.3382,0.3401,0.3362,0.3382,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3725,0.356
48,WIPRO,0.3515,0.3515,0.3515,0.3515,0.3515,0.3592,0.3592,0.3592,0.3592,0.3592,0.3611,0.3611,0.356
5,HEROMOTOCO,0.3286,0.3305,0.3305,0.3286,0.3286,0.3668,0.3668,0.3668,0.3668,0.3649,0.3649,0.363,0.351
6,NTPC,0.3534,0.3611,0.3534,0.3554,0.3534,0.3458,0.3458,0.3458,0.3439,0.3439,0.3515,0.3515,0.35
16,IOC,0.342,0.342,0.3401,0.3401,0.342,0.3515,0.3534,0.3534,0.3534,0.3534,0.3515,0.3515,0.348
30,POWERGRID,0.3439,0.3477,0.3439,0.3458,0.3458,0.3477,0.3477,0.3458,0.3458,0.3458,0.3439,0.3439,0.346
47,DIVISLAB,0.342,0.3401,0.342,0.3401,0.3401,0.3515,0.3515,0.3496,0.3496,0.3496,0.3477,0.3496,0.346
11,ULTRACEMCO,0.3305,0.3305,0.3305,0.3305,0.3305,0.3534,0.3534,0.3534,0.3534,0.3515,0.3515,0.3515,0.343
25,SBILIFE,0.3382,0.3382,0.3382,0.3382,0.3382,0.342,0.3458,0.3458,0.3458,0.3439,0.3458,0.3496,0.342
50,HCLTECH,0.3401,0.3401,0.342,0.3401,0.342,0.342,0.342,0.3439,0.342,0.342,0.342,0.3439,0.342
35,ASIANPAINT,0.3305,0.3324,0.3305,0.3305,0.3305,0.3439,0.3439,0.3439,0.3439,0.3439,0.3439,0.342,0.338
38,SUNPHARMA,0.342,0.342,0.3439,0.342,0.342,0.3343,0.3324,0.3324,0.3324,0.3305,0.3305,0.3305,0.336
9,HDFCBANK,0.3076,0.3076,0.3324,0.3095,0.3114,0.3477,0.3458,0.3458,0.3439,0.3439,0.3496,0.3534,0.333
43,LT,0.3286,0.3286,0.3286,0.3286,0.3286,0.3324,0.3305,0.3324,0.3324,0.3324,0.3324,0.3324,0.331
34,CIPLA,0.3362,0.3362,0.3362,0.3362,0.3362,0.3267,0.3267,0.3267,0.3248,0.3248,0.3248,0.3267,0.33
23,ITC,0.3305,0.3305,0.3305,0.3305,0.3305,0.3171,0.321,0.321,0.321,0.321,0.3191,0.3229,0.325
21,DRREDDY,0.3114,0.3114,0.3114,0.3114,0.3114,0.321,0.321,0.321,0.321,0.321,0.3191,0.3191,0.317
7,BAJAJ-AUTO,0.3114,0.3133,0.3114,0.3114,0.3114,0.3152,0.3133,0.3133,0.3133,0.3133,0.3133,0.3133,0.313
45,INFY,0.3076,0.3076,0.3076,0.3076,0.3095,0.3114,0.3095,0.3114,0.3114,0.3095,0.3267,0.3286,0.312
36,BRITANNIA,0.2866,0.2847,0.2866,0.2847,0.2847,0.2961,0.2961,0.2942,0.2942,0.2923,0.2923,0.2942,0.291
37,TCS,0.277,0.277,0.277,0.2789,0.2789,0.2808,0.2808,0.2808,0.2789,0.2789,0.2828,0.2828,0.28
40,HINDUNILVR,0.2694,0.2694,0.2694,0.2675,0.2675,0.2866,0.2866,0.2847,0.2847,0.2847,0.2847,0.2866,0.278
41,NESTLEIND,0.2675,0.2675,0.2675,0.2675,0.2675,0.2617,0.2617,0.2617,0.2617,0.2598,0.2598,0.2636,0.264
