,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
26,ADANIGREEN,2022-06-13,EQ,1757.6,1728.75,1840.0,1703.55,1796.0,1798.7,1789.19,2486948,444961987490000.0,129196,576366,23.18,"Vol Down, Delivery Up",1,0.651
27,ADANIGREEN,2022-06-14,EQ,1798.7,1790.0,1834.8,1756.05,1785.1,1788.75,1810.35,1561899,282758834795000.0,70143,589645,37.75,"Vol Down, Delivery Up",1,0.651
2,ZOMATO,2022-06-13,EQ,69.0,67.5,68.3,65.4,67.45,67.5,66.86,34863276,233095725690000.0,90026,7539019,21.62,"Vol Up, Delivery Down",1,0.648
3,ZOMATO,2022-06-14,EQ,67.5,64.2,70.75,64.0,69.65,70.0,68.52,66677006,456869522585000.06,162642,6645740,9.97,"Vol Up, Delivery Down",1,0.648
4,TATAMOTORS,2022-06-13,EQ,428.05,414.9,418.15,405.6,406.5,406.7,410.03,17442641,715199164245000.0,246370,5994462,34.37,"Vol Up, Delivery Down",1,0.571
5,TATAMOTORS,2022-06-14,EQ,406.7,403.0,411.85,397.7,404.7,405.15,405.51,19626627,795874475350000.0,208822,4666744,23.78,"Vol Up, Delivery Down",1,0.571
6,PAYTM,2022-06-13,EQ,600.5,590.0,597.4,578.0,583.55,582.25,586.31,2395179,140432196959999.98,50247,700047,29.23,"Vol Up, Delivery Down",1,0.57
7,PAYTM,2022-06-14,EQ,582.25,585.0,612.7,582.85,605.55,606.5,601.18,3938122,236753293865000.0,88521,635367,16.13,"Vol Up, Delivery Down",1,0.57
20,INDUSINDBK,2022-06-13,EQ,913.2,895.0,900.35,860.1,867.7,865.45,870.84,3353078,291999203890000.0,87272,1185937,35.37,"Vol Up, Delivery Down",1,0.551
21,INDUSINDBK,2022-06-14,EQ,865.45,864.0,869.95,840.3,845.4,844.2,854.26,3770890,322133466245000.0,85724,1084085,28.750000000000004,"Vol Up, Delivery Down",1,0.551
22,HINDALCO,2022-06-13,EQ,385.75,377.8,377.8,360.5,367.0,366.45,366.9,12269608,450166522980000.0,176137,4269134,34.79,"Vol Down, Delivery Up",1,0.526
23,HINDALCO,2022-06-14,EQ,366.45,363.85,369.6,357.35,358.5,358.3,363.16,11273145,409394123560000.0,122936,4768978,42.3,"Vol Down, Delivery Up",1,0.526
10,NAUKRI,2022-06-13,EQ,3680.9,3501.0,3636.5,3501.0,3610.0,3614.05,3593.88,422975,152012047405000.0,36311,141614,33.48,"Vol Up, Delivery Down",1,0.516
11,NAUKRI,2022-06-14,EQ,3614.05,3614.0,3620.95,3535.05,3596.3,3607.6,3572.42,430368,153745693280000.0,37998,115120,26.75,"Vol Up, Delivery Down",1,0.516
12,MINDTREE,2022-06-13,EQ,3062.25,2965.0,2997.0,2875.0,2882.0,2881.85,2914.33,575600,167748951680000.0,45862,158201,27.48,"Vol Up, Delivery Down",1,0.516
13,MINDTREE,2022-06-14,EQ,2881.85,2838.5,2970.0,2830.0,2923.0,2922.0,2927.17,666906,195214828460000.0,45293,104222,15.630000000000004,"Vol Up, Delivery Down",1,0.516
18,JUBLFOOD,2022-06-13,EQ,524.7,509.0,521.95,509.0,520.2,517.9,517.14,1603293,82913478240000.0,35009,407888,25.44,"Vol Up, Delivery Down",1,0.499
19,JUBLFOOD,2022-06-14,EQ,517.9,510.55,528.7,510.55,515.85,517.1,522.16,1977805,103273317325000.0,39153,353941,17.9,"Vol Up, Delivery Down",1,0.499
8,NYKAA,2022-06-13,EQ,1445.95,1410.0,1470.0,1410.0,1462.0,1455.95,1455.08,751929,109411807275000.0,33090,219160,29.15,"Vol Down, Delivery Up",1,0.488
9,NYKAA,2022-06-14,EQ,1455.95,1460.0,1475.0,1415.0,1468.0,1455.85,1445.79,613932,88761882920000.0,41208,235931,38.43,"Vol Down, Delivery Up",1,0.488
24,APOLLOHOSP,2022-06-13,EQ,3700.5,3649.0,3678.05,3592.0,3650.65,3651.9,3649.05,523342,190970187245000.0,33820,273330,52.23,"Vol Up, Delivery Down",1,0.487
25,APOLLOHOSP,2022-06-14,EQ,3651.9,3628.2,3757.85,3622.75,3701.1,3706.2,3710.22,655865,243340220285000.0,52284,213020,32.48,"Vol Up, Delivery Down",1,0.487
16,LUPIN,2022-06-13,EQ,618.65,612.0,617.45,604.0,611.3,612.25,609.87,795186,48496261815000.0,14069,313413,39.41,"Vol Up, Delivery Down",1,0.396
17,LUPIN,2022-06-14,EQ,612.25,607.5,620.0,606.5,610.5,609.35,612.1,801599,49065893460000.0,14313,262619,32.76,"Vol Up, Delivery Down",1,0.396
14,MARUTI,2022-06-13,EQ,7935.1,7849.95,7967.35,7793.75,7901.4,7901.6,7891.94,565826,446546484055000.0,84579,198189,35.03,"Vol Down, Delivery Up",1,0.385
15,MARUTI,2022-06-14,EQ,7901.6,7805.0,7901.4,7750.0,7802.75,7811.65,7834.51,553462,433610463075000.0,65570,232727,42.05,"Vol Down, Delivery Up",1,0.385
0,ZYDUSLIFE,2022-06-13,EQ,358.9,353.6,357.4,349.05,352.15,351.75,352.86,567387,20021065000000.0,10904,217397,38.32,"Vol Up, Delivery Down",1,0.357
1,ZYDUSLIFE,2022-06-14,EQ,351.75,350.5,356.4,349.8,352.1,351.8,353.05,696169,24578586495000.0,11410,155840,22.39,"Vol Up, Delivery Down",1,0.357
190,ADANITRANS,2022-06-13,EQ,2051.9,2012.75,2124.85,2002.05,2050.0,2051.9,2096.31,592801,124269489380000.0,21916,412262,69.54,-,0,0.617
191,ADANITRANS,2022-06-14,EQ,2051.9,2041.6,2119.0,2040.5,2060.0,2057.5,2092.35,353481,73960435795000.0,14310,228904,64.76,-,0,0.617
62,SAIL,2022-06-13,EQ,73.3,72.0,72.0,70.2,71.55,71.5,71.03,30530740,216846818825000.0,87154,7586762,24.85,-,0,0.588
63,SAIL,2022-06-14,EQ,71.5,71.0,73.4,70.7,71.5,71.25,71.89,29432739,211592123280000.0,68388,4770417,16.21,-,0,0.588
30,VEDL,2022-06-13,EQ,301.2,295.2,297.65,286.55,289.5,289.7,289.95,7487440,217098151810000.0,92629,2365155,31.59,-,0,0.573
31,VEDL,2022-06-14,EQ,289.7,289.0,296.2,288.25,290.95,291.15,292.1,7645723,223332228035000.0,70802,2455307,32.11,-,0,0.573
158,CHOLAFIN,2022-06-13,EQ,650.35,638.0,638.85,606.85,612.0,609.0,618.05,1669759,103199989445000.0,77310,534725,32.02,-,0,0.568
159,CHOLAFIN,2022-06-14,EQ,609.0,600.0,628.5,600.0,617.45,618.85,615.38,3085086,189849699575000.0,72252,1127496,36.55,-,0,0.568
76,PEL,2022-06-13,EQ,1701.65,1665.35,1665.35,1602.5,1621.0,1616.35,1625.89,552820,89882670045000.0,35487,145769,26.37,-,0,0.561
77,PEL,2022-06-14,EQ,1616.35,1608.0,1639.5,1577.1,1598.95,1598.6,1609.6,681122,109633076809999.98,34125,218686,32.11,-,0,0.561
174,BANDHANBNK,2022-06-13,EQ,323.6,317.7,318.0,304.25,308.5,307.1,309.2,5335610,164976047890000.0,56571,1690208,31.680000000000003,-,0,0.551
175,BANDHANBNK,2022-06-14,EQ,307.1,307.1,318.95,306.45,314.3,314.35,312.43,3906778,122058075080000.0,44812,1011532,25.89,-,0,0.551
146,DLF,2022-06-13,EQ,322.1,315.0,315.7,305.0,308.2,307.7,307.84,7361749,226621808120000.0,81480,2835100,38.51,-,0,0.545
147,DLF,2022-06-14,EQ,307.7,307.0,319.3,304.05,314.45,313.85,313.17,6307163,197518383025000.0,62451,559018,8.86,-,0,0.545
108,INDUSTOWER,2022-06-13,EQ,206.8,203.55,204.9,200.0,202.0,202.6,202.34,2119805,42892416700000.0,21836,1138669,53.72,-,0,0.542
109,INDUSTOWER,2022-06-14,EQ,202.6,201.4,206.5,200.9,201.3,201.4,202.04,5043160,101892649080000.0,24350,3382302,67.07,-,0,0.542
194,ADANIENT,2022-06-13,EQ,2203.1,2172.5,2172.5,2066.75,2082.1,2079.75,2119.3,1764172,373880199435000.0,55355,255622,14.49,-,0,0.538
195,ADANIENT,2022-06-14,EQ,2079.75,2274.0,2274.0,2053.1,2197.6,2196.45,2161.83,6515102,1408456029250000.0,184436,878680,13.489999999999998,-,0,0.538
44,TATASTEEL,2022-06-13,EQ,1023.7,1004.3,1012.0,990.0,995.0,991.95,998.95,8223575,821491930220000.0,264924,3224156,39.21,-,0,0.534
45,TATASTEEL,2022-06-14,EQ,991.95,988.25,1013.7,985.55,997.05,996.15,1001.17,7720260,772933068670000.0,173596,2688330,34.82,-,0,0.534
172,BANKBARODA,2022-06-13,EQ,105.1,102.2,102.95,98.5,99.95,99.95,100.16,22147285,221823340945000.0,80891,5623374,25.39,-,0,0.531
173,BANKBARODA,2022-06-14,EQ,99.95,99.1,102.15,99.1,100.65,100.55,100.77,18606407,187495605015000.0,54647,4384441,23.56,-,0,0.531
68,PNB,2022-06-13,EQ,30.9,30.25,30.55,29.9,30.2,30.1,30.12,21124501,63627134040000.0,38003,5250613,24.86,-,0,0.517
69,PNB,2022-06-14,EQ,30.1,30.0,30.35,29.8,30.0,29.9,30.02,20714804,62178310045000.01,27157,5130339,24.77,-,0,0.517
100,JSWSTEEL,2022-06-13,EQ,572.5,563.1,567.95,555.0,564.0,564.0,563.17,4071346,229285222055000.03,54905,1049742,25.78,-,0,0.514
101,JSWSTEEL,2022-06-14,EQ,564.0,562.8,576.8,560.15,563.45,561.9,567.72,3413396,193786298840000.0,49334,645526,18.91,-,0,0.514
82,NMDC,2022-06-13,EQ,119.5,118.25,118.25,113.1,114.35,114.0,114.97,8234965,94678434210000.0,47888,3067618,37.25,-,0,0.508
83,NMDC,2022-06-14,EQ,114.0,114.0,116.45,112.85,113.75,113.75,114.45,7457456,85354088580000.0,31583,2049968,27.49,-,0,0.508
110,INDIGO,2022-06-13,EQ,1808.9,1780.25,1799.75,1722.65,1753.8,1755.8,1754.39,420743,73814726145000.0,25130,130223,30.95,-,0,0.507
111,INDIGO,2022-06-14,EQ,1755.8,1735.0,1770.0,1730.55,1745.05,1742.9,1747.6,306321,53532636865000.0,18346,106877,34.89,-,0,0.507
78,ONGC,2022-06-13,EQ,164.65,162.0,163.95,158.45,159.75,159.55,160.41,12237777,196307839410000.0,76867,3836264,31.35,-,0,0.477
79,ONGC,2022-06-14,EQ,159.55,159.55,160.55,155.3,156.0,155.95,157.59,12844437,202415701020000.0,76361,4608967,35.88,-,0,0.477
94,LTI,2022-06-13,EQ,4331.45,4138.85,4217.05,4074.1,4105.0,4086.9,4126.39,430669,177710767190000.0,36511,176875,41.07,-,0,0.476
95,LTI,2022-06-14,EQ,4086.9,4020.0,4209.95,4020.0,4173.0,4191.2,4176.23,553323,231080672245000.0,43929,183550,33.17,-,0,0.476
192,ADANIPORTS,2022-06-13,EQ,726.4,711.0,714.7,688.8,697.0,695.25,699.84,4535069,317382108755000.0,89349,1055186,23.27,-,0,0.471
193,ADANIPORTS,2022-06-14,EQ,695.25,695.4,721.8,693.55,704.75,704.7,709.25,6144330,435788699260000.06,95952,1148004,18.68,-,0,0.471
176,BAJFINANCE,2022-06-13,EQ,5667.5,5525.05,5554.0,5325.0,5372.0,5358.25,5392.02,1932785,1042161507265000.0,218776,785741,40.65,-,0,0.46
177,BAJFINANCE,2022-06-14,EQ,5358.25,5347.0,5461.0,5284.2,5383.75,5375.75,5383.08,1884541,1014463585125000.0,155584,632395,33.56,-,0,0.46
50,SRF,2022-06-13,EQ,2304.55,2241.5,2287.75,2236.95,2270.0,2263.25,2258.54,448704,101341536505000.0,30836,133115,29.67,-,0,0.457
51,SRF,2022-06-14,EQ,2263.25,2255.0,2318.65,2248.05,2270.0,2267.95,2282.83,364548,83219959495000.0,28877,84591,23.2,-,0,0.457
166,BIOCON,2022-06-13,EQ,339.0,335.25,338.8,327.6,331.35,331.05,333.4,1783868,59474054125000.0,21730,388580,21.78,-,0,0.451
167,BIOCON,2022-06-14,EQ,331.05,329.0,333.45,325.1,326.3,326.45,328.59,1117224,36710528240000.0,15930,361515,32.36,-,0,0.451
154,COALINDIA,2022-06-13,EQ,198.5,196.65,197.4,189.55,191.55,191.05,192.62,8516696,164052485945000.0,72164,2041919,23.98,-,0,0.45
155,COALINDIA,2022-06-14,EQ,191.05,189.1,194.5,189.1,192.2,192.2,192.08,6727598,129221629070000.0,66990,1851774,27.530000000000005,-,0,0.45
180,BAJAJFINSV,2022-06-13,EQ,12253.5,12000.0,12000.0,11350.0,11428.0,11386.05,11558.42,487732,563741338250000.0,90338,156697,32.13,-,0,0.443
181,BAJAJFINSV,2022-06-14,EQ,11386.05,11385.0,11577.65,11265.05,11356.0,11336.5,11426.75,366948,419302405665000.0,70688,84431,23.01,-,0,0.443
184,AXISBANK,2022-06-13,EQ,660.7,646.95,652.0,640.1,650.9,648.95,645.68,6135431,396151072220000.0,277801,3567690,58.15,-,0,0.431
185,AXISBANK,2022-06-14,EQ,648.95,645.0,655.7,643.1,650.9,650.75,649.79,5391833,350357710675000.0,210705,2315832,42.95,-,0,0.431
32,UPL,2022-06-13,EQ,734.4,726.0,732.4,719.55,726.2,726.4,725.55,1517285,110086224530000.0,40377,750983,49.5,-,0,0.42
33,UPL,2022-06-14,EQ,726.4,721.9,731.95,712.25,717.5,715.7,720.89,1590761,114676882505000.0,57565,762378,47.93,-,0,0.42
