,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
0,KOTAKBANK,2021-11-10,EQ,2097.2,2085.0,2091.35,2063.05,2077.55,2076.05,2077.46,1445788,300356793180000.0,78920,866668,59.940000000000005,"Vol Up, Delivery Down",1,0.39
1,KOTAKBANK,2021-11-11,EQ,2076.05,2073.0,2077.7,2047.55,2055.45,2054.1,2062.0,1547153,319022307435000.0,86034,731316,47.27,"Vol Up, Delivery Down",1,0.39
2,IOC,2021-11-10,EQ,139.7,139.4,141.3,138.7,139.7,139.45,139.93,10244603,143354481060000.0,81264,4862417,47.46,"Vol Up, Delivery Down",1,0.347
3,IOC,2021-11-11,EQ,139.45,134.15,135.6,132.6,133.75,133.3,133.99,12699644,170161002825000.0,118358,4534439,35.71,"Vol Up, Delivery Down",1,0.347
18,TATAMOTORS,2021-11-10,EQ,509.65,506.25,515.95,500.2,511.0,510.75,510.99,26615777,1360048154290000.0,406993,5103121,19.17,-,0,0.635
19,TATAMOTORS,2021-11-11,EQ,510.75,510.0,519.0,501.0,504.5,503.45,508.46,29256213,1487570188225000.0,309113,7747496,26.480000000000004,-,0,0.635
52,INDUSINDBK,2021-11-10,EQ,1068.25,1066.8,1066.8,1027.8,1033.4,1032.2,1041.79,6796906,708093704025000.0,170528,2675724,39.37,-,0,0.625
53,INDUSINDBK,2021-11-11,EQ,1032.2,1032.2,1038.0,1020.5,1032.2,1033.3,1029.73,4527396,466198846815000.0,128191,1090450,24.09,-,0,0.625
58,HINDALCO,2021-11-10,EQ,464.6,463.65,464.0,448.5,449.05,449.75,453.13,14672997,664881663010000.0,147824,6911052,47.1,-,0,0.541
59,HINDALCO,2021-11-11,EQ,449.75,449.05,456.3,446.6,454.65,453.95,452.6,7789754,352563357115000.0,103765,2339626,30.03,-,0,0.541
16,TATASTEEL,2021-11-10,EQ,1335.95,1328.0,1329.0,1287.1,1297.5,1298.55,1300.47,11880417,1545009171130000.0,295166,4047117,34.07,-,0,0.514
17,TATASTEEL,2021-11-11,EQ,1298.55,1304.9,1324.5,1288.35,1300.0,1299.6,1306.58,13663860,1785287526209999.8,290972,4209885,30.81,-,0,0.514
88,BAJFINANCE,2021-11-10,EQ,7577.5,7545.0,7610.0,7505.0,7570.0,7581.45,7566.45,464989,351831512195000.0,46921,147009,31.620000000000005,-,0,0.491
89,BAJFINANCE,2021-11-11,EQ,7581.45,7570.2,7600.95,7410.0,7446.0,7452.7,7476.38,634400,474301673045000.0,78602,247962,39.09,-,0,0.491
98,ADANIPORTS,2021-11-10,EQ,737.35,736.4,745.05,730.1,738.0,737.9,738.39,2751881,203196729330000.0,45417,602082,21.88,-,0,0.482
99,ADANIPORTS,2021-11-11,EQ,737.9,734.95,741.55,728.5,733.1,735.1,734.59,2325810,170852659980000.0,44777,369222,15.87,-,0,0.482
46,JSWSTEEL,2021-11-10,EQ,676.65,675.0,676.05,652.2,661.55,662.4,660.94,6871348,454152130440000.0,111014,2572764,37.44,-,0,0.48
47,JSWSTEEL,2021-11-11,EQ,662.4,662.4,669.85,660.25,666.55,667.4,666.07,3868489,257669833310000.0,56518,1218990,31.510000000000005,-,0,0.48
94,AXISBANK,2021-11-10,EQ,745.05,742.7,753.35,732.0,749.95,749.35,746.4,10844883,809461659380000.0,180516,6889305,63.53,-,0,0.48
95,AXISBANK,2021-11-11,EQ,749.35,748.0,748.0,735.1,738.0,738.05,740.95,6195359,459042807950000.0,213656,3206420,51.76,-,0,0.48
90,BAJAJFINSV,2021-11-10,EQ,18172.5,18142.5,18375.0,18002.5,18295.0,18326.15,18240.57,178433,325471956340000.0,35454,28704,16.09,-,0,0.479
91,BAJAJFINSV,2021-11-11,EQ,18326.15,18250.0,18350.0,17810.0,17877.0,17871.35,17954.86,215558,387031457910000.0,40049,46390,21.52,-,0,0.479
34,ONGC,2021-11-10,EQ,156.65,156.7,158.7,156.45,157.85,157.7,157.58,13900618,219048913885000.0,77496,6603724,47.51,-,0,0.475
35,ONGC,2021-11-11,EQ,157.7,156.6,156.85,153.05,153.65,153.5,153.86,14158749,217844296635000.0,82425,7868793,55.58,-,0,0.475
6,UPL,2021-11-10,EQ,746.35,746.25,774.0,741.1,771.5,771.3,765.77,6430811,492450748125000.0,123221,1438093,22.36,-,0,0.467
7,UPL,2021-11-11,EQ,771.3,774.0,777.95,760.5,765.85,764.7,768.32,3322415,255266236945000.0,75586,938160,28.24,-,0,0.467
54,ICICIBANK,2021-11-10,EQ,786.55,782.55,784.3,773.1,780.9,780.9,777.66,9507347,739347536405000.0,173605,5428909,57.10000000000001,-,0,0.451
55,ICICIBANK,2021-11-11,EQ,780.9,776.7,777.0,766.1,771.25,771.45,771.69,9221059,711580405435000.0,189648,5077147,55.06000000000001,-,0,0.451
26,SBIN,2021-11-10,EQ,529.15,525.55,528.5,521.5,523.7,524.4,524.92,15805538,829666043905000.0,233636,6661421,42.15,-,0,0.435
27,SBIN,2021-11-11,EQ,524.4,522.85,522.85,507.1,509.9,509.6,513.93,23086898,1186494788635000.0,404691,8852924,38.35,-,0,0.435
42,M&M,2021-11-10,EQ,892.15,905.9,925.0,895.0,918.6,919.65,915.24,17083220,1563526408670000.0,309870,5051979,29.57,-,0,0.413
43,M&M,2021-11-11,EQ,919.65,918.95,928.8,911.0,924.75,924.75,920.73,4935551,454429799675000.0,94795,1946564,39.44,-,0,0.413
84,BPCL,2021-11-10,EQ,430.5,432.0,434.0,430.15,430.75,431.25,431.69,3282554,141705366570000.0,46542,1508022,45.94,-,0,0.4
85,BPCL,2021-11-11,EQ,431.25,425.95,427.25,422.05,426.2,425.3,424.5,3316769,140797793595000.0,85928,1867155,56.28999999999999,-,0,0.4
78,COALINDIA,2021-11-10,EQ,170.5,169.9,170.85,166.45,166.7,166.7,167.45,9212143,154259114000000.0,69954,3592473,39.0,-,0,0.398
79,COALINDIA,2021-11-11,EQ,166.7,165.9,167.65,165.2,167.3,167.0,166.52,6453205,107459528875000.0,65062,1962135,30.41,-,0,0.398
72,EICHERMOT,2021-11-10,EQ,2724.25,2720.0,2765.55,2710.0,2745.0,2746.75,2745.73,861635,236581358950000.0,56282,416596,48.35,-,0,0.392
73,EICHERMOT,2021-11-11,EQ,2746.75,2730.0,2742.9,2686.45,2704.75,2704.35,2706.03,533140,144269169865000.0,29004,264954,49.7,-,0,0.392
