SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency
UPL,2021-09-23,EQ,724.9,725.1,732.0,723.05,727.1,726.85,727.93,1337563,97365223880000.0,39781,490091,36.64,"Vol Up, Delivery Down",1
UPL,2021-09-24,EQ,726.85,728.0,731.9,713.55,719.9,718.65,723.47,1372681,99309464930000.0,32485,437768,31.89,"Vol Up, Delivery Down",1
UBL,2021-09-23,EQ,1638.95,1649.9,1686.0,1627.0,1654.4,1654.35,1660.3,1255536,208456238740000.0,58747,244576,19.48,"Vol Down, Delivery Up",1
UBL,2021-09-24,EQ,1654.35,1658.0,1666.0,1587.0,1602.3,1605.85,1619.5,666533,107944697515000.02,44576,247012,37.06,"Vol Down, Delivery Up",1
TCS,2021-09-23,EQ,3862.15,3870.0,3879.0,3835.0,3872.0,3869.25,3859.54,2003869,773401988640000.0,131024,1396484,69.69,"Vol Up, Delivery Down",1
TCS,2021-09-24,EQ,3869.25,3890.0,3944.4,3855.0,3878.75,3871.3,3908.95,2320754,907171888985000.0,185756,1308031,56.36,"Vol Up, Delivery Down",1
RELIANCE,2021-09-23,EQ,2430.5,2447.4,2497.0,2445.5,2488.1,2489.9,2475.75,7267883,1799343214275000.0,255176,3910090,53.800000000000004,"Vol Down, Delivery Up",1
RELIANCE,2021-09-24,EQ,2489.9,2503.55,2505.45,2472.0,2479.0,2482.7,2488.36,7011181,1744632105545000.0,234214,4228344,60.31000000000001,"Vol Down, Delivery Up",1
PNB,2021-09-23,EQ,38.15,38.5,39.0,38.4,38.45,38.5,38.63,31335371,121042143730000.0,43043,10226009,32.63,"Vol Up, Delivery Down",1
PNB,2021-09-24,EQ,38.5,39.0,39.0,37.75,37.85,37.9,38.22,33176080,126794376215000.02,47157,9572586,28.850000000000005,"Vol Up, Delivery Down",1
PIDILITIND,2021-09-23,EQ,2418.0,2435.0,2449.95,2418.0,2431.0,2435.0,2437.53,396212,96577845775000.0,31833,199538,50.36000000000001,"Vol Up, Delivery Down",1
PIDILITIND,2021-09-24,EQ,2435.0,2442.0,2477.7,2433.3,2449.0,2451.95,2456.56,554484,136212495465000.02,35901,128660,23.2,"Vol Up, Delivery Down",1
PGHH,2021-09-23,EQ,14072.55,14140.0,14500.0,13991.4,14325.7,14269.75,14186.61,4607,6535769560000.0,2187,3074,66.72,"Vol Up, Delivery Down",1
PGHH,2021-09-24,EQ,14269.75,14449.8,14449.8,13725.05,14099.0,14065.45,14143.2,5615,7941404475000.0,2845,1921,34.21,"Vol Up, Delivery Down",1
HDFCAMC,2021-09-23,EQ,3213.1,3225.0,3292.0,3225.0,3228.0,3240.65,3247.86,340496,110588186720000.0,21341,157764,46.33,"Vol Down, Delivery Up",1
HDFCAMC,2021-09-24,EQ,3240.65,3254.1,3264.5,3188.5,3210.0,3208.2,3211.86,326338,104815240615000.0,23800,174780,53.56000000000001,"Vol Down, Delivery Up",1
GICRE,2021-09-23,EQ,143.9,144.4,145.3,143.1,143.2,143.25,143.79,718832,10335766360000.0,7563,419959,58.42,"Vol Up, Delivery Down",1
GICRE,2021-09-24,EQ,143.25,143.35,148.8,143.15,145.45,145.95,146.29,1197190,17514192955000.002,15637,379236,31.680000000000003,"Vol Up, Delivery Down",1
GAIL,2021-09-23,EQ,150.0,152.05,155.65,151.15,153.15,152.9,153.1,15138877,231783332235000.0,70498,6727013,44.44,"Vol Up, Delivery Down",1
GAIL,2021-09-24,EQ,152.9,154.0,154.8,148.55,151.5,152.6,152.62,15631653,238575580525000.0,77230,4113560,26.32,"Vol Up, Delivery Down",1
EICHERMOT,2021-09-23,EQ,2842.85,2851.6,2876.7,2843.4,2858.7,2857.05,2855.7,452680,129271945605000.0,27468,238153,52.61,"Vol Up, Delivery Down",1
EICHERMOT,2021-09-24,EQ,2857.05,2861.5,2948.05,2861.5,2945.0,2931.0,2903.99,806905,234324609130000.03,44241,234280,29.03,"Vol Up, Delivery Down",1
ACC,2021-09-23,EQ,2365.55,2375.0,2380.5,2340.05,2351.0,2351.05,2353.21,380958,89647307175000.0,33169,178657,46.9,"Vol Up, Delivery Down",1
ACC,2021-09-24,EQ,2351.05,2368.0,2372.95,2281.0,2300.95,2298.75,2312.03,434577,100475551365000.0,31602,176889,40.7,"Vol Up, Delivery Down",1
WIPRO,2021-09-23,EQ,668.15,672.9,677.0,671.4,674.0,674.3,674.63,3231293,217991381644999.97,73519,1382422,42.78,-,0
WIPRO,2021-09-24,EQ,674.3,680.5,699.15,675.0,676.5,676.5,687.0,12126588,833097259680000.0,229739,2866017,23.63,-,0
ULTRACEMCO,2021-09-23,EQ,7625.6,7642.15,7697.2,7580.0,7628.0,7619.7,7622.43,201988,153963972520000.0,27707,88200,43.67,-,0
ULTRACEMCO,2021-09-24,EQ,7619.7,7633.0,7642.6,7500.0,7519.0,7521.5,7543.65,341258,257433036850000.0,48702,224826,65.88,-,0
TORNTPHARM,2021-09-23,EQ,3085.5,3099.3,3116.95,3045.05,3100.65,3101.05,3082.22,77637,23929455060000.0,9311,30169,38.86,-,0
TORNTPHARM,2021-09-24,EQ,3101.05,3111.0,3134.5,3070.15,3091.0,3100.1,3097.36,79887,24743901095000.0,8887,39948,50.01,-,0
TITAN,2021-09-23,EQ,2081.05,2090.0,2113.75,2076.6,2106.0,2105.05,2096.94,711634,149225584200000.0,46700,331592,46.6,-,0
