,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
12,BAJAJFINSV,2021-09-28,EQ,18031.1,18185.0,18186.0,17430.1,17535.5,17550.35,17738.6,322058,571285942950000.0,65851,86710,26.920000000000005,"Vol Down, Delivery Up",1,0.494
13,BAJAJFINSV,2021-09-29,EQ,17550.35,17498.8,17647.9,17307.8,17428.0,17433.75,17462.38,309712,540830931175000.0,71576,98449,31.790000000000003,"Vol Down, Delivery Up",1,0.494
0,UPL,2021-09-28,EQ,725.85,728.0,732.9,710.25,715.65,716.8,721.66,2577784,186029015895000.0,51524,1159398,44.98,"Vol Down, Delivery Up",1,0.486
1,UPL,2021-09-29,EQ,716.8,711.9,722.9,709.0,715.3,717.15,716.67,2160616,154845414135000.0,53418,1165535,53.94,"Vol Down, Delivery Up",1,0.486
10,KOTAKBANK,2021-09-28,EQ,2033.35,2040.0,2077.8,2012.9,2073.0,2068.2,2043.85,3899267,796952035875000.0,96823,1744958,44.75,"Vol Down, Delivery Up",1,0.393
11,KOTAKBANK,2021-09-29,EQ,2068.2,2059.9,2060.0,2020.15,2031.0,2030.45,2038.47,3420314,697221384850000.0,141811,1856690,54.28000000000001,"Vol Down, Delivery Up",1,0.393
6,TATACONSUM,2021-09-28,EQ,835.05,837.0,837.4,817.0,822.5,822.7,824.46,1933307,159393398825000.0,55167,1072262,55.46,"Vol Up, Delivery Down",1,0.387
7,TATACONSUM,2021-09-29,EQ,822.7,824.5,829.4,811.0,822.9,823.45,820.92,2156442,177025774565000.0,57577,928307,43.05,"Vol Up, Delivery Down",1,0.387
2,TITAN,2021-09-28,EQ,2090.25,2083.2,2138.0,2083.05,2133.85,2129.3,2121.94,923489,195959188560000.0,58033,272159,29.47,"Vol Down, Delivery Up",1,0.373
3,TITAN,2021-09-29,EQ,2129.3,2129.0,2167.9,2110.05,2150.0,2147.5,2141.13,912912,195466717365000.0,57601,289901,31.760000000000005,"Vol Down, Delivery Up",1,0.373
8,SBILIFE,2021-09-28,EQ,1222.8,1222.5,1229.15,1202.3,1204.75,1210.3,1213.35,1588306,192717001405000.0,50316,1115242,70.22,"Vol Up, Delivery Down",1,0.362
9,SBILIFE,2021-09-29,EQ,1210.3,1206.0,1214.8,1196.8,1208.3,1205.95,1203.49,1623118,195340460555000.0,70117,1063891,65.55,"Vol Up, Delivery Down",1,0.362
4,TCS,2021-09-28,EQ,3836.95,3850.0,3850.0,3751.25,3777.05,3779.15,3784.75,2253075,852733047240000.0,140925,1558553,69.17,"Vol Up, Delivery Down",1,0.306
5,TCS,2021-09-29,EQ,3779.15,3759.8,3806.0,3722.15,3794.55,3791.9,3767.14,2489161,937701595830000.0,138418,1548275,62.2,"Vol Up, Delivery Down",1,0.306
54,INDUSINDBK,2021-09-28,EQ,1150.7,1160.0,1160.0,1119.0,1132.9,1134.75,1137.4,3684708,419099970830000.0,77920,1608400,43.65,-,0,0.642
55,INDUSINDBK,2021-09-29,EQ,1134.75,1127.1,1136.9,1114.1,1123.0,1123.2,1125.43,5574048,627318479250000.0,83655,3280298,58.85,-,0,0.642
22,TATAMOTORS,2021-09-28,EQ,331.65,334.0,336.0,324.5,328.7,329.3,330.97,28497009,943166679480000.0,260259,6297165,22.1,-,0,0.58
23,TATAMOTORS,2021-09-29,EQ,329.3,325.0,333.0,324.0,330.35,330.25,329.0,19740150,649455100415000.0,169614,3950402,20.01,-,0,0.58
60,HINDALCO,2021-09-28,EQ,481.4,480.9,486.9,475.05,476.7,478.15,480.48,6148679,295433567685000.0,73447,2052757,33.39,-,0,0.544
61,HINDALCO,2021-09-29,EQ,478.15,475.0,496.9,473.4,494.9,494.15,488.5,9508220,464479500800000.0,104842,2281168,23.99,-,0,0.544
20,TATASTEEL,2021-09-28,EQ,1270.5,1273.45,1296.8,1263.0,1279.0,1280.95,1281.17,8100736,1037843735135000.0,155092,1805448,22.29,-,0,0.525
21,TATASTEEL,2021-09-29,EQ,1280.95,1270.0,1309.8,1267.2,1293.8,1295.55,1290.68,9494577,1225442754450000.0,200121,2365838,24.92,-,0,0.525
90,BAJFINANCE,2021-09-28,EQ,7795.45,7815.0,7825.0,7425.05,7536.0,7543.3,7581.48,1572301,1192036594305000.0,144602,760945,48.4,-,0,0.513
91,BAJFINANCE,2021-09-29,EQ,7543.3,7529.0,7635.85,7456.15,7510.0,7515.4,7532.75,945879,712506744820000.0,109016,331880,35.09,-,0,0.513
94,AXISBANK,2021-09-28,EQ,796.95,802.0,805.6,778.0,789.0,789.2,790.87,7369680,582843127965000.0,139772,4408555,59.82000000000001,-,0,0.497
95,AXISBANK,2021-09-29,EQ,789.2,783.0,789.5,778.5,780.5,782.15,782.58,14241004,1114471819440000.0,237067,10315275,72.43,-,0,0.497
46,JSWSTEEL,2021-09-28,EQ,648.65,650.0,667.9,648.1,662.0,660.85,658.28,4735779,311748320020000.0,61424,1103945,23.31,-,0,0.49
47,JSWSTEEL,2021-09-29,EQ,660.85,658.9,684.3,653.6,680.0,679.8,671.21,7345149,493014625640000.0,81793,2963610,40.35,-,0,0.49
98,ADANIPORTS,2021-09-28,EQ,750.25,754.0,756.9,733.0,737.0,738.7,743.85,3748173,278807825210000.0,59682,1156974,30.870000000000005,-,0,0.489
99,ADANIPORTS,2021-09-29,EQ,738.7,737.65,747.85,736.0,742.3,742.0,743.07,2734053,203158862300000.0,45107,528295,19.32,-,0,0.489
34,ONGC,2021-09-28,EQ,140.0,141.8,143.6,141.0,142.0,142.2,142.25,46109879,655922429810000.0,154758,24951502,54.11,-,0,0.463
35,ONGC,2021-09-29,EQ,142.2,140.85,148.8,139.35,145.7,144.75,144.58,68003697,983214114770000.0,201937,29686746,43.65,-,0,0.463
28,SBIN,2021-09-28,EQ,446.6,449.2,455.8,439.6,444.65,444.9,448.31,19241170,862603831815000.0,199169,5139742,26.71,-,0,0.45
29,SBIN,2021-09-29,EQ,444.9,441.85,462.3,439.1,459.7,460.0,455.43,38635938,1759578181120000.0,276232,17529709,45.37,-,0,0.45
56,ICICIBANK,2021-09-28,EQ,730.0,734.1,735.4,706.6,715.9,717.15,718.17,13491839,968937716780000.0,173925,8806092,65.27,-,0,0.45
57,ICICIBANK,2021-09-29,EQ,717.15,707.35,711.95,701.3,709.4,709.5,706.04,11453404,808654002205000.0,219084,6662029,58.17,-,0,0.45
42,M&M,2021-09-28,EQ,811.35,820.0,822.0,796.25,805.0,806.05,809.22,3853344,311819038480000.0,99528,1556801,40.4,-,0,0.417
43,M&M,2021-09-29,EQ,806.05,800.0,815.7,799.0,809.2,812.1,808.65,2291977,185341015635000.0,75191,1005771,43.88,-,0,0.417
86,BPCL,2021-09-28,EQ,420.6,424.3,430.25,423.0,429.9,429.6,427.83,9133471,390759117325000.0,124560,4199537,45.98,-,0,0.415
87,BPCL,2021-09-29,EQ,429.6,429.5,438.0,426.0,437.9,436.9,433.86,7625857,330855903625000.0,115069,4096152,53.71,-,0,0.415
88,BHARTIARTL,2021-09-28,EQ,722.55,724.4,726.8,686.0,695.85,696.15,698.8,21944239,1533457273345000.0,312911,11007945,50.16,-,0,0.405
89,BHARTIARTL,2021-09-29,EQ,696.15,697.0,702.0,689.15,693.0,694.1,694.98,16729859,1162687137780000.0,163654,9013506,53.88,-,0,0.405
74,EICHERMOT,2021-09-28,EQ,2879.35,2882.0,2944.65,2864.5,2880.8,2883.05,2904.54,838118,243434555750000.0,56419,206107,24.59,-,0,0.398
75,EICHERMOT,2021-09-29,EQ,2883.05,2870.0,2890.0,2835.0,2840.05,2843.25,2858.67,386614,110520074134999.98,26291,110442,28.57,-,0,0.398
68,HDFC,2021-09-28,EQ,2839.8,2842.0,2850.0,2760.95,2802.0,2804.95,2811.05,2645677,743713109565000.0,145453,1614411,61.02000000000001,-,0,0.396
69,HDFC,2021-09-29,EQ,2804.95,2786.5,2792.95,2739.1,2747.35,2746.45,2761.29,3333322,920426816905000.0,146771,2493615,74.81,-,0,0.396
72,GRASIM,2021-09-28,EQ,1648.8,1653.0,1684.6,1641.1,1644.8,1648.75,1661.23,1562917,259636660570000.0,65050,381446,24.41,-,0,0.388
