INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS,GAIN/LOSS LOG
Nifty PSU Bank,2315.2,2320.95,2474.0,2311.3,2450.9,135.7,0.082
Nifty50 Div Point,93.26,97.72,97.72,97.72,97.72,4.46,0.067
Nifty Media,1668.9,1669.65,1711.05,1660.95,1705.35,36.45,0.031
Nifty CPSE,1747.3,1738.65,1769.05,1727.45,1765.05,17.75,0.015
Nifty Energy,18129.3,18066.65,18347.7,17988.75,18305.45,176.15,0.014
Nifty50 PR 1x Inv,286.7,287.35,289.4,286.75,288.7,2.0,0.01
Nifty50 TR 1x Inv,248.7,249.15,250.95,248.65,250.3,1.6,0.009
Nifty PSE,3050.65,3031.1,3073.35,3015.8,3068.6,17.95,0.008
Nifty Infra,4177.6,4174.95,4209.65,4167.75,4195.35,17.75,0.006
NIFTY SMLCAP 250,6748.15,6752.65,6802.5,6744.45,6773.9,25.75,0.005
Nifty Midcap 50,6885.5,6876.05,6945.75,6862.15,6907.6,22.1,0.005
NIFTY MIDSML 400,8062.5,8067.35,8120.5,8056.95,8088.25,25.75,0.005
NIFTY MIDCAP 100,23316.5,23318.85,23497.25,23284.7,23388.3,71.8,0.004
NIFTY MIDCAP 150,8794.3,8799.3,8854.8,8786.45,8819.95,25.65,0.004
Nifty Auto,10944.9,10914.2,11008.4,10880.5,10975.45,30.55,0.004
Nifty Next 50,35133.2,35179.95,35326.1,35039.1,35205.15,71.95,0.003
Nifty Metal,3570.15,3561.5,3590.85,3533.75,3576.05,5.9,0.002
NIFTY SMLCAP 50,4096.7,4104.85,4118.6,4079.5,4101.7,5.0,0.002
Nifty Commodities,4221.95,4206.6,4238.7,4198.75,4226.95,5.0,0.002
Nifty Mid Liq 15,6034.3,6022.55,6080.6,6010.8,6039.15,4.85,0.001
NIFTY SMLCAP 100,7974.95,7982.2,8020.35,7950.1,7977.45,2.5,0.0
NIFTY100 EQL Wgt,17181.25,17166.45,17249.95,17106.5,17175.9,-5.35,-0.0
Nifty GS 10Yr,2022.67,2023.0,2023.85,2020.21,2021.83,-0.84,-0.001
Nifty GS 10Yr Cln,955.81,955.81,956.22,954.47,955.25,-0.56,-0.001
NIFTY Alpha 50,21498.9,21558.3,21621.85,21417.3,21484.75,-14.15,-0.001
Nifty Div Opps 50,3015.4,3006.9,3019.7,2997.6,3012.8,-2.6,-0.001
Nifty GS 8 13Yr,2232.77,2233.14,2233.14,2230.51,2230.51,-2.26,-0.001
Nifty GS 11 15Yr,2385.26,2385.69,2385.69,2382.57,2382.57,-2.69,-0.002
Nifty GS Compsite,2273.72,2274.1,2274.1,2270.79,2270.79,-2.93,-0.002
Nifty GS 4 8Yr,2376.73,2377.1,2377.11,2373.37,2373.37,-3.36,-0.002
Nifty GS 15YrPlus,2626.14,2626.63,2626.63,2621.73,2621.73,-4.41,-0.002
Nifty100 Liq 15,3859.65,3860.8,3876.35,3834.65,3848.8,-10.85,-0.004
Nifty MNC,16199.45,16185.6,16195.95,16083.65,16146.65,-52.8,-0.005
NIFTY50 EQL Wgt,16266.75,16223.1,16288.85,16145.65,16203.9,-62.85,-0.006
NIFTY100 LowVol30,11434.1,11417.1,11433.0,11344.3,11389.6,-44.5,-0.006
Nifty 500,12647.2,12631.1,12669.85,12561.55,12597.45,-49.75,-0.006
Nifty50 Value 20,7328.5,7316.45,7331.25,7274.35,7295.0,-33.5,-0.007
Nifty 200,7928.05,7916.05,7938.7,7868.65,7891.25,-36.8,-0.007
Nifty Consumption,6138.65,6125.3,6134.2,6094.0,6109.55,-29.1,-0.007
Nifty 100,15406.0,15379.3,15413.9,15275.7,15318.5,-87.5,-0.008
Nifty FMCG,33724.5,33681.1,33726.9,33418.05,33519.55,-204.95,-0.009
Nifty Realty,356.8,356.3,358.0,352.95,354.5,-2.3,-0.009
NIFTY200 QUALTY30,12540.25,12515.2,12522.15,12423.45,12458.25,-82.0,-0.009
Nifty 50,15313.45,15279.9,15314.3,15170.75,15208.9,-104.55,-0.01
