INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
Nifty 50,     18102.75,     18140.95,     18210.15,     18071.30,     18109.45,6.7
NIFTY50 EQL Wgt,     20210.55,     20252.50,     20347.50,     20161.20,     20206.65,-3.9
NIFTY100 EQL Wgt,     21487.70,     21564.55,     21612.85,     21442.40,     21499.80,12.1
NIFTY100 LowVol30,     13493.15,     13523.95,     13558.65,     13492.30,     13537.80,44.65
NIFTY Alpha 50,     33549.35,     33792.10,     33839.75,     33522.85,     33705.10,155.75
NIFTY MIDCAP 150,     11944.30,     11990.65,     12008.05,     11931.65,     11985.45,41.15
NIFTY SMLCAP 50,      5413.85,      5430.85,      5447.20,      5402.75,      5419.50,5.65
NIFTY SMLCAP 250,      9778.60,      9826.90,      9831.20,      9733.60,      9756.25,-22.35
NIFTY MIDSML 400,     11165.50,     11212.50,     11219.45,     11141.80,     11184.15,18.65
NIFTY200 QUALTY30,     15205.25,     15233.55,     15290.65,     15211.85,     15257.90,52.65
Nifty FinSrv25 50,     18992.55,     19048.20,     19102.50,     18859.40,     18927.35,-65.2
NIFTY AlphaLowVol,     17630.70,     17691.90,     17753.45,     17655.80,     17723.60,92.9
Nifty200Momentm30,     21404.50,     21494.15,     21551.55,     21379.00,     21401.55,-2.95
Nifty100ESGSecLdr,      3073.80,      3081.50,      3091.05,      3072.00,      3076.70,2.9
Nifty IT,     36332.25,     36391.10,     36646.25,     36302.95,     36465.30,133.05
Nifty Next 50,     44242.55,     44490.55,     44532.65,     44209.00,     44362.15,119.6
Nifty Bank,     38733.35,     38849.45,     39117.15,     38606.60,     38702.35,-31
NIFTY MIDCAP 100,     31925.85,     32048.55,     32088.70,     31884.10,     32028.30,102.45
Nifty 500,     15579.00,     15625.75,     15664.45,     15558.05,     15592.60,13.6
Nifty 100,     18389.50,     18438.25,     18498.70,     18364.40,     18401.65,12.15
Nifty Midcap 50,      8926.55,      8955.50,      8976.40,      8911.45,      8965.00,38.45
Nifty Realty,       544.65,       548.20,       549.30,       540.50,       545.85,1.2
Nifty Infra,      5323.05,      5337.15,      5362.80,      5314.45,      5334.00,10.95
Nifty Energy,     24209.30,     24359.05,     24453.45,     24160.50,     24268.85,59.55
Nifty FMCG,     38912.75,     39014.75,     39353.70,     38937.85,     39278.30,365.55
Nifty MNC,     19544.10,     19575.40,     19670.80,     19524.85,     19644.80,100.7
Nifty Pharma,     13774.65,     13790.45,     13996.85,     13770.90,     13974.35,199.7
Nifty PSE,      4108.55,      4123.40,      4148.40,      4110.65,      4117.45,8.9
Nifty PSU Bank,      2912.00,      2927.50,      2932.75,      2860.80,      2870.30,-41.7
Nifty Serv Sector,     25362.80,     25429.65,     25536.15,     25360.20,     25409.00,46.2
India VIX,15.2175,15.2175,15.8425,13.4275,15.4650,0.2475
Nifty Auto,     11706.50,     11716.10,     11840.95,     11645.30,     11687.65,-18.85
Nifty Metal,      5728.70,      5754.75,      5761.25,      5618.10,      5624.30,-104.4
Nifty Media,      2322.95,      2331.60,      2342.45,      2294.75,      2317.30,-5.65
NIFTY SMLCAP 100,     11177.70,     11236.25,     11239.05,     11107.30,     11149.30,-28.4
Nifty 200,      9627.70,      9654.80,      9682.25,      9615.95,      9637.35,9.65
Nifty Div Opps 50,      3797.75,      3808.25,      3822.80,      3802.20,      3810.90,13.15
Nifty Commodities,      5927.00,      5955.65,      5973.85,      5894.60,      5900.95,-26.05
Nifty Consumption,      7316.85,      7333.85,      7383.55,      7331.95,      7366.90,50.05
Nifty Fin Service,     18976.20,     19031.75,     19122.95,     18894.30,     18955.25,-20.95
Nifty50 Div Point,       144.46,       144.46,       144.46,       144.46,       144.46,0
Nifty100 Liq 15,      4614.85,      4620.10,      4643.55,      4582.90,      4597.15,-17.7
Nifty CPSE,      2338.90,      2345.20,      2369.25,      2337.85,      2347.25,8.35
Nifty GrowSect 15,      7839.60,      7861.60,      7949.65,      7861.00,      7930.35,90.75
Nifty50 PR 2x Lev,      9690.20,      9728.45,      9801.95,      9654.25,      9694.75,4.55
Nifty50 PR 1x Inv,       244.85,       244.40,       245.35,       243.45,       244.80,-.05
Nifty50 TR 2x Lev,     13165.15,     13217.15,     13316.95,     13116.30,     13171.30,6.15
Nifty50 TR 1x Inv,       210.20,       209.80,       210.60,       209.00,       210.15,-.05
Nifty50 Value 20,      9072.95,      9091.25,      9142.55,      9088.50,      9105.30,32.35
Nifty Mid Liq 15,      7781.20,      7803.20,      7846.85,      7770.20,      7838.85,57.65
Nifty Pvt Bank,     19890.05,     19955.45,     20084.70,     19830.90,     19896.15,6.1
NIFTY100 Qualty30,      3987.35,      3995.55,      4008.55,      3988.50,      3999.15,11.8
Nifty GS 8 13Yr,      2293.29,      2293.67,      2295.77,      2293.67,      2295.77,2.48
Nifty GS 10Yr,      2054.08,      2054.43,      2057.65,      2054.43,      2057.65,3.57
Nifty GS 10Yr Cln,       928.37,       928.37,       929.86,       928.37,       929.86,1.49
Nifty GS 4 8Yr,      2481.38,      2481.80,      2483.49,      2481.80,      2483.49,2.11
Nifty GS 11 15Yr,      2468.51,      2468.96,      2472.86,      2468.96,      2472.86,4.35
Nifty GS 15YrPlus,      2699.61,      2700.12,      2705.58,      2700.12,      2704.83,5.22
Nifty GS Compsite,      2361.83,      2362.23,      2365.38,      2362.23,      2365.38,3.55
