,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,08-04-2022,GODREJCP,EQ,781.55,791.45,832.75,791.45,812.9,811.65,815.48,6265030,510899264965000.0,153306,2104751,0.336
1,09-03-2022,GODREJCP,EQ,701.05,702.85,707.0,694.45,702.5,702.0,700.37,2756142,193032141155000.0,65423,1983563,0.7197
2,04-04-2022,LUPIN,EQ,765.5,769.0,792.15,762.25,790.0,790.55,774.13,3218546,249157739345000.0,36744,1773631,0.5511
3,30-03-2022,LUPIN,EQ,761.5,763.65,767.0,745.4,748.0,749.1,755.39,2245552,169626186890000.0,29222,1182033,0.5264
4,11-04-2022,AMBUJACEM,EQ,337.35,338.45,369.5,338.3,364.2,360.2,358.5,30662312,1099256955150000.0,277497,7074154,0.2307
5,17-03-2022,AMBUJACEM,EQ,309.35,314.2,314.9,305.45,307.2,306.2,309.79,9901093,306727757745000.0,67481,6357123,0.6421
6,07-04-2022,DMART,EQ,4101.9,4099.9,4244.0,4092.0,4149.9,4159.7,4193.03,979784,410826295165000.0,96822,433561,0.4425
7,17-03-2022,DMART,EQ,4169.55,4218.0,4239.0,4166.1,4185.05,4192.75,4199.26,608024,255324918460000.0,57728,364483,0.5995
8,08-04-2022,TECHM,EQ,1468.55,1475.0,1483.4,1440.0,1451.0,1448.75,1453.55,5402943,785345941255000.0,97621,3920233,0.7256
9,30-03-2022,TECHM,EQ,1522.35,1534.3,1534.3,1485.0,1494.85,1496.3,1495.77,3792481,567267008805000.0,133600,2296613,0.6056
10,05-04-2022,SBICARD,EQ,876.15,859.0,864.95,836.0,839.9,839.0,849.81,42706728,3629274426995000.0,174070,28202219,0.6604000000000001
11,04-03-2022,SBICARD,EQ,752.7,753.0,763.25,712.65,744.0,744.25,739.93,2604676,192727834165000.0,85527,1190451,0.457
12,06-04-2022,NTPC,EQ,149.1,150.35,155.3,148.3,153.0,153.0,153.21,52737388,807977790660000.0,277984,21985794,0.4169
13,08-03-2022,NTPC,EQ,130.05,130.5,135.8,130.5,133.25,133.75,133.39,28572640,381136787310000.0,238901,13228539,0.4629999999999999
14,11-04-2022,ACC,EQ,2170.55,2175.0,2284.6,2163.65,2236.7,2232.9,2231.05,1935494,431817709385000.06,83006,763958,0.3947
15,21-03-2022,ACC,EQ,2122.65,2101.0,2141.75,2046.65,2056.95,2055.75,2074.19,1043891,216522474390000.0,32039,387081,0.3707999999999999
16,12-04-2022,ADANIGREEN,EQ,2665.15,2840.0,2955.0,2725.5,2800.0,2792.4,2832.45,7836658,2219693571310000.0,434761,1398119,0.1784
17,30-03-2022,ADANIGREEN,EQ,1923.3,1936.0,2039.8,1776.25,1829.0,1857.15,1937.9,2316424,448900618850000.0,106892,789654,0.3409
18,04-04-2022,HDFCAMC,EQ,2276.5,2300.0,2480.0,2288.65,2347.0,2355.0,2386.47,2091074,499028502205000.0,139133,370046,0.177
19,29-03-2022,HDFCAMC,EQ,2094.7,2096.2,2113.45,2084.55,2097.0,2094.05,2099.82,524815,110201592770000.0,23183,337473,0.643
20,08-04-2022,MARICO,EQ,512.0,516.5,520.0,511.0,519.3,517.8,515.18,4230498,217947793680000.03,28934,3529869,0.8344
21,09-03-2022,MARICO,EQ,490.65,495.0,498.3,487.05,493.95,492.6,493.58,2526968,124727236290000.02,23450,2007050,0.7943000000000001
22,04-04-2022,HDFCBANK,EQ,1506.0,1580.0,1722.1,1562.55,1654.1,1656.8,1651.17,48725485,8045397271855000.0,920761,19554980,0.4013
23,02-03-2022,HDFCBANK,EQ,1426.25,1386.5,1398.4,1354.4,1378.55,1374.25,1372.96,19252780,2643331665360000.0,590118,13593351,0.706
24,08-04-2022,CHOLAFIN,EQ,686.75,714.0,751.45,707.4,743.4,741.75,737.46,12316063,908257380950000.0,181872,2509901,0.2037999999999999
25,09-03-2022,CHOLAFIN,EQ,615.55,621.1,644.7,613.3,640.0,640.5,626.98,3413357,214012275920000.0,63678,1600306,0.4688
26,04-04-2022,HDFC,EQ,2452.3,2570.5,2933.8,2570.5,2676.0,2680.05,2721.95,34117717,9286683673140000.0,817965,15474881,0.4536
27,02-03-2022,HDFC,EQ,2364.5,2321.5,2321.5,2259.45,2286.2,2278.1,2285.82,8890970,2032312754045000.0,304770,6560376,0.7379000000000001
28,05-04-2022,ADANIPORTS,EQ,818.55,840.0,860.9,826.0,844.05,848.05,846.58,21090646,1785484449395000.0,296045,4468603,0.2119
29,03-03-2022,ADANIPORTS,EQ,710.3,718.8,724.6,703.0,708.0,706.7,709.72,7533817,534690872925000.0,85752,4096611,0.5438000000000001
