"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","CHNG","%CHNG","VOLUME (shares)","VALUE ","52W H","52W L","365 D % CHNG 16-Apr-2021","30 D % CHNG 17-Mar-2022"
 SYMBOL,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 100","17,425.20","17,553.95","17,353.90","17,330.40","17,496.65","166.25","0.96",489476021,"343,086,476,825.58","18,870.70","14,439.90","19.41","-1.00"
"ACC","2,075.00","2,221.75","2,065.65","2,056.50","2,208.00","151.50","7.37",3687080,"7,993,995,018.80","2,589.00","1,782.25","9.58","-3.12"
"AMBUJACEM","355.00","375.80","355.00","354.25","375.00","20.75","5.86",13525255,"4,967,961,414.05","442.50","274.00","17.71","15.69"
"ADANITRANS","2,688.00","2,750.00","2,650.05","2,598.05","2,715.00","116.95","4.50",719165,"1,942,234,532.20","3,000.00","863.00","156.57","8.71"
"BIOCON","342.00","353.80","337.30","337.95","352.60","14.65","4.33",3702037,"1,291,048,383.38","420.25","314.80","-16.83","1.96"
"BPCL","379.80","392.30","376.35","375.85","391.75","15.90","4.23",8568189,"3,312,376,185.51","503.00","331.10","-8.05","3.20"
"TATAMOTORS","431.00","441.70","428.25","424.95","440.90","15.95","3.75",19639290,"8,571,568,120.50","536.70","268.45","40.99","-2.04"
"SHREECEM","25,099.00","25,775.00","24,880.05","24,860.90","25,775.00","914.10","3.68",46140,"1,177,756,259.40","31,469.95","21,650.00","-17.29","3.20"
"EICHERMOT","2,480.00","2,578.50","2,465.40","2,454.85","2,544.00","89.15","3.63",1193877,"3,024,508,297.95","2,994.00","2,159.55","3.56","0.73"
"MARUTI","7,499.00","7,699.00","7,472.60","7,435.10","7,696.10","261.00","3.51",542622,"4,140,216,712.44","9,050.00","6,400.00","14.18","-3.35"
"ULTRACEMCO","6,587.00","6,827.75","6,585.70","6,585.70","6,800.00","214.30","3.25",328054,"2,214,643,345.90","8,269.00","5,629.20","1.17","3.33"
"GODREJCP","778.50","803.70","772.65","775.05","800.00","24.95","3.22",1030275,"821,036,450.25","1,138.00","660.05","6.94","3.82"
"ASIANPAINT","2,991.30","3,089.50","2,980.00","2,991.20","3,080.05","88.85","2.97",838182,"2,556,564,063.66","3,590.00","2,488.00","16.30","-4.64"
