Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","17,932.20","17,943.50","17,802.90","17,855.10","1.90","0.01","2,957.15","24,244.82","17,947.65","11,452.30","65.24","7.34"
"MARUTI","6,974.00","7,448.00","6,974.00","7,400.00","447.75","6.44","26.46","1,926.36","8,329.00","6,270.15","17.50","10.26"
"M&M","789.50","813.75","783.05","813.00","33.55","4.30","92.11","737.42","952.05","567.50","41.37","5.30"
"TATAMOTORS","323.15","333.60","323.15","331.00","13.05","4.10","563.05","1,856.94","360.75","122.15","169.54","16.39"
"ONGC","138.05","140.75","137.50","139.95","3.85","2.83","341.97","476.77","140.75","64.10","109.98","21.01"
"HEROMOTOCO","2,841.00","2,928.00","2,841.00","2,911.25","77.80","2.75","11.87","344.24","3,629.05","2,636.00","-0.24","8.87"
"NTPC","125.30","127.80","124.50","127.55","3.30","2.66","84.90","106.98","127.80","78.10","54.33","11.89"
"BAJAJ-AUTO","3,831.00","3,924.80","3,822.80","3,911.00","101.20","2.66","9.63","373.91","4,361.40","2,822.45","33.40","6.00"
"RELIANCE","2,487.00","2,529.90","2,475.30","2,527.00","44.30","1.78","70.95","1,781.51","2,529.90","1,830.00","15.85","14.73"
"HDFCBANK","1,615.70","1,635.50","1,608.00","1,625.00","23.45","1.46","82.08","1,335.00","1,641.00","1,025.00","57.71","4.34"
"BPCL","418.45","422.50","416.55","420.70","5.90","1.42","48.89","205.38","503.00","325.00","11.52","-8.68"
"ULTRACEMCO","7,543.60","7,670.85","7,526.05","7,624.00","102.50","1.36","2.62","198.77","8,073.30","3,753.90","101.81","3.27"
"SBIN","444.90","450.55","442.25","446.00","5.25","1.19","117.47","525.16","471.90","175.50","152.91","7.15"
"UPL","722.95","737.00","716.25","726.90","8.25","1.15","26.12","190.15","864.70","399.00","43.90","0.11"
"GRASIM","1,635.10","1,657.25","1,622.20","1,646.70","16.95","1.04","9.09","148.94","1,658.00","675.50","142.27","13.75"
"ICICIBANK","724.50","731.75","722.30","730.00","7.05","0.98","77.12","561.43","734.80","333.75","117.46","5.64"
"IOC","118.15","118.85","117.50","118.20","0.95","0.81","99.39","117.54","119.45","71.65","64.17","11.40"
"ADANIPORTS","749.70","753.80","736.40","750.20","5.40","0.73","38.04","283.83","901.00","312.10","139.11","4.09"
"COALINDIA","167.00","169.15","165.35","167.00","0.90","0.54","91.00","152.18","170.00","109.55","44.34","20.27"
"HINDALCO","474.90","489.95","472.30","481.00","2.25","0.47","68.25","329.52","489.95","154.40","202.33","11.68"
"KOTAKBANK","2,031.20","2,058.00","2,025.50","2,034.85","6.75","0.33","18.30","373.23","2,058.00","1,230.60","63.30","19.89"
"DRREDDY","4,797.30","4,805.65","4,733.00","4,798.00","7.65","0.16","2.26","107.77","5,614.60","4,135.00","-4.56","5.47"
"SHREECEM","29,632.15","29,820.00","29,288.35","29,449.95","38.15","0.13","0.28","82.70","32,048.00","18,183.55","60.56","12.03"
"ITC","239.80","241.85","235.50","238.50","0.05","0.02","228.91","546.24","245.80","163.35","43.20","15.55"
"BAJFINANCE","7,849.00","7,860.00","7,740.05","7,794.00","0.60","0.01","6.51","507.43","7,999.00","3,006.90","157.32","12.23"
"SBILIFE","1,229.95","1,233.00","1,208.85","1,222.20","0.15","0.01","7.28","88.72","1,253.65","755.25","51.94","5.71"
"TITAN","2,099.00","2,107.35","2,077.20","2,092.50","-0.40","-0.02","5.08","106.10","2,150.00","1,076.00","90.90","14.81"
"AXISBANK","802.90","808.80","792.80","797.45","-0.60","-0.08","77.15","616.40","820.70","400.15","98.15","7.90"
"HDFC","2,845.75","2,869.40","2,824.80","2,835.00","-4.00","-0.14","26.84","764.69","2,896.00","1,623.00","73.20","5.03"
"TATASTEEL","1,272.00","1,288.70","1,261.05","1,270.35","-1.75","-0.14","86.69","1,104.43","1,534.50","342.75","269.40","-8.62"
