Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY NEXT 50","43,223.55","43,235.60","42,664.60","42,949.75","-121.90","-0.28","2,281.19","9,223.15","43,648.35","26,854.70","67.14","7.95"
"ADANIENT","1,462.00","1,544.00","1,462.00","1,543.55","81.85","5.60","47.38","714.10","1,717.20","269.50","470.73","4.62"
"BOSCHLTD","15,350.00","15,939.90","15,280.00","15,755.00","499.70","3.28","1.04","163.34","16,830.05","11,265.05","27.15","13.63"
"MRF","79,949.00","82,000.00","79,144.65","81,737.35","2,280.85","2.87","0.21","169.27","98,599.95","55,300.00","46.96","6.13"
"SBICARD","1,020.00","1,047.00","1,014.05","1,038.25","27.05","2.68","27.63","286.13","1,165.00","766.10","27.22","-2.53"
"ADANITRANS","1,512.00","1,593.00","1,495.05","1,581.00","38.85","2.52","2.32","35.68","1,990.00","233.55","867.56","21.57"
"DLF","414.15","427.90","411.80","419.05","8.60","2.10","325.80","1,373.29","427.90","144.40","186.53","36.37"
"AMBUJACEM","412.00","420.00","407.45","418.45","7.75","1.89","46.83","194.08","442.50","197.45","111.07","5.39"
"BANDHANBNK","284.50","289.40","283.00","287.40","5.30","1.88","30.66","87.85","430.70","251.40","12.79","8.62"
"BAJAJHLDNG","4,979.00","5,100.00","4,918.75","4,960.10","69.45","1.42","1.81","90.96","5,100.00","2,212.65","104.36","19.03"
"GAIL","155.00","157.00","152.00","154.75","2.15","1.41","209.81","323.08","170.30","81.20","86.45","6.80"
"ACC","2,305.55","2,346.75","2,286.50","2,329.50","30.75","1.34","3.63","84.07","2,509.00","1,293.65","78.69","2.74"
"LUPIN","927.65","940.80","915.05","936.00","9.80","1.06","17.00","157.64","1,267.65","855.35","-4.45","-0.51"
"PNB","38.15","38.65","38.05","38.30","0.40","1.06","338.00","129.69","46.35","26.30","36.54","5.08"
"PETRONET","236.00","238.00","233.80","237.50","2.10","0.89","25.38","59.84","275.35","207.25","12.72","4.12"
"NAUKRI","6,705.00","6,789.80","6,567.70","6,710.00","58.50","0.88","2.27","151.56","6,985.00","3,330.00","98.77","15.77"
"HINDPETRO","276.30","278.80","272.60","276.85","2.05","0.75","22.94","63.56","312.00","162.90","60.68","7.37"
"YESBANK","13.00","13.00","12.80","12.90","0.05","0.39","548.16","70.71","20.75","10.50","-0.39","17.81"
