SYMBOL,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency
UBL,EQ,1278.65,1280.9,1298.0,1262.0,1269.75,1269.7,1274.49,654865,83462161250000.0,27161,289427,0.44200000000000006,True
UBL,EQ,1289.35,1294.0,1329.65,1272.55,1276.35,1278.65,1296.79,1150845,149240133675000.0,37427,221901,0.19280000000000003,True
TORNTPHARM,EQ,2681.6,2681.7,2765.0,2637.45,2765.0,2752.05,2708.87,349538,94685308285000.0,23286,86807,0.2483,True
TORNTPHARM,EQ,2752.05,2795.0,2802.9,2730.0,2749.0,2757.95,2760.46,432228,119314951990000.02,21571,70251,0.1625,True
TECHM,EQ,969.2,972.35,980.85,950.05,960.0,959.4,962.01,3077720,296080387780000.0,66606,1266254,0.4114,True
TECHM,EQ,959.4,969.8,993.0,960.55,984.0,982.55,979.64,3713579,363798143095000.0,102104,1221486,0.3289,True
TATAMOTORS,EQ,315.9,318.75,339.25,318.0,336.55,335.95,328.1,102123614,3350695568995000.0,597813,13791043,0.135,True
TATAMOTORS,EQ,326.15,327.6,330.0,312.6,318.45,315.9,319.24,103512235,3304550022925000.0,620367,13161252,0.12710000000000002,True
RELIANCE,EQ,1924.3,1930.05,1944.65,1920.0,1924.3,1923.75,1929.36,9344470,1802888326750000.0,263144,3564531,0.3815,True
RELIANCE,EQ,1923.75,1933.05,1969.0,1929.05,1951.4,1951.45,1954.84,9776136,1911081669480000.0,287247,3553415,0.36350000000000005,True
PGHH,EQ,12356.65,12356.65,12799.0,12355.65,12780.0,12708.8,12540.78,15820,19839513680000.0,5029,6406,0.40490000000000004,True
PGHH,EQ,12292.85,12401.0,12454.45,12100.0,12250.0,12356.65,12237.01,23783,29103285560000.004,6945,5909,0.24850000000000003,True
PEL,EQ,1541.55,1555.0,1618.0,1549.0,1590.0,1591.25,1594.55,1849756,294952765030000.0,75167,525978,0.2843,True
PEL,EQ,1522.25,1524.95,1579.9,1521.95,1545.0,1541.55,1554.69,2346846,364861555950000.0,84032,446167,0.19010000000000002,True
ONGC,EQ,97.65,99.5,100.8,99.1,99.5,99.65,99.94,29096831,290804597515000.0,155984,12204252,0.4194,True
ONGC,EQ,97.65,98.95,99.95,96.8,97.8,97.65,98.33,30514219,300047950085000.0,112662,9313715,0.3052,True
JSWSTEEL,EQ,402.2,404.55,419.25,401.2,416.25,417.65,411.42,9008722,370635217695000.0,83516,1628712,0.1808,True
JSWSTEEL,EQ,400.3,403.0,406.6,389.15,402.85,402.2,400.05,9008833,360401451315000.0,76433,949189,0.1054,True
ICICIGI,EQ,1467.75,1467.75,1485.0,1464.55,1474.0,1473.0,1474.1,727597,107254995685000.0,36837,590332,0.8113,True
ICICIGI,EQ,1470.25,1479.85,1487.2,1450.1,1463.5,1467.75,1466.87,784535,115080871650000.0,56642,472408,0.6022,True
GICRE,EQ,138.45,138.45,140.6,137.5,137.85,137.8,138.89,281871,3914884835000.0,3409,143729,0.5099,True
GICRE,EQ,140.2,141.45,141.65,138.0,138.3,138.45,139.28,301711,4202335554999.9995,3583,125138,0.4148,True
DRREDDY,EQ,4800.9,4865.0,4909.95,4825.0,4861.0,4859.8,4869.86,2158578,1051197706429999.9,121634,1075225,0.49810000000000004,True
DRREDDY,EQ,4667.95,4685.0,4830.0,4625.65,4800.0,4800.9,4756.42,2407681,1145193240440000.0,144171,820492,0.3408,True
