,SYMBOL,21-MAR-2022,22-MAR-2022,23-MAR-2022,24-MAR-2022,25-MAR-2022,28-MAR-2022,29-MAR-2022,30-MAR-2022,31-MAR-2022,01-APR-2022,04-APR-2022,05-APR-2022,06-APR-2022,07-APR-2022,08-APR-2022,V AVERAGE
3,TATAMOTORS,0.5999,0.6018,0.5999,0.5999,0.5999,0.5999,0.5999,0.5999,0.5999,0.5999,0.5999,0.6018,0.5999,0.5846,0.5827,0.598
39,INDUSINDBK,0.6018,0.6018,0.5999,0.5999,0.5999,0.5999,0.5999,0.5999,0.5999,0.6018,0.6018,0.6018,0.5999,0.5731,0.5731,0.597
19,HINDALCO,0.5216,0.5197,0.5216,0.5216,0.5197,0.5197,0.5197,0.5254,0.5254,0.5197,0.5216,0.5197,0.5197,0.5158,0.5139,0.52
29,TATASTEEL,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.491,0.5006,0.5006,0.492
24,BAJFINANCE,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4757,0.4776,0.4757,0.4757,0.4757,0.4757,0.4757,0.4662,0.4643,0.474
17,ADANIPORTS,0.4662,0.4662,0.4662,0.4662,0.4662,0.4662,0.4681,0.4662,0.4662,0.4662,0.47,0.47,0.4662,0.4585,0.4585,0.466
42,JSWSTEEL,0.4623,0.4643,0.4623,0.4643,0.4623,0.4623,0.4643,0.4681,0.4643,0.4623,0.4623,0.4623,0.4623,0.4757,0.4776,0.465
46,BAJAJFINSV,0.4604,0.4604,0.4604,0.4604,0.4604,0.4604,0.4604,0.4623,0.4604,0.4604,0.4604,0.4604,0.4604,0.4547,0.4547,0.46
4,ONGC,0.4566,0.4566,0.4547,0.4547,0.4547,0.4547,0.4566,0.4604,0.4547,0.4566,0.4547,0.4566,0.4547,0.4738,0.4719,0.458
27,AXISBANK,0.4509,0.449,0.449,0.449,0.449,0.4509,0.449,0.449,0.449,0.449,0.449,0.449,0.449,0.4413,0.4413,0.448
13,UPL,0.4413,0.4394,0.4413,0.4394,0.4394,0.4413,0.4394,0.4394,0.4394,0.4413,0.4394,0.4413,0.4413,0.4318,0.4299,0.439
15,ICICIBANK,0.4203,0.4203,0.4203,0.4222,0.4203,0.4222,0.4203,0.4222,0.4203,0.4203,0.4222,0.4203,0.4203,0.4031,0.4012,0.418
12,SBIN,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4184,0.4203,0.4184,0.4184,0.4184,0.4088,0.4088,0.417
18,COALINDIA,0.3936,0.3917,0.3917,0.3936,0.3917,0.3936,0.3936,0.3936,0.3917,0.3936,0.3917,0.3917,0.3936,0.428,0.428,0.397
2,M&M,0.3955,0.3936,0.3955,0.3936,0.3936,0.3936,0.3936,0.3955,0.3955,0.3955,0.3936,0.3936,0.3936,0.3955,0.3955,0.394
10,BPCL,0.3936,0.3936,0.3917,0.3917,0.3917,0.3917,0.3917,0.3917,0.3917,0.3955,0.3917,0.3917,0.3917,0.3917,0.3897,0.392
44,EICHERMOT,0.384,0.384,0.384,0.384,0.384,0.384,0.3878,0.384,0.384,0.384,0.384,0.384,0.384,0.3745,0.3745,0.383
20,KOTAKBANK,0.384,0.3821,0.384,0.384,0.3821,0.3821,0.3821,0.3821,0.3821,0.3821,0.384,0.3821,0.3821,0.3821,0.3802,0.382
49,TECHM,0.3783,0.3821,0.3783,0.3783,0.3802,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3859,0.3859,0.38
26,TITAN,0.3764,0.3764,0.3764,0.3783,0.3802,0.3764,0.3764,0.3764,0.3764,0.3764,0.3764,0.3764,0.3764,0.3783,0.3783,0.377
14,GRASIM,0.3764,0.3725,0.3725,0.3725,0.3725,0.3745,0.3725,0.3745,0.3725,0.3725,0.3725,0.3745,0.3725,0.3897,0.3955,0.376
33,BHARTIARTL,0.3745,0.3745,0.3745,0.3745,0.3745,0.3764,0.3764,0.3745,0.3745,0.3745,0.3745,0.3745,0.3745,0.363,0.363,0.373
1,MARUTI,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3668,0.3936,0.3917,0.37
28,HDFC,0.3611,0.3611,0.363,0.363,0.3611,0.363,0.363,0.363,0.3611,0.363,0.3802,0.363,0.3649,0.3936,0.3917,0.368
31,TATACONSUM,0.363,0.3592,0.3592,0.3592,0.3592,0.3592,0.3592,0.3611,0.3592,0.3611,0.3592,0.3611,0.3592,0.3764,0.3745,0.362
8,RELIANCE,0.3611,0.363,0.3611,0.3611,0.3611,0.3611,0.3611,0.363,0.3611,0.3611,0.3611,0.3611,0.3611,0.3573,0.3573,0.361
6,NTPC,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534,0.3534,0.3611,0.3534,0.3554,0.3534,0.3458,0.3458,0.353
48,WIPRO,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3515,0.3592,0.3592,0.353
22,SHREECEM,0.3477,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3458,0.3687,0.3687,0.349
30,POWERGRID,0.3477,0.3458,0.3439,0.3439,0.3439,0.3458,0.3439,0.3458,0.3439,0.3477,0.3439,0.3458,0.3458,0.3477,0.3477,0.346
16,IOC,0.342,0.342,0.3401,0.3401,0.342,0.3401,0.3401,0.3401,0.342,0.342,0.3401,0.3401,0.342,0.3515,0.3534,0.343
47,DIVISLAB,0.3401,0.3401,0.342,0.3401,0.3401,0.3401,0.342,0.3401,0.342,0.3401,0.342,0.3401,0.3401,0.3515,0.3515,0.342
32,HDFCLIFE,0.3382,0.3362,0.3362,0.3362,0.3362,0.3362,0.3382,0.3401,0.3362,0.3382,0.3401,0.3362,0.3382,0.3706,0.3706,0.342
50,HCLTECH,0.342,0.3401,0.3401,0.342,0.342,0.342,0.3401,0.3401,0.3401,0.3401,0.342,0.3401,0.342,0.342,0.342,0.341
38,SUNPHARMA,0.342,0.342,0.3439,0.342,0.342,0.342,0.3439,0.342,0.342,0.342,0.3439,0.342,0.342,0.3343,0.3324,0.341
25,SBILIFE,0.3401,0.3382,0.3382,0.3382,0.3382,0.3382,0.3401,0.3401,0.3382,0.3382,0.3382,0.3382,0.3382,0.342,0.3458,0.339
5,HEROMOTOCO,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.342,0.3305,0.3286,0.3305,0.3305,0.3286,0.3286,0.3668,0.3668,0.335
34,CIPLA,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3362,0.3267,0.3267,0.335
11,ULTRACEMCO,0.3324,0.3305,0.3305,0.3305,0.3305,0.3305,0.3324,0.3305,0.3305,0.3305,0.3305,0.3305,0.3305,0.3534,0.3534,0.334
35,ASIANPAINT,0.3343,0.3305,0.3324,0.3305,0.3305,0.3305,0.3305,0.3324,0.3305,0.3324,0.3305,0.3305,0.3305,0.3439,0.3439,0.333
43,LT,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3286,0.3324,0.3305,0.329
