,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
0,JSWSTEEL,2022-04-18,EQ,766.35,764.0,775.85,758.4,768.0,767.85,767.63,5866740,450347786310000.06,88667,2149059,36.63,"Vol Up, Delivery Down",1,0.47
1,JSWSTEEL,2022-04-19,EQ,767.85,772.7,790.0,736.1,740.4,746.4,773.7,7301285,564896793190000.0,113702,1300589,17.81,"Vol Up, Delivery Down",1,0.47
8,ADANIPORTS,2022-04-18,EQ,840.5,831.35,846.75,821.4,845.0,842.7,833.04,3969878,330706632025000.0,75702,1324295,33.36,"Vol Up, Delivery Down",1,0.461
9,ADANIPORTS,2022-04-19,EQ,842.7,849.0,850.25,807.0,811.0,819.3,836.8,4472320,374244708365000.0,70271,932076,20.84,"Vol Up, Delivery Down",1,0.461
4,DIVISLAB,2022-04-18,EQ,4499.25,4490.0,4568.2,4450.25,4515.0,4524.9,4529.75,439474,199070847435000.0,45832,220142,50.09,"Vol Down, Delivery Up",1,0.346
5,DIVISLAB,2022-04-19,EQ,4524.9,4526.0,4579.0,4348.75,4395.05,4411.4,4478.58,421066,188577653350000.0,35213,240559,57.13,"Vol Down, Delivery Up",1,0.346
6,CIPLA,2022-04-18,EQ,1016.6,1016.6,1035.0,1010.1,1029.75,1027.85,1021.6,2092141,213732660790000.0,67250,770836,36.84,"Vol Down, Delivery Up",1,0.33
7,CIPLA,2022-04-19,EQ,1027.85,1034.7,1038.9,980.35,988.75,1000.3,1016.18,1813890,184324610275000.0,49065,1104567,60.89,"Vol Down, Delivery Up",1,0.33
2,DRREDDY,2022-04-18,EQ,4299.2,4275.0,4318.45,4230.7,4271.0,4284.95,4275.39,339676,145224702105000.0,35104,161215,47.46,"Vol Down, Delivery Up",1,0.317
3,DRREDDY,2022-04-19,EQ,4284.95,4310.0,4316.1,4190.0,4199.2,4209.7,4253.76,310144,131927921109999.98,39934,180775,58.29,"Vol Down, Delivery Up",1,0.317
24,TATAMOTORS,2022-04-18,EQ,431.05,430.0,436.35,423.65,433.8,433.8,429.12,15298361,656488821730000.0,229241,4540702,29.68,-,0,0.589
25,TATAMOTORS,2022-04-19,EQ,433.8,436.75,440.25,417.0,420.95,424.95,433.28,12669041,548927042105000.0,167111,2900501,22.89,-,0,0.589
60,INDUSINDBK,2022-04-18,EQ,983.4,972.0,983.0,966.1,975.2,977.45,974.17,1575552,153485052250000.0,44475,437089,27.74,-,0,0.583
61,INDUSINDBK,2022-04-19,EQ,977.45,979.9,988.95,951.0,957.95,963.8,979.62,1747142,171152915810000.0,47892,596084,34.12,-,0,0.583
66,HINDALCO,2022-04-18,EQ,546.75,544.95,555.65,537.4,545.1,545.35,543.64,7550655,410481533180000.0,130590,3659032,48.46,-,0,0.518
67,HINDALCO,2022-04-19,EQ,545.35,552.0,556.2,537.6,539.0,540.8,549.32,8143101,447318267205000.0,194652,4092437,50.25999999999999,-,0,0.518
22,TATASTEEL,2022-04-18,EQ,1319.5,1331.9,1358.05,1328.85,1340.25,1339.1,1343.07,8070042,1083862371350000.0,233360,2180780,27.02,-,0,0.495
23,TATASTEEL,2022-04-19,EQ,1339.1,1352.6,1366.65,1309.0,1315.0,1326.6,1350.88,6477219,874993097945000.1,154119,2125079,32.81,-,0,0.495
