SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency
VEDL,2022-04-26,EQ,402.1,405.9,412.55,402.1,411.6,411.6,408.12,5690783,232253701690000.0,58425,1486267,26.119999999999997,"Vol Up, Delivery Down",1
VEDL,2022-04-27,EQ,411.6,411.8,418.0,405.45,412.15,412.65,410.53,7572088,310853446790000.0,53791,1139739,15.050000000000002,"Vol Up, Delivery Down",1
TATACONSUM,2022-04-26,EQ,792.75,798.25,824.35,795.0,821.0,822.05,816.49,1285209,104935762510000.0,35081,539813,42.0,"Vol Down, Delivery Up",1
TATACONSUM,2022-04-27,EQ,822.05,814.9,817.85,796.3,798.95,798.6,804.72,1186809,95505102175000.0,42567,558195,47.03,"Vol Down, Delivery Up",1
SBICARD,2022-04-26,EQ,804.6,812.55,822.6,807.65,819.0,818.65,814.0,1686947,137316990650000.0,40540,1262631,74.85,"Vol Up, Delivery Down",1
SBICARD,2022-04-27,EQ,818.65,812.2,831.5,809.55,827.8,827.05,824.87,2236402,184473604205000.0,51967,1151291,51.47999999999999,"Vol Up, Delivery Down",1
PNB,2022-04-26,EQ,34.9,35.35,35.7,35.2,35.6,35.6,35.44,22211380,78727320755000.0,32248,5888955,26.51,"Vol Up, Delivery Down",1
PNB,2022-04-27,EQ,35.6,35.25,35.6,35.05,35.35,35.4,35.33,23588728,83343504390000.0,32598,4049054,17.17,"Vol Up, Delivery Down",1
PIIND,2022-04-26,EQ,2855.85,2887.55,2905.65,2865.1,2888.5,2889.0,2883.65,95915,27658512089999.996,14141,38673,40.32,"Vol Down, Delivery Up",1
PIIND,2022-04-27,EQ,2889.0,2870.0,2870.0,2825.0,2845.0,2845.6,2847.4,92996,26479709310000.0,12392,42387,45.58,"Vol Down, Delivery Up",1
PIDILITIND,2022-04-26,EQ,2408.35,2414.95,2440.1,2399.55,2435.0,2436.8,2426.72,223865,54325700040000.0,16918,113456,50.68,"Vol Up, Delivery Down",1
PIDILITIND,2022-04-27,EQ,2436.8,2433.0,2433.0,2391.55,2409.95,2411.3,2411.1,224368,54097399679999.99,19351,109479,48.79,"Vol Up, Delivery Down",1
NESTLEIND,2022-04-26,EQ,18174.7,18300.0,18544.2,18200.0,18420.0,18415.75,18368.74,70593,129670431225000.0,22117,35798,50.71,"Vol Down, Delivery Up",1
