SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency
WIPRO,2022-02-17,EQ,563.9,572.0,572.4,561.15,563.95,564.9,566.54,7114420,403061386275000.0,127323,2213735,31.120000000000005,"Vol Down, Delivery Up",1
WIPRO,2022-02-18,EQ,564.9,559.0,565.7,555.35,562.5,562.45,560.97,6705919,376184688005000.0,112569,2300868,34.31,"Vol Down, Delivery Up",1
ULTRACEMCO,2022-02-17,EQ,7178.9,7145.0,7225.0,7030.0,7039.9,7045.95,7095.01,499955,354718757555000.0,58621,298963,59.8,"Vol Up, Delivery Down",1
ULTRACEMCO,2022-02-18,EQ,7045.95,7049.0,7064.85,6900.0,6903.0,6916.6,6958.21,510600,355286421540000.0,80714,282466,55.32,"Vol Up, Delivery Down",1
TITAN,2022-02-17,EQ,2488.05,2509.5,2537.5,2487.0,2490.95,2493.2,2504.29,960885,240633812144999.97,56173,254290,26.46,"Vol Down, Delivery Up",1
TITAN,2022-02-18,EQ,2493.2,2479.3,2499.5,2460.8,2491.0,2488.95,2486.69,654373,162722102805000.0,43119,287801,43.98,"Vol Down, Delivery Up",1
SBILIFE,2022-02-17,EQ,1122.15,1128.0,1132.85,1111.9,1121.1,1126.35,1122.52,1182862,132779074834999.98,61244,631932,53.42,"Vol Up, Delivery Down",1
SBILIFE,2022-02-18,EQ,1126.35,1124.8,1160.9,1111.35,1147.05,1150.5,1150.14,1734791,199525303155000.0,62766,531665,30.65,"Vol Up, Delivery Down",1
NESTLEIND,2022-02-17,EQ,18223.8,18400.0,18400.0,17960.15,18099.0,18126.0,18208.14,113840,207281456340000.0,28118,36198,31.8,"Vol Down, Delivery Up",1
NESTLEIND,2022-02-18,EQ,18126.0,17988.0,18232.4,17811.1,17972.0,18009.3,18038.88,96328,173764919180000.0,21607,43800,45.47,"Vol Down, Delivery Up",1
INDUSINDBK,2022-02-17,EQ,968.4,980.0,980.0,951.1,955.3,955.8,961.81,3152042,303165958605000.0,58783,435848,13.83,"Vol Down, Delivery Up",1
INDUSINDBK,2022-02-18,EQ,955.8,950.0,966.0,948.6,959.0,955.35,958.24,2417043,231609527705000.03,54890,496106,20.53,"Vol Down, Delivery Up",1
DIVISLAB,2022-02-17,EQ,4465.15,4465.65,4520.15,4425.0,4433.0,4442.2,4474.69,601590,269192882150000.0,45203,223015,37.07,"Vol Down, Delivery Up",1
DIVISLAB,2022-02-18,EQ,4442.2,4432.7,4442.2,4325.0,4350.0,4353.4,4364.15,580486,253332535444999.97,41156,262378,45.2,"Vol Down, Delivery Up",1
BAJAJFINSV,2022-02-17,EQ,16272.45,16366.0,16418.3,16081.0,16178.7,16181.2,16245.55,214433,348358229265000.0,41817,19749,9.21,"Vol Down, Delivery Up",1
BAJAJFINSV,2022-02-18,EQ,16181.2,16061.0,16289.0,16025.85,16082.0,16096.55,16165.47,174327,281807793645000.0,35662,21875,12.55,"Vol Down, Delivery Up",1
AXISBANK,2022-02-17,EQ,797.05,797.0,802.0,780.5,781.4,782.8,786.53,6516308,512524092639999.94,97099,2376736,36.47,"Vol Down, Delivery Up",1
AXISBANK,2022-02-18,EQ,782.8,781.15,790.55,779.0,787.1,787.4,785.96,5466662,429655492035000.06,110728,2472208,45.22,"Vol Down, Delivery Up",1
UPL,2022-02-17,EQ,735.8,737.0,742.7,725.75,726.5,727.05,731.66,1174134,85906445810000.0,31361,523266,44.57,-,0
UPL,2022-02-18,EQ,727.05,728.0,736.2,719.0,725.0,724.95,727.82,1973922,143665030245000.0,42634,606187,30.710000000000004,-,0
TECHM,2022-02-17,EQ,1444.0,1461.45,1461.45,1440.25,1444.1,1447.55,1450.86,1669669,242245836725000.0,72570,743547,44.53,-,0
TECHM,2022-02-18,EQ,1447.55,1438.45,1445.0,1417.1,1434.55,1437.95,1437.38,2374188,341260643235000.0,138709,1466845,61.78,-,0
TCS,2022-02-17,EQ,3813.1,3825.0,3835.0,3779.0,3783.85,3784.2,3796.61,3134372,1190000292470000.0,259784,2140343,68.29,-,0
TCS,2022-02-18,EQ,3784.2,3769.0,3815.95,3757.6,3800.0,3793.9,3788.53,3688883,1397545180720000.0,286278,2727483,73.94,-,0
TATASTEEL,2022-02-17,EQ,1191.8,1201.1,1209.5,1186.15,1190.0,1190.95,1197.29,5655792,677164372060000.0,117118,1080967,19.11,-,0
TATASTEEL,2022-02-18,EQ,1190.95,1187.0,1205.0,1183.0,1191.0,1190.8,1196.74,4725120,565474688390000.0,119821,834039,17.65,-,0
TATAMOTORS,2022-02-17,EQ,498.45,505.9,511.5,498.3,498.7,499.95,505.01,27943077,1411149832935000.0,262768,7359907,26.340000000000003,-,0
TATAMOTORS,2022-02-18,EQ,499.95,498.0,502.65,491.5,493.45,493.15,497.39,15476803,769802096580000.0,150287,4182412,27.02,-,0
TATACONSUM,2022-02-17,EQ,701.0,701.5,726.15,701.5,720.0,720.35,717.2,3442092,246868469455000.03,67010,921862,26.780000000000005,-,0
TATACONSUM,2022-02-18,EQ,720.35,715.6,724.6,712.2,717.45,717.5,717.45,1686289,120982097100000.0,42193,812012,48.15,-,0
SUNPHARMA,2022-02-17,EQ,868.85,872.35,872.35,861.3,862.3,862.55,865.7,2275289,196971499690000.0,55845,1158358,50.91,-,0
SUNPHARMA,2022-02-18,EQ,862.55,862.55,867.9,856.4,864.6,862.9,863.88,1797851,155312075165000.0,51122,891234,49.57,-,0
SHREECEM,2022-02-17,EQ,24916.35,25189.75,25189.75,24579.25,24660.0,24723.85,24849.44,30441,75644179860000.0,9894,9751,32.03,-,0
SHREECEM,2022-02-18,EQ,24723.85,24590.0,24740.0,24110.1,24417.0,24349.55,24366.6,36614,89215884760000.0,12519,11134,30.409999999999997,-,0
SBIN,2022-02-17,EQ,516.7,520.0,520.0,511.15,511.6,512.95,515.23,16408356,845405642180000.0,183638,3775450,23.01,-,0
SBIN,2022-02-18,EQ,512.95,510.1,520.9,510.1,515.0,515.3,515.84,15111223,779499104645000.0,167187,3302927,21.86,-,0
RELIANCE,2022-02-17,EQ,2412.95,2420.1,2454.9,2410.0,2441.0,2443.5,2439.61,5931774,1447121258925000.0,211881,2872619,48.43,-,0
RELIANCE,2022-02-18,EQ,2443.5,2444.4,2456.4,2420.15,2427.3,2424.4,2440.25,3126873,763036739975000.0,158691,1216161,38.89,-,0
POWERGRID,2022-02-17,EQ,196.3,198.25,198.85,196.0,197.0,197.0,197.42,12304164,242910972590000.0,55325,6466314,52.55,-,0
POWERGRID,2022-02-18,EQ,197.0,196.8,200.15,195.25,195.9,195.7,197.67,10950483,216459967469999.97,73920,5776664,52.75,-,0
ONGC,2022-02-17,EQ,168.55,168.55,172.4,168.5,171.35,171.75,170.89,24640791,421087574420000.0,118109,9799994,39.77,-,0
ONGC,2022-02-18,EQ,171.75,171.2,171.75,166.7,168.0,167.9,168.77,11829998,199655534020000.0,72596,3639289,30.760000000000005,-,0
NTPC,2022-02-17,EQ,133.2,134.5,134.9,132.45,132.7,132.75,133.2,5811964,77415143695000.0,35187,2070092,35.62,-,0
NTPC,2022-02-18,EQ,132.75,132.75,134.1,131.9,132.4,132.35,132.76,6760078,89749047940000.0,48357,2816908,41.67,-,0
MARUTI,2022-02-17,EQ,8582.95,8575.0,8658.3,8525.0,8541.0,8552.45,8574.04,305313,261776468269999.97,33791,53201,17.43,-,0
MARUTI,2022-02-18,EQ,8552.45,8550.0,8645.95,8520.05,8544.05,8569.1,8592.96,385273,331063388320000.0,52373,138062,35.83,-,0
M&M,2022-02-17,EQ,864.25,872.0,877.3,859.0,860.0,862.25,867.68,2041741,177157939615000.0,46429,803144,39.34,-,0
M&M,2022-02-18,EQ,862.25,857.2,869.75,847.15,850.0,852.0,858.64,1616856,138830154995000.0,41067,645913,39.95,-,0
LT,2022-02-17,EQ,1860.7,1869.0,1884.9,1854.1,1863.1,1868.7,1870.26,1459905,273040106119999.97,72851,606590,41.55,-,0
LT,2022-02-18,EQ,1868.7,1870.0,1896.0,1865.15,1881.9,1883.1,1886.34,1912482,360759209440000.0,100742,782603,40.92,-,0
