,SYMBOL,13-MAY-2022,16-MAY-2022,17-MAY-2022,18-MAY-2022,19-MAY-2022,20-MAY-2022,23-MAY-2022,24-MAY-2022,25-MAY-2022,26-MAY-2022,30-MAY-2022,31-MAY-2022,01-JUN-2022,V AVERAGE
96,ADANIGREEN,0.6381,0.64,0.6381,0.64,0.64,0.6381,0.6381,0.64,0.6381,0.6381,0.6343,0.6572,0.6553,0.641
3,ADANITRANS,0.619,0.6171,0.619,0.6171,0.6152,0.6152,0.6171,0.6152,0.6171,0.6171,0.6152,0.6171,0.619,0.617
72,ZOMATO,0.598,0.5961,0.5942,0.5961,0.5999,0.6018,0.6018,0.6247,0.6247,0.6247,0.6496,0.6515,0.6496,0.616
94,SAIL,0.5731,0.5731,0.5751,0.5731,0.577,0.577,0.5961,0.5942,0.5961,0.5961,0.5942,0.5923,0.5923,0.585
6,TATAMOTORS,0.5789,0.5789,0.5789,0.5789,0.5808,0.5827,0.5808,0.5789,0.5789,0.577,0.577,0.5751,0.5731,0.578
88,VEDL,0.5617,0.5617,0.5808,0.5789,0.5808,0.5827,0.5827,0.5808,0.5789,0.5789,0.577,0.577,0.5751,0.577
99,CHOLAFIN,0.5789,0.577,0.5789,0.577,0.577,0.577,0.5751,0.5731,0.5731,0.5712,0.5712,0.5712,0.5693,0.575
95,PAYTM,0.5426,0.5521,0.5521,0.5502,0.554,0.556,0.5636,0.5655,0.5751,0.5731,0.5751,0.5731,0.5712,0.562
55,INDUSINDBK,0.5636,0.5636,0.5617,0.5617,0.5617,0.5636,0.5617,0.5598,0.5579,0.5579,0.556,0.556,0.554,0.56
76,BANDHANBNK,0.5521,0.5579,0.5579,0.5579,0.5598,0.5598,0.5579,0.556,0.556,0.556,0.554,0.5521,0.5521,0.556
35,INDUSTOWER,0.5521,0.554,0.554,0.554,0.554,0.556,0.554,0.554,0.5521,0.5502,0.5483,0.5464,0.5464,0.552
70,DLF,0.5464,0.5464,0.5464,0.5464,0.5445,0.5445,0.5445,0.5426,0.5445,0.5445,0.5483,0.5483,0.5483,0.546
41,ADANIENT,0.5407,0.5407,0.5407,0.5388,0.5407,0.5426,0.5426,0.5407,0.5426,0.5407,0.5407,0.5407,0.5388,0.541
75,PEL,0.5254,0.5254,0.5311,0.5292,0.5311,0.5311,0.5292,0.5311,0.5292,0.5292,0.5617,0.5674,0.5674,0.538
77,BANKBARODA,0.533,0.5368,0.5349,0.5349,0.5368,0.5368,0.5368,0.5349,0.5349,0.5368,0.5349,0.5349,0.533,0.535
