,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
2,PEL,2022-06-15,EQ,1598.6,1605.2,1671.45,1601.1,1657.0,1661.8,1648.91,1075970,177417944000000.0,43815,207043,19.24,"Vol Up, Delivery Down",1,0.563
3,PEL,2022-06-16,EQ,1661.8,1690.0,1708.9,1636.35,1644.0,1649.45,1676.93,1164702,195311958900000.0,51368,127179,10.92,"Vol Up, Delivery Down",1,0.563
4,NYKAA,2022-06-15,EQ,1455.85,1456.0,1475.0,1450.0,1455.0,1462.3,1462.98,284664,41645892760000.0,13621,91468,32.13,"Vol Up, Delivery Down",1,0.487
5,NYKAA,2022-06-16,EQ,1462.3,1479.5,1488.0,1407.5,1429.0,1427.75,1441.03,290927,41923438990000.0,23435,64103,22.03,"Vol Up, Delivery Down",1,0.487
16,BIOCON,2022-06-15,EQ,326.45,331.8,331.8,323.3,325.0,325.5,326.05,1762878,57478786635000.0,20581,281498,15.97,"Vol Down, Delivery Up",1,0.45
17,BIOCON,2022-06-16,EQ,325.5,327.85,329.4,318.35,320.5,321.75,324.36,1456444,47241522105000.0,14070,466891,32.06,"Vol Down, Delivery Up",1,0.45
0,SBIN,2022-06-15,EQ,448.1,448.95,455.45,448.6,450.25,451.35,452.6,9920926,449023193455000.0,119413,3821460,38.52,"Vol Up, Delivery Down",1,0.396
1,SBIN,2022-06-16,EQ,451.35,455.15,457.75,440.15,441.15,441.6,448.44,10780703,483444559535000.06,139788,3802794,35.27,"Vol Up, Delivery Down",1,0.396
12,GRASIM,2022-06-15,EQ,1309.35,1319.35,1341.0,1307.95,1332.0,1331.7,1330.54,1057944,140763569750000.0,43338,317070,29.97,"Vol Down, Delivery Up",1,0.395
13,GRASIM,2022-06-16,EQ,1331.7,1345.0,1347.9,1278.05,1283.35,1285.05,1306.12,950822,124188633665000.02,34007,362514,38.13,"Vol Down, Delivery Up",1,0.395
8,M&M,2022-06-15,EQ,1019.25,1024.65,1039.3,1020.0,1022.05,1025.5,1030.81,3333753,343646576330000.0,98772,1266776,38.0,"Vol Down, Delivery Up",1,0.392
9,M&M,2022-06-16,EQ,1025.5,1037.7,1037.7,997.0,1005.95,1005.25,1014.05,3255301,330102728180000.0,81494,1983894,60.94,"Vol Down, Delivery Up",1,0.392
18,ACC,2022-06-15,EQ,2116.1,2120.0,2131.0,2112.1,2120.0,2122.65,2121.71,205602,43622755410000.0,12777,103435,50.31,"Vol Up, Delivery Down",1,0.351
19,ACC,2022-06-16,EQ,2122.65,2135.4,2139.9,2079.65,2082.8,2084.25,2101.24,253721,53312991090000.0,12168,92066,36.29,"Vol Up, Delivery Down",1,0.351
10,HDFCBANK,2022-06-15,EQ,1312.0,1301.65,1315.8,1298.4,1308.45,1307.45,1307.49,5905235,772104405045000.0,239871,3262631,55.25,"Vol Up, Delivery Down",1,0.341
11,HDFCBANK,2022-06-16,EQ,1307.45,1310.0,1320.55,1278.0,1279.45,1281.3,1297.76,6084596,789631498840000.0,269747,3065105,50.370000000000005,"Vol Up, Delivery Down",1,0.341
14,DRREDDY,2022-06-15,EQ,4311.05,4306.7,4349.1,4287.05,4326.0,4335.5,4327.99,317063,137224699470000.0,30532,199054,62.78,"Vol Up, Delivery Down",1,0.327
15,DRREDDY,2022-06-16,EQ,4335.5,4350.0,4359.3,4275.65,4293.8,4287.5,4312.84,350007,150952471345000.0,28530,162597,46.46,"Vol Up, Delivery Down",1,0.327
6,MARICO,2022-06-15,EQ,499.8,500.8,500.8,491.0,491.6,493.8,494.94,1234778,61114397070000.01,31019,788476,63.86000000000001,"Vol Up, Delivery Down",1,0.307
7,MARICO,2022-06-16,EQ,493.8,494.5,494.55,478.5,485.35,484.8,485.49,1289736,62615626354999.99,42792,690994,53.57999999999999,"Vol Up, Delivery Down",1,0.307
194,ADANIGREEN,2022-06-15,EQ,1788.75,1819.8,1822.0,1751.0,1756.0,1757.85,1786.85,1493285,266827285220000.0,75677,625100,41.86,-,0,0.653
195,ADANIGREEN,2022-06-16,EQ,1757.85,1787.0,1805.0,1680.05,1714.0,1711.1,1736.16,2137604,371122858935000.0,96577,776732,36.34,-,0,0.653
22,ZOMATO,2022-06-15,EQ,70.0,70.65,71.9,68.95,69.3,70.2,70.32,33246369,233800291405000.03,86358,3474538,10.45,-,0,0.65
23,ZOMATO,2022-06-16,EQ,70.2,72.0,72.0,66.1,66.3,67.2,68.78,41879881,288046870705000.0,98446,4358384,10.41,-,0,0.65
190,ADANITRANS,2022-06-15,EQ,2057.5,2086.0,2120.0,2038.3,2054.0,2057.3,2081.29,396775,82580284540000.0,14964,285026,71.84,-,0,0.616
191,ADANITRANS,2022-06-16,EQ,2057.3,2104.0,2150.0,2059.05,2123.0,2124.65,2101.96,596230,125325188570000.0,25992,315372,52.89,-,0,0.616
58,SAIL,2022-06-15,EQ,71.25,71.95,72.25,70.5,70.6,70.75,71.19,23770095,169208689290000.0,54016,4940197,20.78,-,0,0.585
59,SAIL,2022-06-16,EQ,70.75,72.0,72.0,66.5,66.85,67.25,68.99,39971288,275775827830000.03,103503,8824842,22.08,-,0,0.585
26,VEDL,2022-06-15,EQ,291.15,291.95,295.95,290.6,291.1,291.35,293.15,6160021,180584047575000.0,59925,2898737,47.06,-,0,0.572
27,VEDL,2022-06-16,EQ,291.35,295.8,296.45,265.85,267.7,267.45,276.83,14390002,398356036420000.0,141676,4397812,30.56,-,0,0.572
42,TATAMOTORS,2022-06-15,EQ,405.15,410.0,416.4,407.45,412.95,414.1,413.22,15192826,627793042015000.0,147244,2847154,18.74,-,0,0.569
43,TATAMOTORS,2022-06-16,EQ,414.1,420.0,420.9,390.1,393.0,392.95,403.07,22261032,897282403440000.0,271515,5981830,26.87,-,0,0.569
72,PAYTM,2022-06-15,EQ,606.5,614.8,625.0,611.9,614.2,617.1,618.96,3006923,186115431650000.0,67369,535879,17.82,-,0,0.569
73,PAYTM,2022-06-16,EQ,617.1,626.0,645.0,607.2,610.9,613.95,629.24,6798025,427761788895000.0,129716,1068732,15.72,-,0,0.569
158,CHOLAFIN,2022-06-15,EQ,618.85,619.9,636.0,617.3,631.15,633.15,629.87,1782217,112256558634999.98,48745,585161,32.83,-,0,0.567
159,CHOLAFIN,2022-06-16,EQ,633.15,639.0,657.0,619.45,628.9,626.1,638.63,2835716,181097300215000.0,61187,636193,22.44,-,0,0.567
112,INDUSINDBK,2022-06-15,EQ,844.2,852.0,857.0,828.0,842.0,843.3,841.12,3911673,329016751855000.0,80238,1551575,39.67,-,0,0.549
113,INDUSINDBK,2022-06-16,EQ,843.3,854.0,859.4,805.15,807.45,809.6,828.78,3141825,260386861595000.0,88236,931478,29.65,-,0,0.549
172,BANDHANBNK,2022-06-15,EQ,314.35,315.0,318.35,313.0,314.15,314.0,315.4,2154125,67942015110000.0,32550,479830,22.27,-,0,0.549
173,BANDHANBNK,2022-06-16,EQ,314.0,318.7,324.4,307.1,309.35,310.15,315.84,4452735,140635365809999.98,46059,642586,14.43,-,0,0.549
146,DLF,2022-06-15,EQ,313.85,315.8,319.6,312.7,316.5,317.15,316.6,4024438,127413383734999.98,48189,938800,23.33,-,0,0.545
147,DLF,2022-06-16,EQ,317.15,321.2,322.65,302.65,303.0,304.05,310.32,6574807,204031572090000.0,66026,1963487,29.86,-,0,0.545
110,INDUSTOWER,2022-06-15,EQ,201.4,203.4,207.15,197.7,205.8,206.15,204.31,4482071,91574834450000.0,25335,2621903,58.5,-,0,0.539
111,INDUSTOWER,2022-06-16,EQ,206.15,207.95,207.95,204.05,206.95,206.5,206.15,5132759,105811403240000.0,27008,3357968,65.42,-,0,0.539
196,ADANIENT,2022-06-15,EQ,2196.45,2218.4,2219.7,2174.2,2176.5,2184.6,2193.26,1313510,288087463315000.0,46859,192599,14.66,-,0,0.538
197,ADANIENT,2022-06-16,EQ,2184.6,2205.0,2217.3,2076.05,2084.95,2083.0,2135.55,2131789,455254834955000.0,61940,356132,16.71,-,0,0.538
40,TATASTEEL,2022-06-15,EQ,996.15,953.95,974.25,950.65,960.5,959.55,961.7,9244333,889028954960000.0,224117,2543989,27.52,-,0,0.533
41,TATASTEEL,2022-06-16,EQ,959.55,975.0,975.0,898.2,898.65,901.7,931.04,12274105,1142772360330000.0,337857,3607296,29.39,-,0,0.533
170,BANKBARODA,2022-06-15,EQ,100.55,101.0,102.1,99.4,100.2,100.1,100.64,15884977,159866032230000.0,43653,4818426,30.33,-,0,0.529
171,BANKBARODA,2022-06-16,EQ,100.1,101.6,102.15,97.05,97.85,97.5,99.59,24322328,242214845550000.0,74335,6276874,25.81,-,0,0.529
124,HINDALCO,2022-06-15,EQ,358.3,360.0,362.9,356.05,358.1,357.5,359.25,8393144,301522392415000.0,115721,3083511,36.74,-,0,0.525
