,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
2,TATAMOTORS,2022-03-29,EQ,432.7,436.0,439.35,431.4,433.7,433.7,435.02,18710736,813961404415000.0,166038,5574807,29.79,"Vol Down, Delivery Up",1,0.6
3,TATAMOTORS,2022-03-30,EQ,433.7,438.45,442.5,434.25,434.8,435.65,439.04,18149488,796835474220000.0,181329,6705980,36.95,"Vol Down, Delivery Up",1,0.6
6,COALINDIA,2022-03-29,EQ,191.25,192.0,192.2,185.5,186.15,186.0,186.9,10622472,198536116835000.0,79843,2930542,27.59,"Vol Down, Delivery Up",1,0.393
7,COALINDIA,2022-03-30,EQ,186.0,187.95,187.95,182.0,182.35,182.9,184.8,10298319,190317204355000.0,77511,3785992,36.76,"Vol Down, Delivery Up",1,0.393
0,TITAN,2022-03-29,EQ,2535.9,2550.0,2559.0,2525.3,2541.0,2538.8,2541.94,908172,230851934300000.0,53687,337657,37.18,"Vol Down, Delivery Up",1,0.378
1,TITAN,2022-03-30,EQ,2538.8,2556.3,2565.75,2510.0,2520.8,2523.15,2536.83,866666,219858083830000.03,65448,360487,41.59,"Vol Down, Delivery Up",1,0.378
4,HDFC,2022-03-29,EQ,2268.25,2285.9,2344.9,2284.0,2343.0,2337.35,2318.03,3202852,742430245960000.0,135992,1876334,58.58,"Vol Down, Delivery Up",1,0.363
5,HDFC,2022-03-30,EQ,2337.35,2369.4,2388.0,2347.65,2385.0,2385.45,2375.78,3176850,754751060510000.0,123275,2079829,65.47,"Vol Down, Delivery Up",1,0.363
8,CIPLA,2022-03-29,EQ,1017.1,1020.2,1041.0,1020.2,1039.9,1038.85,1033.24,3194089,330024864550000.0,81352,1509659,47.26,"Vol Down, Delivery Up",1,0.336
9,CIPLA,2022-03-30,EQ,1038.85,1043.0,1054.8,1025.2,1028.0,1028.95,1037.63,3083750,319980489750000.0,90269,1564560,50.74000000000001,"Vol Down, Delivery Up",1,0.336
12,ASIANPAINT,2022-03-29,EQ,3027.45,3069.0,3087.7,3012.7,3040.0,3042.6,3052.13,1120936,342124176965000.0,82039,368796,32.9,"Vol Down, Delivery Up",1,0.332
13,ASIANPAINT,2022-03-30,EQ,3042.6,3078.0,3094.35,3055.9,3084.35,3081.55,3077.9,849545,261481491025000.0,59816,449124,52.87,"Vol Down, Delivery Up",1,0.332
10,BAJAJ-AUTO,2022-03-29,EQ,3687.75,3697.8,3735.0,3660.85,3690.0,3689.1,3696.41,376929,139328337390000.02,33789,138514,36.75,"Vol Down, Delivery Up",1,0.312
11,BAJAJ-AUTO,2022-03-30,EQ,3689.1,3729.65,3729.65,3665.25,3689.8,3674.1,3698.48,343930,127201888040000.02,31689,182663,53.11,"Vol Down, Delivery Up",1,0.312
62,INDUSINDBK,2022-03-29,EQ,935.15,939.95,944.5,921.4,930.35,929.15,929.93,3351562,311673129995000.0,62329,1240368,37.01,-,0,0.601
63,INDUSINDBK,2022-03-30,EQ,929.15,939.35,945.0,922.95,926.35,926.3,931.78,4849869,451901997120000.0,69348,2821276,58.17,-,0,0.601
68,HINDALCO,2022-03-29,EQ,630.2,630.0,636.0,624.5,629.25,631.3,629.23,5245788,330078868065000.0,82726,1507584,28.74,-,0,0.521
69,HINDALCO,2022-03-30,EQ,631.3,622.0,622.0,598.85,600.45,599.8,605.56,11195965,677982636930000.0,183145,5447510,48.66,-,0,0.521
24,TATASTEEL,2022-03-29,EQ,1338.95,1344.0,1346.15,1327.0,1332.0,1334.65,1335.58,4320237,577001865525000.0,94177,937510,21.7,-,0,0.492
25,TATASTEEL,2022-03-30,EQ,1334.65,1335.0,1335.55,1300.0,1306.2,1308.05,1308.4,5848316,765196350035000.0,170961,2151937,36.8,-,0,0.492
92,BAJFINANCE,2022-03-29,EQ,7001.4,7040.0,7060.0,6984.5,7050.0,7039.35,7023.87,715950,502874314230000.0,58294,257369,35.95,-,0,0.476
