,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
2,TATAMOTORS,2021-10-29,EQ,481.05,482.0,491.6,467.7,484.45,483.7,483.64,31054342,1501916585380000.0,338095,4831179,15.560000000000002,"Vol Up, Delivery Down",1,0.639
3,TATAMOTORS,2021-11-01,EQ,483.7,486.45,489.7,469.8,486.4,485.7,481.98,34315690,1653953264770000.0,394769,4506728,13.13,"Vol Up, Delivery Down",1,0.639
0,TATASTEEL,2021-10-29,EQ,1299.6,1290.25,1333.7,1290.0,1317.65,1315.95,1318.31,7914760,1043414152965000.0,203572,2660140,33.61,"Vol Up, Delivery Down",1,0.516
1,TATASTEEL,2021-11-01,EQ,1315.95,1340.0,1372.9,1330.0,1362.0,1364.9,1357.99,9687533,1315555155155000.0,219727,2574953,26.58,"Vol Up, Delivery Down",1,0.516
4,JSWSTEEL,2021-10-29,EQ,667.45,670.0,684.8,663.0,672.5,669.15,673.84,3612552,243428382150000.0,71599,860634,23.82,"Vol Down, Delivery Up",1,0.483
5,JSWSTEEL,2021-11-01,EQ,669.15,680.0,690.75,672.5,687.7,688.95,684.55,3234840,221439892270000.0,65591,975063,30.14,"Vol Down, Delivery Up",1,0.483
10,BPCL,2021-10-29,EQ,420.8,419.0,425.0,413.6,419.3,417.7,419.05,6037509,253002773185000.0,101024,2266616,37.54,"Vol Down, Delivery Up",1,0.403
11,BPCL,2021-11-01,EQ,417.7,428.0,428.0,419.9,422.7,421.65,422.32,5826200,246050139810000.0,99655,2829856,48.57,"Vol Down, Delivery Up",1,0.403
8,GRASIM,2021-10-29,EQ,1702.4,1705.0,1742.5,1675.45,1726.9,1721.1,1715.75,1152110,197673512585000.0,40955,456184,39.6,"Vol Up, Delivery Down",1,0.382
9,GRASIM,2021-11-01,EQ,1721.1,1722.0,1795.85,1719.2,1785.0,1789.0,1771.63,1410919,249961953310000.0,60779,421329,29.86,"Vol Up, Delivery Down",1,0.382
6,ITC,2021-10-29,EQ,225.1,225.0,228.25,222.3,223.45,223.2,225.09,26642108,599679962785000.0,209691,12629129,47.4,"Vol Down, Delivery Up",1,0.331
7,ITC,2021-11-01,EQ,223.2,224.15,227.55,222.5,226.8,226.85,224.82,23197539,521517112870000.0,136114,14254678,61.45,"Vol Down, Delivery Up",1,0.331
56,INDUSINDBK,2021-10-29,EQ,1176.0,1166.95,1182.0,1123.6,1142.3,1140.2,1150.7,5112475,588293829380000.0,124171,1001926,19.6,-,0,0.623
57,INDUSINDBK,2021-11-01,EQ,1140.2,1158.0,1235.0,1146.05,1226.0,1229.1,1207.96,10563295,1276008747775000.0,223872,2734502,25.89,-,0,0.623
62,HINDALCO,2021-10-29,EQ,468.8,469.45,474.2,456.65,463.9,459.8,466.71,8306338,387665694945000.0,83623,2527169,30.42,-,0,0.542
63,HINDALCO,2021-11-01,EQ,459.8,463.8,481.1,463.35,480.35,478.15,473.7,7466267,353673725945000.0,101772,1514981,20.29,-,0,0.542
