SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency
WIPRO,2021-11-01,EQ,646.75,651.1,656.95,647.5,654.3,655.45,652.23,4401233,287060284225000.0,96834,2022049,45.94,"Vol Down, Delivery Up",1
WIPRO,2021-11-02,EQ,655.45,657.0,661.0,651.1,655.9,653.8,654.53,4039689,264411424715000.0,84037,2104938,52.11,"Vol Down, Delivery Up",1
TECHM,2021-11-01,EQ,1477.85,1490.0,1529.9,1487.05,1523.9,1522.15,1507.27,2271900,342436934835000.0,90721,829750,36.52,"Vol Down, Delivery Up",1
TECHM,2021-11-02,EQ,1522.15,1522.25,1522.95,1488.05,1490.9,1490.6,1500.54,2041689,306362709160000.0,65999,862917,42.26,"Vol Down, Delivery Up",1
TATASTEEL,2021-11-01,EQ,1315.95,1340.0,1372.9,1330.0,1362.0,1364.9,1357.99,9687533,1315555155155000.0,219727,2574953,26.58,"Vol Down, Delivery Up",1
TATASTEEL,2021-11-02,EQ,1364.9,1370.0,1370.0,1310.8,1318.0,1313.65,1336.72,7216137,964596269875000.0,149207,2856866,39.59,"Vol Down, Delivery Up",1
NESTLEIND,2021-11-01,EQ,19000.15,19098.9,19098.9,18735.95,18917.0,18939.6,18912.43,42571,80512125440000.0,17673,15944,37.45,"Vol Down, Delivery Up",1
NESTLEIND,2021-11-02,EQ,18939.6,18901.0,19034.05,18639.55,18780.0,18773.95,18828.2,34949,65802659915000.0,13838,19047,54.50000000000001,"Vol Down, Delivery Up",1
MARUTI,2021-11-01,EQ,7482.4,7401.0,7666.0,7401.0,7602.65,7615.55,7580.31,1005690,762343801725000.0,74955,651868,64.82,"Vol Up, Delivery Down",1
MARUTI,2021-11-02,EQ,7615.55,7647.95,7910.0,7630.8,7790.0,7791.75,7828.89,1302733,1019895422229999.9,116675,461267,35.41,"Vol Up, Delivery Down",1
M&M,2021-11-01,EQ,884.25,884.25,887.9,860.4,871.55,870.35,872.85,4146270,361908867060000.0,122748,2172915,52.410000000000004,"Vol Down, Delivery Up",1
M&M,2021-11-02,EQ,870.35,875.0,879.3,859.0,863.0,861.5,867.26,3704926,321313400890000.0,77732,2554138,68.94,"Vol Down, Delivery Up",1
INFY,2021-11-01,EQ,1667.75,1677.5,1707.2,1676.0,1701.35,1700.05,1695.58,3636806,616648383570000.0,156714,2022059,55.60000000000001,"Vol Down, Delivery Up",1
INFY,2021-11-02,EQ,1700.05,1695.0,1706.45,1686.35,1699.0,1697.9,1696.02,3471772,588820329625000.0,132426,2454078,70.69,"Vol Down, Delivery Up",1
HINDALCO,2021-11-01,EQ,459.8,463.8,481.1,463.35,480.35,478.15,473.7,7466267,353673725945000.0,101772,1514981,20.29,"Vol Down, Delivery Up",1
HINDALCO,2021-11-02,EQ,478.15,480.0,481.0,467.15,468.9,468.4,473.04,5953912,281645215410000.0,84234,1974774,33.17,"Vol Down, Delivery Up",1
HDFC,2021-11-01,EQ,2844.7,2873.0,2947.9,2838.05,2890.0,2887.95,2880.47,4951039,1426132007060000.0,254154,2901531,58.60000000000001,"Vol Down, Delivery Up",1
HDFC,2021-11-02,EQ,2887.95,2887.9,2917.25,2865.65,2900.0,2900.05,2892.02,4355642,1259662467160000.0,127862,3146703,72.24,"Vol Down, Delivery Up",1
