SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency
LT,2021-10-20,EQ,1846.05,1855.0,1868.65,1796.3,1810.1,1806.7,1825.74,3295376,601650583990000.0,114101,1634943,49.61,"Vol Down, Delivery Up",1
LT,2021-10-21,EQ,1806.7,1815.0,1826.5,1791.05,1808.0,1805.75,1804.46,2774633,500672062030000.0,135343,1707435,61.540000000000006,"Vol Down, Delivery Up",1
COALINDIA,2021-10-20,EQ,184.5,182.7,183.4,177.4,180.75,180.5,180.01,15921230,286591720070000.0,101296,4126988,25.920000000000005,"Vol Down, Delivery Up",1
COALINDIA,2021-10-21,EQ,180.5,182.0,183.0,178.9,182.4,182.4,181.33,15586097,282624121780000.0,89032,5333611,34.22,"Vol Down, Delivery Up",1
BRITANNIA,2021-10-20,EQ,3795.9,3800.0,3917.35,3740.0,3767.4,3762.0,3821.51,523002,199865495205000.0,55307,135586,25.920000000000005,"Vol Down, Delivery Up",1
BRITANNIA,2021-10-21,EQ,3762.0,3798.5,3798.5,3680.0,3722.0,3714.35,3728.96,335589,125139820195000.0,32315,178751,53.26,"Vol Down, Delivery Up",1
ADANIPORTS,2021-10-20,EQ,792.25,792.0,802.9,777.5,797.0,794.9,791.94,5467049,432956394850000.0,88272,1124660,20.57,"Vol Down, Delivery Up",1
ADANIPORTS,2021-10-21,EQ,794.9,799.0,802.9,775.3,779.0,779.35,787.23,4607499,362714415425000.0,71875,1154562,25.06,"Vol Down, Delivery Up",1
WIPRO,2021-10-20,EQ,711.55,713.6,722.75,695.75,703.0,701.95,705.96,8054391,568603958590000.0,172231,3119495,38.73,-,0
WIPRO,2021-10-21,EQ,701.95,708.95,709.0,681.7,696.75,696.3,694.67,7958456,552849096075000.0,140510,2851949,35.84,-,0
UPL,2021-10-20,EQ,733.7,733.7,734.9,711.25,717.05,715.9,721.7,1568362,113189150830000.0,42043,446564,28.470000000000002,-,0
UPL,2021-10-21,EQ,715.9,723.05,723.4,706.3,722.0,717.45,714.45,1625612,116142592095000.0,47506,598766,36.83,-,0
ULTRACEMCO,2021-10-20,EQ,7170.1,7100.0,7309.8,7092.25,7138.7,7129.6,7189.42,703897,506060893745000.0,65567,364372,51.76,-,0
ULTRACEMCO,2021-10-21,EQ,7129.6,7200.85,7205.4,7085.0,7148.95,7129.0,7133.27,318247,227014090355000.03,38511,157104,49.37,-,0
TITAN,2021-10-20,EQ,2484.9,2487.1,2505.55,2403.0,2420.0,2411.4,2438.16,2868983,699503792975000.0,162805,1822838,63.54,-,0
TITAN,2021-10-21,EQ,2411.4,2433.9,2435.95,2380.05,2405.0,2395.7,2397.62,2303014,552174950780000.0,107540,1492669,64.81,-,0
TECHM,2021-10-20,EQ,1539.1,1544.0,1576.5,1515.8,1540.4,1539.3,1548.09,5159270,798701036695000.0,174477,1977502,38.33,-,0
