,SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency,V AVERAGE
2,HINDALCO,2021-10-25,EQ,470.45,473.55,478.0,459.35,473.0,473.25,471.68,9196105,433760402565000.0,109200,2534137,27.56,"Vol Down, Delivery Up",1,0.541
3,HINDALCO,2021-10-26,EQ,473.25,475.05,488.0,472.55,487.7,486.05,481.55,8120433,391041552160000.0,94965,2634358,32.44,"Vol Down, Delivery Up",1,0.541
0,ONGC,2021-10-25,EQ,157.05,159.0,162.95,158.9,161.3,161.4,160.83,34568006,555961220095000.0,215294,13984333,40.45,"Vol Down, Delivery Up",1,0.478
1,ONGC,2021-10-26,EQ,161.4,163.55,163.95,160.3,163.25,163.1,162.77,33022684,537524130560000.06,135630,18014875,54.55,"Vol Down, Delivery Up",1,0.478
10,COALINDIA,2021-10-25,EQ,175.9,176.25,177.25,173.0,173.25,174.1,174.85,11744666,205353966915000.0,77164,3702698,31.53,"Vol Down, Delivery Up",1,0.399
11,COALINDIA,2021-10-26,EQ,174.1,173.0,176.0,171.75,175.9,175.05,173.7,11602891,201545020585000.0,65925,5396185,46.51,"Vol Down, Delivery Up",1,0.399
14,BHARTIARTL,2021-10-25,EQ,694.5,693.0,704.0,675.0,690.8,691.1,692.84,9540441,661002347945000.0,140498,4460385,46.75,"Vol Up, Delivery Down",1,0.396
15,BHARTIARTL,2021-10-26,EQ,691.1,695.0,709.85,689.0,695.0,696.2,697.66,10953878,764203268355000.0,131088,4380098,39.99,"Vol Up, Delivery Down",1,0.396
4,HDFCLIFE,2021-10-25,EQ,690.75,690.75,693.55,676.5,684.25,683.25,683.54,2786630,190477704455000.0,97081,1520195,54.55,"Vol Down, Delivery Up",1,0.366
5,HDFCLIFE,2021-10-26,EQ,683.25,685.0,695.0,684.1,690.35,690.05,690.16,2616174,180557679745000.0,64885,1726271,65.98,"Vol Down, Delivery Up",1,0.366
16,ASIANPAINT,2021-10-25,EQ,2982.4,2950.0,2950.0,2857.25,2923.0,2918.05,2904.3,2161537,627774860080000.0,174323,961083,44.46,"Vol Down, Delivery Up",1,0.344
17,ASIANPAINT,2021-10-26,EQ,2918.05,2918.05,3024.0,2898.0,3006.0,2969.8,2930.77,1988263,582713860895000.0,162734,1305922,65.68,"Vol Down, Delivery Up",1,0.344
12,CIPLA,2021-10-25,EQ,896.35,895.9,913.0,890.0,902.45,901.85,904.11,1901039,171874530155000.0,61990,408040,21.46,"Vol Down, Delivery Up",1,0.339
13,CIPLA,2021-10-26,EQ,901.85,908.9,914.15,900.0,909.0,907.5,906.4,1405411,127385931980000.0,40614,543805,38.69,"Vol Down, Delivery Up",1,0.339
8,DRREDDY,2021-10-25,EQ,4637.45,4650.9,4699.0,4537.0,4670.0,4676.15,4633.23,276167,127954652490000.02,30491,119988,43.45,"Vol Down, Delivery Up",1,0.332
9,DRREDDY,2021-10-26,EQ,4676.15,4695.0,4698.8,4637.0,4661.5,4666.2,4667.07,272713,127277142234999.98,20754,167428,61.39,"Vol Down, Delivery Up",1,0.332
6,HDFCBANK,2021-10-25,EQ,1680.75,1690.0,1690.0,1613.8,1657.3,1657.0,1654.95,8213383,1359274767270000.0,230480,4006629,48.78,"Vol Down, Delivery Up",1,0.327
7,HDFCBANK,2021-10-26,EQ,1657.0,1650.0,1673.85,1646.35,1655.45,1652.75,1656.8,6045328,1001587351645000.0,167665,4294683,71.04,"Vol Down, Delivery Up",1,0.327
68,INDUSINDBK,2021-10-25,EQ,1196.4,1205.95,1211.0,1156.7,1176.5,1177.75,1178.04,3612312,425545648500000.0,134087,1399660,38.75,-,0,0.626
69,INDUSINDBK,2021-10-26,EQ,1177.75,1180.0,1193.0,1137.7,1155.6,1154.9,1159.26,3413917,395760700050000.0,121408,1192859,34.94,-,0,0.626
32,TATAMOTORS,2021-10-25,EQ,490.9,493.9,496.0,473.25,478.8,479.9,480.93,33107841,1592244534970000.0,378765,6772176,20.45,-,0,0.624
33,TATAMOTORS,2021-10-26,EQ,479.9,483.5,510.0,483.25,508.2,508.65,500.54,58027770,2904496610820000.0,574815,9434406,16.26,-,0,0.624
30,TATASTEEL,2021-10-25,EQ,1296.25,1302.0,1316.0,1267.25,1290.5,1293.3,1295.98,6418501,831825504590000.0,146749,1602769,24.97,-,0,0.518
31,TATASTEEL,2021-10-26,EQ,1293.3,1303.0,1351.0,1301.45,1347.0,1343.65,1327.59,7722875,1025284434805000.0,162605,2545299,32.96,-,0,0.518
90,BAJFINANCE,2021-10-25,EQ,7710.2,7750.0,7837.75,7350.5,7635.0,7646.65,7664.97,1169729,896593588495000.1,104466,403611,34.5,-,0,0.498
91,BAJFINANCE,2021-10-26,EQ,7646.65,7695.0,7894.95,7651.1,7880.0,7855.65,7791.46,1660575,1293830688245000.0,130085,718129,43.25,-,0,0.498
92,BAJAJFINSV,2021-10-25,EQ,18658.15,18700.0,18947.0,18000.0,18050.0,18087.15,18303.16,301804,552396780235000.06,60044,96669,32.03,-,0,0.486
93,BAJAJFINSV,2021-10-26,EQ,18087.15,18200.0,18450.0,17975.05,18400.0,18353.35,18221.02,296749,540706882705000.0,53475,85988,28.98,-,0,0.486
