SYMBOL,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency
UPL,EQ,742.35,738.0,738.0,701.0,702.9,705.6,717.49,3082145,221142164390000.0,83072,1265604,0.4106,1
UPL,EQ,705.6,705.6,727.9,700.0,721.95,721.85,717.84,4222370,303098950300000.0,72373,976392,0.23120000000000002,1
TORNTPHARM,EQ,3097.2,3097.2,3119.45,3037.55,3047.5,3057.85,3089.79,63781,19706968325000.0,6719,28714,0.45020000000000004,1
TORNTPHARM,EQ,3057.85,3047.5,3090.0,3019.25,3037.25,3043.6,3053.61,77270,23595263420000.0,8175,15204,0.1968,1
ONGC,EQ,127.75,125.05,129.4,125.05,127.7,128.5,128.21,29857432,382807544745000.0,106998,14128911,0.4732,1
ONGC,EQ,128.5,129.6,136.0,129.1,135.15,135.2,133.45,51537119,687744082900000.0,222218,13943655,0.2706,1
NTPC,EQ,123.75,122.5,123.95,121.8,121.9,122.7,123.04,7431359,91438932080000.0,47856,3453156,0.4647,1
NTPC,EQ,122.7,122.3,125.4,122.1,123.95,124.1,123.82,8629222,106844513830000.0,62492,3401018,0.39409999999999995,1
JSWSTEEL,EQ,682.3,669.9,669.9,628.1,629.85,633.2,649.61,10340874,671755594790000.0,152431,4387466,0.4243,1
JSWSTEEL,EQ,633.2,633.25,672.0,628.7,671.0,668.95,654.1,14289169,934651251729999.9,175629,3143129,0.22,1
HAVELLS,EQ,1407.2,1410.1,1427.75,1392.05,1414.45,1411.1,1410.59,1677219,236586381935000.0,45561,917544,0.5471,1
HAVELLS,EQ,1471.9,1460.0,1462.3,1400.0,1403.0,1407.2,1435.75,1682673,241589461490000.0,71507,747372,0.44420000000000004,1
DIVISLAB,EQ,5110.1,5119.5,5188.45,5080.0,5180.0,5179.45,5150.26,340766,175503343250000.0,37270,156925,0.46049999999999996,1
DIVISLAB,EQ,5122.8,5100.0,5235.6,5079.65,5102.05,5110.1,5177.64,451356,233696057319999.97,43900,140807,0.312,1
COALINDIA,EQ,156.7,155.9,157.55,152.8,153.35,154.2,155.16,12541523,194590007600000.0,68190,4664138,0.3719,1
COALINDIA,EQ,154.2,155.7,158.0,153.45,156.45,156.4,156.1,13645046,212999906040000.0,72221,3071680,0.22510000000000002,1
CIPLA,EQ,954.05,953.0,953.0,929.8,934.0,938.1,939.69,2308294,216909117480000.03,53917,1531033,0.6633,1
CIPLA,EQ,938.1,935.0,959.0,933.0,955.0,956.1,950.2,2438464,231702304405000.03,45331,1265090,0.5188,1
BAJAJHLDNG,EQ,4482.9,4546.85,4739.95,4411.85,4718.5,4681.85,4597.08,343062,157708199740000.0,41257,105463,0.3074,1
BAJAJHLDNG,EQ,4398.85,4450.0,4800.0,4405.0,4496.85,4482.9,4581.7,413440,189425734470000.0,70262,41026,0.0992,1
AXISBANK,EQ,807.35,800.0,808.55,791.5,792.95,795.85,799.65,6306484,504299912170000.0,155725,3356042,0.5322,1
AXISBANK,EQ,795.85,795.25,799.0,772.3,794.45,795.35,785.41,7833561,615254801725000.0,174973,3018650,0.38530000000000003,1
ADANIGREEN,EQ,1153.25,1145.95,1145.95,1112.05,1121.95,1131.15,1130.71,1781350,201418517310000.0,23304,1341529,0.7531,1
ADANIGREEN,EQ,1131.15,1115.0,1127.0,1097.25,1117.0,1120.7,1117.22,1798120,200889799710000.0,21168,1228772,0.6834,1
WIPRO,EQ,662.5,660.5,669.0,657.1,667.6,667.6,663.15,3683551,244273338140000.0,73613,1221378,0.33159999999999995,0
WIPRO,EQ,665.25,657.75,670.5,653.4,658.55,662.5,664.4,4546430,302064388410000.0,102563,1272354,0.2799,0
ULTRACEMCO,EQ,7711.85,7684.0,7730.15,7545.65,7567.95,7576.0,7659.92,291081,222965652350000.0,31514,158071,0.543,0
ULTRACEMCO,EQ,7576.0,7535.0,7688.0,7514.5,7612.0,7592.7,7601.51,214916,163368597390000.0,31522,95992,0.4466,0
UBL,EQ,1555.2,1560.65,1608.0,1535.2,1597.9,1601.3,1583.96,733260,116145416609999.98,40570,161168,0.2198,0
UBL,EQ,1594.65,1572.3,1619.45,1540.35,1544.7,1555.2,1580.71,359847,56881232310000.0,20043,66656,0.1852,0
TITAN,EQ,2077.35,2075.0,2097.5,2062.1,2089.0,2085.85,2081.01,539788,112330512465000.02,32786,279725,0.5182,0
TITAN,EQ,2095.6,2088.0,2096.0,2070.55,2076.9,2077.35,2081.85,411738,85717627135000.0,37253,165495,0.4019,0
TECHM,EQ,1431.3,1439.0,1466.45,1420.4,1459.95,1461.7,1444.18,1713705,247489896844999.97,55189,486727,0.284,0
TECHM,EQ,1451.55,1440.0,1493.15,1426.35,1433.0,1431.3,1460.28,2526342,368917145500000.0,106912,677465,0.2682,0
TCS,EQ,3827.85,3809.0,3871.0,3807.85,3820.05,3823.5,3837.22,2002008,768214733075000.0,120832,1112498,0.5557,0
TCS,EQ,3823.5,3858.0,3871.55,3821.65,3861.95,3862.95,3850.74,1568129,603845560545000.0,99059,851956,0.5433,0
