,SYMBOL,06-SEP-2021,07-SEP-2021,08-SEP-2021,09-SEP-2021,13-SEP-2021,14-SEP-2021,15-SEP-2021,16-SEP-2021,17-SEP-2021,20-SEP-2021,21-SEP-2021,22-SEP-2021,V AVERAGE
52,ADANITRANS,0.6687,0.6668,0.6649,0.6668,0.6668,0.6668,0.6649,0.6629,0.6649,0.6668,0.6687,0.6706,0.667
81,INDUSINDBK,0.6477,0.6457,0.6438,0.6419,0.64,0.6419,0.64,0.6457,0.6438,0.6438,0.6457,0.6438,0.644
16,BANDHANBNK,0.619,0.6171,0.6152,0.6152,0.6133,0.6114,0.6114,0.6094,0.6094,0.6094,0.6075,0.6056,0.612
37,MOTHERSUMI,0.5923,0.5923,0.5903,0.5884,0.5865,0.5884,0.5884,0.5865,0.5865,0.5865,0.5846,0.5846,0.588
1,TATAMOTORS,0.5903,0.5884,0.5884,0.5865,0.5846,0.5846,0.5827,0.5808,0.5808,0.5808,0.5789,0.5789,0.584
72,ADANIGREEN,0.5827,0.5808,0.5827,0.5846,0.5846,0.5846,0.5827,0.5846,0.5827,0.5808,0.5808,0.5789,0.583
6,PEL,0.577,0.5751,0.5751,0.5731,0.5712,0.5712,0.5693,0.5693,0.5674,0.5693,0.5712,0.5712,0.572
26,INDUSTOWER,0.554,0.5636,0.5636,0.5617,0.5617,0.5617,0.5598,0.5731,0.5731,0.5712,0.5712,0.5712,0.565
70,BANKBARODA,0.5636,0.5617,0.5617,0.5598,0.5579,0.5579,0.5579,0.5617,0.5636,0.5655,0.5636,0.5636,0.562
87,GICRE,0.5674,0.5655,0.5655,0.5636,0.5617,0.5617,0.5598,0.5598,0.5579,0.556,0.556,0.554,0.561
14,DLF,0.556,0.554,0.554,0.5521,0.5521,0.5502,0.5483,0.5483,0.5464,0.5483,0.5464,0.5655,0.552
13,HINDALCO,0.5483,0.5464,0.5464,0.5445,0.5445,0.5445,0.5426,0.5407,0.5407,0.5464,0.5445,0.5445,0.545
55,NMDC,0.5349,0.533,0.5311,0.5311,0.5292,0.5273,0.5273,0.5254,0.5273,0.5368,0.5349,0.5368,0.531
73,TATASTEEL,0.5235,0.5216,0.5197,0.5197,0.5177,0.5177,0.5158,0.5139,0.5158,0.5311,0.533,0.5311,0.522
46,BAJFINANCE,0.5235,0.5216,0.5197,0.5197,0.5177,0.5158,0.5158,0.5139,0.512,0.512,0.5139,0.5139,0.517
74,PNB,0.5158,0.5139,0.5139,0.512,0.5101,0.5101,0.5101,0.5177,0.5216,0.5235,0.5216,0.5216,0.516
4,NAUKRI,0.4986,0.4986,0.5101,0.5082,0.5063,0.5063,0.5044,0.5063,0.5063,0.5044,0.5044,0.5044,0.505
65,AXISBANK,0.5063,0.5063,0.5044,0.5044,0.5025,0.5006,0.5006,0.4986,0.4986,0.4967,0.4967,0.4948,0.501
98,BAJAJFINSV,0.5025,0.5006,0.5006,0.4986,0.4986,0.4967,0.4948,0.4948,0.4929,0.4929,0.4929,0.491,0.496
54,ADANIPORTS,0.4986,0.4967,0.4967,0.4948,0.4948,0.4929,0.4929,0.491,0.4891,0.4891,0.4891,0.4872,0.493
51,JSWSTEEL,0.491,0.4891,0.4891,0.4872,0.4872,0.4853,0.4834,0.4834,0.4814,0.491,0.4967,0.4948,0.488
9,UPL,0.4929,0.491,0.491,0.4891,0.4891,0.4872,0.4853,0.4853,0.4853,0.4872,0.4872,0.4872,0.488
83,AUROPHARMA,0.4891,0.4891,0.4872,0.4853,0.4853,0.4834,0.4834,0.4814,0.4814,0.4834,0.4834,0.4834,0.485
100,ICICIPRULI,0.4757,0.4738,0.4738,0.4738,0.4738,0.4719,0.4719,0.47,0.47,0.47,0.47,0.47,0.472
21,BIOCON,0.4738,0.4738,0.4719,0.47,0.47,0.4681,0.4681,0.4719,0.47,0.4738,0.4719,0.4719,0.471
78,CONCOR,0.4719,0.47,0.47,0.4681,0.4681,0.4662,0.4662,0.4662,0.4643,0.4643,0.4623,0.4623,0.467
66,MUTHOOTFIN,0.4719,0.47,0.47,0.4681,0.4681,0.4662,0.4643,0.4643,0.4643,0.4643,0.4623,0.4662,0.467
35,ONGC,0.4662,0.4643,0.4643,0.4643,0.4623,0.4623,0.4643,0.4623,0.4604,0.4604,0.4643,0.4643,0.463
42,ICICIBANK,0.4585,0.4585,0.4566,0.4566,0.4547,0.4547,0.4528,0.4528,0.4509,0.4509,0.449,0.449,0.454
7,SBIN,0.4547,0.4528,0.4528,0.4509,0.449,0.449,0.449,0.4509,0.4509,0.4528,0.4528,0.4509,0.451
89,INDIGO,0.4451,0.4451,0.4432,0.4432,0.4432,0.4432,0.4413,0.4413,0.4623,0.4604,0.4623,0.4604,0.449
48,HINDPETRO,0.4451,0.4432,0.4432,0.4413,0.4413,0.4394,0.4394,0.4394,0.4375,0.4394,0.4394,0.4375,0.441
39,PFC,0.4413,0.4394,0.4413,0.4413,0.4413,0.4394,0.4394,0.4375,0.4375,0.4394,0.4375,0.4375,0.439
71,HINDZINC,0.4432,0.4413,0.4394,0.4394,0.4394,0.4375,0.4375,0.4356,0.4337,0.4356,0.4356,0.4337,0.438
33,LTI,0.4394,0.4394,0.4375,0.4375,0.4356,0.4356,0.4356,0.4337,0.4337,0.4337,0.4356,0.4356,0.436
38,GAIL,0.4356,0.4356,0.4337,0.4337,0.4318,0.4394,0.4394,0.4375,0.4375,0.4375,0.4375,0.4356,0.436
28,M&M,0.4241,0.4241,0.4222,0.4222,0.4203,0.4203,0.4184,0.4184,0.4165,0.4165,0.4165,0.4146,0.42
19,BPCL,0.4203,0.4203,0.4203,0.4184,0.4184,0.4165,0.4165,0.4165,0.4146,0.4165,0.4165,0.4165,0.418
12,HAVELLS,0.4165,0.4165,0.4146,0.4146,0.4146,0.4127,0.4127,0.4108,0.4108,0.4146,0.4127,0.4127,0.414
22,BHARTIARTL,0.4069,0.4069,0.405,0.4069,0.405,0.405,0.4088,0.4069,0.4069,0.405,0.405,0.4031,0.406
18,LUPIN,0.4088,0.4088,0.4069,0.4069,0.405,0.405,0.4031,0.4031,0.4031,0.4031,0.4031,0.4012,0.405
43,ICICIGI,0.4069,0.405,0.405,0.405,0.4031,0.4031,0.4012,0.4012,0.3993,0.3993,0.3993,0.3974,0.402
47,EICHERMOT,0.405,0.4031,0.4031,0.4031,0.4012,0.4012,0.3993,0.3993,0.3974,0.3993,0.3993,0.3974,0.401
29,HDFC,0.4012,0.4031,0.4012,0.4012,0.3993,0.3993,0.3974,0.3974,0.3955,0.3974,0.3955,0.3955,0.399
88,GODREJCP,0.4031,0.4012,0.4012,0.3993,0.3993,0.3974,0.3974,0.3974,0.3955,0.3955,0.3955,0.3955,0.398
85,SBICARD,0.3993,0.3993,0.3993,0.3974,0.3974,0.3974,0.3974,0.3955,0.3955,0.3936,0.3936,0.3917,0.396
53,BOSCHLTD,0.3993,0.3974,0.3974,0.3955,0.3955,0.3936,0.3936,0.3974,0.3974,0.3955,0.3955,0.3936,0.396
24,KOTAKBANK,0.3936,0.3936,0.3936,0.3936,0.3936,0.3917,0.3917,0.3917,0.3974,0.3955,0.3955,0.3936,0.394
20,IGL,0.3917,0.3897,0.3897,0.3878,0.3936,0.3917,0.3917,0.3917,0.3897,0.3917,0.3917,0.3917,0.391
10,GRASIM,0.3936,0.3936,0.3936,0.3917,0.3917,0.3897,0.3897,0.3897,0.3878,0.3878,0.3878,0.3878,0.39
75,OFSS,0.3936,0.3936,0.3936,0.3917,0.3917,0.3917,0.3897,0.3897,0.3878,0.3878,0.3878,0.3859,0.39
95,TATACONSUM,0.3955,0.3936,0.3936,0.3917,0.3917,0.3897,0.3897,0.3878,0.3878,0.3878,0.3859,0.3859,0.39
58,BAJAJHLDNG,0.3917,0.3917,0.3897,0.3897,0.3878,0.3878,0.3859,0.3859,0.3859,0.3859,0.3897,0.3878,0.388
45,COALINDIA,0.384,0.3821,0.3821,0.3821,0.384,0.3821,0.3859,0.3859,0.3878,0.3859,0.3859,0.3878,0.385
61,TECHM,0.3878,0.3878,0.3859,0.3859,0.384,0.384,0.384,0.3821,0.3821,0.3821,0.3821,0.384,0.384
3,SHREECEM,0.3897,0.3878,0.3878,0.3859,0.3859,0.384,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.384
32,CADILAHC,0.3859,0.3859,0.384,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3802,0.3802,0.3802,0.382
99,HDFCLIFE,0.3859,0.3859,0.384,0.384,0.3821,0.3821,0.3821,0.3802,0.3802,0.3802,0.3802,0.3783,0.382
63,WIPRO,0.384,0.384,0.384,0.3821,0.3821,0.3802,0.3802,0.3783,0.3783,0.3764,0.3764,0.3745,0.38
8,AMBUJACEM,0.3821,0.3821,0.3802,0.3802,0.3802,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.3783,0.379
90,TITAN,0.3783,0.3783,0.3783,0.3764,0.3764,0.3745,0.3764,0.3764,0.3745,0.3745,0.3725,0.3725,0.376
57,DMART,0.3783,0.3783,0.3764,0.3764,0.3745,0.3745,0.3745,0.3745,0.3764,0.3783,0.3764,0.3764,0.376
50,RELIANCE,0.3802,0.3783,0.3783,0.3764,0.3764,0.3764,0.3745,0.3745,0.3745,0.3745,0.3725,0.3725,0.376
77,HDFCAMC,0.3745,0.3745,0.3802,0.3783,0.3783,0.3783,0.3764,0.3764,0.3745,0.3745,0.3745,0.3725,0.376
82,UBL,0.3783,0.3764,0.3764,0.3745,0.3745,0.3725,0.3725,0.3725,0.3706,0.3706,0.3725,0.3725,0.374
23,MARUTI,0.3725,0.3725,0.3706,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.3668,0.3668,0.369
27,SUNPHARMA,0.3706,0.3706,0.3706,0.3687,0.3687,0.3668,0.3668,0.3649,0.3649,0.3649,0.3649,0.363,0.367
97,HEROMOTOCO,0.3706,0.3687,0.3687,0.3668,0.3668,0.3668,0.3668,0.3649,0.3649,0.3649,0.3649,0.363,0.366
62,MCDOWELL-N,0.3687,0.3687,0.3668,0.3668,0.3668,0.3649,0.3649,0.3649,0.363,0.363,0.3611,0.363,0.365
