SYMBOL,Date,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Descripency Detail,Descripency
TATASTEEL,2021-09-22,EQ,1292.2,1299.4,1318.0,1283.1,1303.0,1305.8,1301.92,11124247,1448284266595000.0,263880,2114995,19.01,"Vol Down, Delivery Up",1
TATASTEEL,2021-09-23,EQ,1305.8,1330.0,1339.45,1306.05,1315.5,1318.7,1320.33,9946251,1313234230945000.0,254153,2905454,29.21,"Vol Down, Delivery Up",1
NTPC,2021-09-22,EQ,124.1,124.6,127.0,124.0,124.1,124.4,125.27,11698183,146544204460000.0,88112,4298027,36.74,"Vol Down, Delivery Up",1
NTPC,2021-09-23,EQ,124.4,124.8,127.0,124.65,126.15,126.2,126.13,11053966,139420303830000.0,71113,6135788,55.510000000000005,"Vol Down, Delivery Up",1
MUTHOOTFIN,2021-09-22,EQ,1479.1,1486.0,1547.5,1473.9,1542.0,1543.5,1527.71,1126487,172094078970000.0,49499,304560,27.04,"Vol Down, Delivery Up",1
MUTHOOTFIN,2021-09-23,EQ,1543.5,1559.0,1560.3,1516.9,1522.2,1519.95,1532.72,804207,123262632645000.0,35534,363555,45.21,"Vol Down, Delivery Up",1
M&M,2021-09-22,EQ,738.45,738.9,759.0,738.45,752.9,752.5,749.24,2287017,171352098665000.0,65420,978650,42.79,"Vol Down, Delivery Up",1
M&M,2021-09-23,EQ,752.5,756.5,762.0,752.75,758.1,758.45,757.61,1890322,143212949515000.0,67730,1052282,55.67000000000001,"Vol Down, Delivery Up",1
INDUSINDBK,2021-09-22,EQ,1137.55,1145.0,1157.85,1128.2,1142.5,1141.4,1144.42,5587136,639404525750000.0,112854,2077292,37.18,"Vol Down, Delivery Up",1
INDUSINDBK,2021-09-23,EQ,1141.4,1150.0,1175.0,1147.0,1172.0,1169.15,1164.46,4879235,568168128420000.0,95857,2221493,45.53,"Vol Down, Delivery Up",1
INDIGO,2021-09-22,EQ,2236.25,2255.0,2307.15,2180.1,2185.0,2188.3,2232.92,2111974,471586500655000.0,97760,348792,16.51,"Vol Down, Delivery Up",1
INDIGO,2021-09-23,EQ,2188.3,2204.0,2246.0,2195.7,2215.1,2216.5,2218.95,1442660,320118836560000.0,42352,915285,63.44,"Vol Down, Delivery Up",1
IGL,2021-09-22,EQ,549.4,550.2,553.85,536.15,538.25,537.65,542.91,2102574,114150374590000.02,40340,1152526,54.82,"Vol Down, Delivery Up",1
IGL,2021-09-23,EQ,537.65,542.0,542.4,533.65,537.7,537.3,537.06,1857323,99749512945000.0,42575,1178528,63.45,"Vol Down, Delivery Up",1
ICICIBANK,2021-09-22,EQ,711.85,715.0,715.0,702.25,703.5,703.35,706.98,9740470,688632073805000.0,209079,5715053,58.67,"Vol Up, Delivery Down",1
ICICIBANK,2021-09-23,EQ,703.35,711.0,720.0,707.15,717.0,717.0,715.87,10412491,745401388000000.0,190580,5200674,49.95,"Vol Up, Delivery Down",1
GRASIM,2021-09-22,EQ,1557.15,1551.3,1582.65,1546.95,1570.7,1574.65,1568.61,916746,143802018140000.0,32892,442387,48.26,"Vol Up, Delivery Down",1
GRASIM,2021-09-23,EQ,1574.65,1578.7,1625.0,1573.45,1608.05,1606.85,1602.73,1213696,194522621425000.0,45031,405441,33.41,"Vol Up, Delivery Down",1
BOSCHLTD,2021-09-22,EQ,15173.9,15173.9,15344.95,15150.0,15282.2,15301.5,15253.96,37973,57923848895000.01,6887,20256,53.34000000000001,"Vol Up, Delivery Down",1
BOSCHLTD,2021-09-23,EQ,15301.5,15342.0,15474.25,15220.0,15374.0,15369.3,15350.9,40458,62106674710000.0,8993,19143,47.32,"Vol Up, Delivery Down",1
