,SYMBOL,14-JUN-2022,15-JUN-2022,16-JUN-2022,17-JUN-2022,V AVERAGE
87,ADANIGREEN,0.6496,0.6477,0.6477,0.6457,0.648
58,ZOMATO,0.6496,0.6477,0.6477,0.6477,0.648
100,ADANITRANS,0.6133,0.6114,0.6114,0.6133,0.612
14,SAIL,0.5808,0.5789,0.5827,0.5808,0.581
70,VEDL,0.5693,0.5674,0.577,0.577,0.573
64,CHOLAFIN,0.5693,0.5674,0.5674,0.5655,0.567
25,PAYTM,0.5693,0.5674,0.5655,0.5655,0.567
22,TATAMOTORS,0.5674,0.5655,0.5693,0.5674,0.567
97,PEL,0.5617,0.5636,0.5617,0.5598,0.562
3,BANDHANBNK,0.5502,0.5483,0.5464,0.5464,0.548
30,INDUSINDBK,0.5483,0.5464,0.5483,0.5464,0.547
89,DLF,0.5426,0.5426,0.5445,0.5426,0.543
46,ADANIENT,0.5407,0.5388,0.5426,0.5407,0.541
39,INDUSTOWER,0.5349,0.5349,0.533,0.533,0.534
19,TATASTEEL,0.5311,0.5292,0.5349,0.533,0.532
6,BANKBARODA,0.5273,0.5273,0.5273,0.5254,0.527
96,HINDALCO,0.5254,0.5235,0.5292,0.5273,0.526
69,MINDTREE,0.5158,0.5139,0.5158,0.5158,0.515
76,NAUKRI,0.5158,0.5158,0.5139,0.512,0.514
23,PNB,0.5101,0.5101,0.5101,0.5082,0.51
2,JSWSTEEL,0.5082,0.5063,0.5082,0.5063,0.507
21,NMDC,0.5063,0.5044,0.5082,0.5082,0.507
53,INDIGO,0.5006,0.5006,0.5025,0.5025,0.502
15,JUBLFOOD,0.4948,0.4929,0.4929,0.4948,0.494
88,NYKAA,0.4834,0.4814,0.4814,0.4834,0.482
98,APOLLOHOSP,0.4834,0.4834,0.4814,0.4814,0.482
51,ONGC,0.4757,0.4776,0.4814,0.4795,0.479
55,LTI,0.4776,0.4757,0.4776,0.4757,0.477
43,ADANIPORTS,0.4681,0.4681,0.4681,0.4681,0.468
62,BAJFINANCE,0.4623,0.4623,0.4643,0.4643,0.463
93,SRF,0.4528,0.4528,0.4566,0.4547,0.454
4,COALINDIA,0.4471,0.4471,0.4509,0.4509,0.449
94,BAJAJFINSV,0.4471,0.449,0.4509,0.4509,0.449
77,BIOCON,0.4509,0.449,0.449,0.449,0.449
20,AXISBANK,0.426,0.4241,0.4241,0.4241,0.425
28,UPL,0.4184,0.4165,0.4203,0.4203,0.419
86,DMART,0.4165,0.4165,0.4146,0.4222,0.417
1,ICICIPRULI,0.4165,0.4165,0.4146,0.4146,0.416
59,PIIND,0.4127,0.4127,0.4127,0.4146,0.413
13,GAIL,0.4088,0.4088,0.4127,0.4108,0.41
68,BAJAJHLDNG,0.4012,0.4012,0.4031,0.4108,0.404
85,MUTHOOTFIN,0.4031,0.4031,0.4012,0.4031,0.403
80,GLAND,0.4031,0.4012,0.4012,0.4012,0.402
95,TECHM,0.4012,0.3993,0.4031,0.4031,0.402
32,GODREJCP,0.4031,0.4012,0.4012,0.4012,0.402
54,MCDOWELL-N,0.3955,0.3955,0.3955,0.3955,0.396
11,GRASIM,0.3955,0.3936,0.3955,0.3955,0.395
47,SBICARD,0.3936,0.3936,0.3936,0.3955,0.394
27,SBIN,0.3936,0.3936,0.3936,0.3936,0.394
16,AMBUJACEM,0.3917,0.3917,0.3897,0.3897,0.391
