"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 31-May-2021","30 D % CHNG 
 29-Apr-2022"
"NIFTY 100","16,772.05","16,831.20","16,601.85","16,767.50","16,688.95","-78.55","-0.47",542486555,"269,285,223,151.63","18,870.70","15,665.25","6.13","-3.95"
"ICICIPRULI","521.60","551.95","521.60","521.60","549.15","27.55","5.28",3568640,"1,941,411,532.80","724.30","430.00","-5.89","-0.79"
"JSWSTEEL","554.05","572.35","549.20","551.25","570.90","19.65","3.56",8495547,"4,795,481,415.09","790.00","520.05","-22.46","-24.19"
"BANDHANBNK","326.00","334.65","326.00","325.95","333.55","7.60","2.33",4258627,"1,409,264,846.84","354.35","229.55","6.03","-2.53"
"COALINDIA","194.50","197.30","193.20","192.90","196.80","3.90","2.02",30867456,"6,043,539,210.24","209.00","132.75","30.60","5.50"
"IOC","117.00","119.05","116.75","116.00","118.30","2.30","1.98",11124014,"1,314,747,214.66","141.50","101.90","6.18","-7.94"
"BANKBARODA","101.00","102.50","100.00","100.25","102.05","1.80","1.80",20994336,"2,123,577,086.40","122.70","72.50","24.23","-11.20"
"HDFCLIFE","598.95","609.00","596.65","598.95","608.00","9.05","1.51",4893225,"2,959,324,615.50","775.65","497.05","-10.05","2.84"
"PGHH","13,712.10","14,229.00","13,670.55","13,818.95","14,020.00","201.05","1.45",4566,"63,738,300.78","16,448.70","12,310.10","5.27","-1.46"
"KOTAKBANK","1,840.00","1,874.00","1,835.35","1,846.85","1,871.00","24.15","1.31",2382645,"4,430,623,683.30","2,253.00","1,626.00","2.17","3.13"
"M&M","1,035.00","1,057.25","1,014.80","1,034.35","1,047.00","12.65","1.22",7889745,"8,188,924,130.40","1,057.25","671.15","28.02","12.17"
"GRASIM","1,425.00","1,450.00","1,412.60","1,428.60","1,445.90","17.30","1.21",867697,"1,241,084,373.04","1,929.80","1,340.25","-2.90","-15.58"
"HDFC","2,314.00","2,335.65","2,292.35","2,306.75","2,331.95","25.20","1.09",2982569,"6,920,156,593.80","3,021.10","2,046.00","-9.64","3.46"
"GAIL","147.45","149.60","147.00","147.20","148.60","1.40","0.95",11277910,"1,674,882,414.10","173.50","125.20","-7.97","-7.51"
"SAIL","75.95","77.00","74.95","75.95","76.60","0.65","0.86",32105532,"2,446,120,483.08","145.90","69.50","-40.01","-21.50"
"JUBLFOOD","550.95","564.55","550.40","550.95","555.60","4.65","0.84",3454296,"1,924,526,473.44","918.00","451.20","-82.29","0.91"
"AMBUJACEM","370.00","373.00","369.15","369.40","372.00","2.60","0.70",2369910,"880,113,476.70","442.50","274.00","13.04","-0.75"
"NTPC","156.45","160.20","156.25","156.00","157.05","1.05","0.67",16084988,"2,546,253,600.40","166.35","107.80","41.18","-0.13"
"HDFCBANK","1,380.00","1,400.45","1,379.15","1,388.95","1,396.10","7.15","0.51",6045948,"8,410,215,965.40","1,725.00","1,278.30","-8.37","0.31"
"TATASTEEL","1,065.50","1,079.00","1,053.30","1,055.65","1,061.00","5.35","0.51",9405529,"10,022,437,647.11","1,534.50","991.80","-6.22","-16.95"
"AXISBANK","683.00","692.45","680.50","685.20","688.00","2.80","0.41",6966674,"4,786,314,038.22","866.90","630.05","-8.73","-5.96"
"NMDC","127.40","127.60","125.10","126.10","126.55","0.45","0.36",7019912,"886,263,890.00","195.20","119.20","-30.77","-21.51"
"TATAMOTORS","445.10","446.00","439.60","443.55","445.00","1.45","0.33",11930669,"5,283,735,380.03","536.70","268.45","39.15","1.36"
"PNB","31.35","31.65","31.15","31.35","31.45","0.10","0.32",19112886,"600,526,878.12","48.20","28.45","-26.06","-10.68"
"ITC","270.65","274.10","270.20","270.65","271.50","0.85","0.31",14699792,"4,001,283,382.40","282.35","200.90","24.95","4.28"
"PAYTM","656.00","676.90","648.30","652.95","654.90","1.95","0.30",3701972,"2,443,449,598.88","1,955.00","510.05","-","12.26"
"TATACONSUM","760.00","780.50","757.75","759.75","762.00","2.25","0.30",1641729,"1,260,076,259.37","889.00","650.20","14.45","-7.77"
"SBIN","468.00","472.00","464.70","468.10","469.25","1.15","0.25",9424008,"4,416,938,309.52","549.00","400.50","10.31","-5.68"
"UPL","772.60","784.40","772.60","779.60","780.85","1.25","0.16",1136166,"885,118,760.64","864.70","622.00","-4.36","-5.26"
"RELIANCE","2,634.30","2,655.20","2,616.20","2,632.65","2,635.00","2.35","0.09",4512079,"11,903,541,213.85","2,856.15","2,016.25","21.87","-5.65"
"INDUSINDBK","930.85","938.35","918.70","930.85","931.50","0.65","0.07",1144864,"1,062,330,754.24","1,242.00","811.50","-8.11","-4.87"
"ICICIBANK","748.00","755.60","744.20","752.85","752.95","0.10","0.01",10102092,"7,586,570,071.08","867.00","616.25","13.59","1.28"
"GODREJCP","780.00","780.00","760.45","766.95","767.00","0.05","0.01",1200368,"922,614,848.48","1,138.00","660.05","-10.46","-1.97"
"ACC","2,205.90","2,214.80","2,182.50","2,198.40","2,197.00","-1.40","-0.06",394675,"869,046,722.75","2,589.00","1,900.00","10.69","-5.60"
"TCS","3,388.00","3,388.00","3,340.05","3,364.35","3,359.15","-5.20","-0.15",1493835,"5,021,795,242.80","4,043.00","3,115.00","6.50","-5.14"
"EICHERMOT","2,770.15","2,818.00","2,752.00","2,780.75","2,776.25","-4.50","-0.16",358924,"995,906,422.80","2,994.00","2,159.55","3.91","5.72"
"ASIANPAINT","2,859.65","2,939.90","2,832.05","2,859.65","2,855.00","-4.65","-0.16",1770795,"5,103,785,349.00","3,590.00","2,599.35","-3.96","-11.66"
"BPCL","328.00","331.85","324.10","326.20","325.50","-0.70","-0.21",6690532,"2,194,628,306.64","503.00","312.20","-30.89","-10.04"
"DABUR","519.35","527.00","515.40","519.00","517.80","-1.20","-0.23",1596876,"831,381,551.88","658.95","488.30","-3.97","-6.77"
"INDUSTOWER","203.00","205.80","200.00","201.80","201.30","-0.50","-0.25",1804341,"365,072,314.53","332.80","181.20","-16.71","-3.44"
"COLPAL","1,628.20","1,649.70","1,620.05","1,627.20","1,623.00","-4.20","-0.26",233109,"379,949,021.28","1,823.40","1,375.60","-5.42","-1.65"
"LT","1,653.55","1,661.00","1,638.45","1,654.50","1,650.00","-4.50","-0.27",1425466,"2,351,904,862.72","2,078.55","1,447.25","12.73","-2.35"
"TORNTPHARM","2,860.00","2,861.95","2,806.10","2,832.60","2,824.75","-7.85","-0.28",95422,"270,112,009.62","3,298.50","2,484.15","3.33","0.65"
"ADANIPORTS","739.80","743.70","729.05","739.85","737.40","-2.45","-0.33",3196984,"2,352,532,646.24","924.65","638.10","-3.86","-13.61"
"MARUTI","7,975.05","8,068.90","7,880.10","7,966.35","7,930.00","-36.35","-0.46",522004,"4,154,436,694.52","9,050.00","6,536.55","12.42","3.22"
