INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
Nifty 50,     17999.20,     17939.35,     18022.65,     17879.25,     17898.65,-100.55
NIFTY50 EQL Wgt,     20122.55,     20086.35,     20185.20,     20024.75,     20054.15,-68.4
NIFTY100 EQL Wgt,     21413.30,     21370.35,     21486.65,     21301.15,     21334.00,-79.3
NIFTY100 LowVol30,     13468.05,     13445.80,     13501.15,     13409.75,     13425.65,-42.4
NIFTY Alpha 50,     33799.85,     33822.25,     34280.95,     33793.35,     33876.95,77.1
NIFTY MIDCAP 150,     11960.80,     11950.40,     11987.70,     11892.15,     11908.55,-52.25
NIFTY SMLCAP 50,      5450.95,      5456.30,      5471.35,      5421.25,      5430.35,-20.6
NIFTY SMLCAP 250,      9784.40,      9798.30,      9852.70,      9762.20,      9776.35,-8.05
NIFTY MIDSML 400,     11178.20,     11176.40,     11219.30,     11126.55,     11141.60,-36.6
NIFTY200 QUALTY30,     15255.70,     15246.50,     15300.45,     15216.10,     15237.95,-17.75
Nifty FinSrv25 50,     18784.40,     18697.85,     18857.50,     18645.05,     18673.65,-110.75
NIFTY AlphaLowVol,     17638.50,     17618.40,     17653.40,     17525.75,     17551.15,-87.35
Nifty200Momentm30,     21349.25,     21312.40,     21566.85,     21287.90,     21449.05,99.8
Nifty100ESGSecLdr,      3062.40,      3052.20,      3060.35,      3035.05,      3038.60,-23.8
Nifty IT,     36643.85,     36623.75,     36835.95,     36431.25,     36660.90,17.05
Nifty Next 50,     44290.20,     44194.20,     44603.50,     44148.95,     44241.45,-48.75
Nifty Bank,     38307.10,     38113.40,     38456.30,     37981.20,     38041.55,-265.55
NIFTY MIDCAP 100,     31942.55,     31896.05,     31956.45,     31680.90,     31729.00,-213.55
Nifty 500,     15525.40,     15487.15,     15560.75,     15436.95,     15454.95,-70.45
Nifty 100,     18301.45,     18244.05,     18338.35,     18189.45,     18211.35,-90.1
Nifty Midcap 50,      8940.75,      8926.00,      8943.95,      8869.55,      8884.80,-55.95
Nifty Realty,       545.10,       542.80,       546.15,       534.10,       536.15,-8.95
Nifty Infra,      5273.80,      5252.00,      5294.00,      5238.50,      5245.60,-28.2
Nifty Energy,     23944.65,     23880.45,     24082.45,     23774.20,     23837.90,-106.75
Nifty FMCG,     39014.65,     38992.50,     39346.65,     38953.40,     39013.45,-1.2
Nifty MNC,     19700.55,     19667.70,     19771.45,     19633.80,     19691.95,-8.6
Nifty Pharma,     13798.80,     13796.30,     13800.60,     13592.45,     13621.90,-176.9
Nifty PSE,      4081.15,      4076.30,      4100.40,      4055.05,      4061.70,-19.45
Nifty PSU Bank,      2808.90,      2797.65,      2858.20,      2788.35,      2810.20,1.3
Nifty Serv Sector,     25298.40,     25201.50,     25389.45,     25160.10,     25209.05,-89.35
India VIX,15.1950,15.1950,15.4125,13.9150,14.9800,-0.2150
Nifty Auto,     11977.30,     11982.75,     12139.75,     11958.50,     12061.80,84.5
Nifty Metal,      5586.35,      5563.85,      5618.65,      5546.50,      5568.10,-18.25
Nifty Media,      2311.75,      2309.00,      2347.80,      2296.50,      2320.95,9.2
NIFTY SMLCAP 100,     11205.35,     11221.55,     11304.20,     11201.65,     11219.40,14.05
Nifty 200,      9588.50,      9560.60,      9605.10,      9527.65,      9539.00,-49.5
Nifty Div Opps 50,      3800.85,      3796.05,      3813.30,      3788.45,      3793.25,-7.6
Nifty Commodities,      5835.20,      5815.95,      5839.55,      5785.20,      5795.75,-39.45
Nifty Consumption,      7393.20,      7386.60,      7457.10,      7381.85,      7416.30,23.1
Nifty Fin Service,     18805.75,     18707.85,     18866.40,     18653.50,     18679.95,-125.8
Nifty50 Div Point,       144.46,       144.46,       144.46,       144.46,       144.46,0
Nifty100 Liq 15,      4570.20,      4551.35,      4587.10,      4541.50,      4549.10,-21.1
Nifty CPSE,      2330.95,      2326.65,      2356.35,      2322.00,      2334.85,3.9
Nifty GrowSect 15,      7972.15,      7967.35,      8059.85,      7957.60,      8016.75,44.6
Nifty50 PR 2x Lev,      9575.85,      9511.25,      9599.55,      9448.05,      9467.95,-107.9
Nifty50 PR 1x Inv,       246.35,       247.15,       248.00,       246.05,       247.75,1.4
Nifty50 TR 2x Lev,     13009.75,     12922.05,     13041.95,     12836.20,     12863.15,-146.6
Nifty50 TR 1x Inv,       211.45,       212.20,       212.90,       211.20,       212.65,1.2
Nifty50 Value 20,      9078.40,      9067.40,      9120.35,      9047.70,      9063.95,-14.45
Nifty Mid Liq 15,      7818.85,      7809.55,      7840.10,      7776.30,      7795.00,-23.85
Nifty Pvt Bank,     19704.00,     19604.45,     19758.60,     19512.95,     19542.20,-161.8
NIFTY100 Qualty30,      4004.70,      3999.55,      4017.85,      3994.05,      3998.85,-5.85
Nifty GS 8 13Yr,      2294.55,      2294.93,      2295.48,      2293.53,      2295.25,.7
Nifty GS 10Yr,      2055.28,      2055.63,      2056.14,      2053.12,      2055.73,.45
Nifty GS 10Yr Cln,       928.61,       928.61,       928.84,       927.45,       928.65,.04
Nifty GS 4 8Yr,      2482.39,      2482.80,      2486.22,      2481.78,      2486.10,3.71
Nifty GS 11 15Yr,      2473.02,      2473.47,      2475.36,      2472.06,      2475.32,2.3
Nifty GS 15YrPlus,      2705.06,      2705.57,      2706.78,      2705.57,      2706.78,1.72
Nifty GS Compsite,      2363.86,      2364.27,      2365.85,      2363.22,      2365.73,1.87
